date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-14,1,2013,-6267.0,,,81746,-667,0.0,-39581,642,-48512,,,,-844,13184,2078,-141913,,,,-15378.0,,,239,,,,283640,,-114366,47411,-40385,-154943,48270,231,-2694.0,-206242,31770,1069,7476,10513,-6244,798,,,2013年01月01日至2013年03月31日,461099,395585,-15256,1404,-65514,94919,,88411,93887,,1595000.0,0.0,-1545000.0,50239,94919,,-27484,32719,5235,0.0,,,0,,,,,,,,,,-1032,,395585,-30,-5653,,-49004.0,,143.0,,-105138,-439,
2013-08-06,2,2013,137303.0,,-566500.0,1595,-10081,,-39867,-1791,-49668,,,,-2242,71923,3375,-144686,,,,-22854.0,,0.0,3030,,,-39.0,119772,,-113885,-123306,110631,93656,20195,568,,-217247,89089,8900,15901,20368,-7824,1970,0.0,,2013年01月01日至2013年06月30日,461099,874379,-16311,1209,413280,23967,,145622,213877,,1595000.0,,-550000.0,481530,23967,,-278301,330908,52607,0.0,,,0,,,,,,,,,,189910,-2838.0,874379,-62401,1586,,-49004.0,,4784.0,,-10942,0,
2013-11-08,3,2013,223452.0,0.0,-566500.0,4530,-592,,-13066,-1271,-50041,2.0,,,-2913,85824,-3023,-148445,0.0,,0.0,-22582.0,,0.0,2158,0.0,,,-270060,,-100021,-149420,355283,98742,58691,-1769,,-612342,146426,22283,14139,24746,-12091,2944,9052.0,,2013年01月01日至2013年09月30日,461099,825352,-4236,924,364253,30335,,128648,200244,-79688.0,1595000.0,,-100000.0,850970,30335,-8599.0,-262735,209192,-53543,0.0,,,184,0.0,,,,,,0.0,,,169909,-4758.0,825352,-62449,4435,0.0,-49004.0,11526.0,,,-52115,-400328,
2014-03-28,4,2013,777140.0,0.0,-566500.0,21653,-83020,,-25241,1989,-49099,,-176633.0,,-5199,102447,8805,-149386,0.0,,-83863.0,0.0,,131647.0,2702,0.0,,,-326939,,-103817,-173264,413037,98976,168498,-992,,-608822,203694,13702,73220,27192,-19534,5156,19259.0,,2013年01月01日至2013年12月31日,461099,880132,-4146,6880,419033,-484141,,177536,261676,-79688.0,1595000.0,0.0,-110000.0,841514,-484141,-9001.0,-288850,257527,-31323,0.0,,,184,0.0,,,450709.0,-151006.0,-13092.0,347.0,22890.0,,745817,-8181.0,880132,-69762,-978,,-49004.0,621366.0,19222.0,,-27724,-819332,
2014-05-13,1,2014,91955.0,,,-42726,193018,0.0,25687,232,57299,,,,-1306,15670,1674,-381,,,-118864.0,0.0,,,1195,,,,67709,-760.0,-26834,-5324,35254,7442,12487,408,-488.0,-55718,45778,-13619,44119,1979,-5787,1076,1187.0,,2014年01月01日至2014年03月31日,880132,803009,-5126,0,-77123,8258,,375726,380459,,0.0,0.0,-400000.0,-398805,8258,,-49685,329931,280246,141.0,,,-126,,,,,,-4792.0,,4900.0,,372201,,803009,-22,-4007,,0.0,,526.0,,27000,0,
2014-08-13,2,2014,217660.0,,0.0,-50679,-3176,,23763,1548,-92,,,,-3117,30371,-1985,-1597,,,-118864.0,0.0,,,1199,,,57349.0,125977,-957.0,-37748,23084,51910,7262,-15189,2537,-981.0,139048,91620,-15797,77666,3662,-11107,2921,1187.0,,2014年01月01日至2014年06月30日,880132,781408,796,0,-98724,-24832,,283014,324823,,0.0,,-520000.0,-518801,-24832,,-42561,174556,131995,141.0,8942.0,84775.0,-126,,,,113624.0,,-7366.0,,,,349655,,781408,-33623,-375,,0.0,,25486.0,,19484,-6417,
2014-11-13,3,2014,283407.0,,0.0,-37235,3327,,28664,2049,-2740,,,,-3735,44259,989,-2296,,,-118864.0,-2227.0,,,1119,,,57349.0,218528,-1247.0,-91895,1090,65264,7646,35942,871,-1475.0,138941,136959,-21179,107645,5595,-14910,3750,22085.0,,2014年01月01日至2014年09月30日,880132,730539,-3605,0,-149593,-22606,,449358,494183,0.0,0.0,,-740000.0,-738881,-22606,-20898.0,-100851,334233,233382,141.0,8942.0,84775.0,-126,,,,113624.0,,-12748.0,,,,516789,,730539,-33665,5858,,0.0,25450.0,,,21785,-21848,
2015-03-31,4,2014,639500.0,,0.0,-44381,19849,,-8240,4128,57507,,0.0,,-5281,57157,3417,-27409,,,-118864.0,-227.0,,0.0,0,-395.0,,,183816,-1453.0,-19639,-10905,29807,-10777,16828,2908,,618550,182330,-26099,106130,7425,-18399,5230,28086.0,,2014年度,880132,785682,-3480,370,-94450,-297877,,453978,506433,0.0,0.0,,-1170000.0,-1170395,-297877,-20898.0,-85570,250380,164810,32556.0,8942.0,184721.0,-11551,,,-7366.0,409108.0,-30085.0,-26119.0,0.0,53100.0,,804310,-2405.0,785682,-39286,10100,,,382221.0,0.0,,29920,-8970,
2015-05-14,1,2015,,,,5742,9685,0.0,-4459,934,-183,,,,-371,100111,-896,-350,,,0.0,,0.0,998.0,806,,,,67673,0.0,-9743,-39862,6365,7664,17831,62,,181504,35202,6660,9896,4425,-1443,361,0.0,131592.0,2015年01月01日至2015年03月31日,785682,654891,7440,320,-130791,-40713,117.0,137795,138892,,0.0,0.0,-450000.0,-449194,-40713,,-48205,96218,48013,0.0,,197907.0,0,,,,,,-14114.0,,,0.0,179605,,654891,-15,-12160,,,,-155.0,,-20656,-15870,
2015-08-12,2,2015,,,-1815600.0,9,14913,,-4108,-6682,-670,,,,-1474,107816,-3114,-3307,,,0.0,,-329142.0,998.0,1086,,,-51.0,59727,0.0,-46985,-17568,37131,24618,21659,-208,,89181,69616,-5495,29516,5809,-6491,1467,989.0,345208.0,2015年01月01日至2015年06月30日,785682,599992,8767,118,-185690,-184492,232.0,232757,244962,,,,1310000.0,-504514,-184492,,-68420,152666,84246,0.0,0.0,197973.0,293,,,,0.0,,-14114.0,,,,429454,,599992,-7181,-13893,,0.0,122365.0,29391.0,-127065.0,7003,0,350454.0
