date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,取得無形資產,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,長期應收租賃款增加,長期應收租賃款減少,附買回票券及債券負債減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,1450084.0,,-6812426,-1261195,,,248702,403477,-649257,,-102446.0,,-710561.0,-28549,471220,43313,-49817,-49859,528260,417270,-211456,,-19990,,,0.0,0,-859829,-498963,746944,1670.0,,,-510125,46524,1720608,-16144.0,1306842,1571884,-120107,-151905,88802,-431281,50029,80703,,2013年01月01日至2013年03月31日,25611406,18994984,-152961,-6616422,2340789,,2274053,2490393,,,-2535538.0,-10614587,2340789,,-125248,-1175232,-1300480,,61021,,5450.0,-29636,0.0,,-430158,1547076.0,149604,18994984,-216340,-1929,,,50055.0,,-782840.0,-23953.0,34273.0,,-76040.0,-341187,
2013-08-13,2,2013,3327222.0,,-15241149,-676024,,0.0,850573,175348,-21033,,-73128.0,,-721639.0,-21670,424578,97325,-88913,-94890,976601,127839,-1244997,,-53244,-155948.0,,-116335.0,0,-742673,-498963,1698744,912.0,,0.0,-94804,-7318,-155156,-123681.0,-317113,3114925,-57600,-359542,165424,-947978,49859,279607,,2013年01月01日至2013年06月30日,25611406,20171167,-153992,-5440239,6949563,,8304006,9732219,-1433449.0,,-4892132.0,-13554971,6949563,,1075299,-1619865,-544566,10188881.0,65850,28311.0,36427.0,-33328,0.0,0.0,-552987,1586114.0,2782656,20171167,-1428213,-7,154149.0,,-81254.0,,-1063360.0,11834.0,0.0,13544.0,-631025.0,-670215,
2013-11-12,3,2013,4458705.0,,-29156061,-805180,-560409.0,0.0,1079414,-439740,-86257,,-66317.0,,823782.0,-41527,515825,145307,-97311,-150507,1439045,-445029,-1715932,-2.0,-53244,-821365.0,,-204573.0,-4908,-409860,-637253,260520,-55307.0,,0.0,692690,-26571,-3999163,-186776.0,1135796,4720349,-22597,-651774,242218,-1386778,177690,984057,,2013年01月01日至2013年09月30日,25611406,19104057,-250274,-6507349,13467984,,13472770,15696049,-8634335.0,,4191826.0,-20670886,13467984,-676305.0,-52801,-2177839,-2230640,14418601.0,164044,28311.0,46858.0,-28417,0.0,0.0,-512621,2194144.0,2228065,19104057,-2223279,-2158,154149.0,,-176707.0,,741402.0,17351.0,0.0,29693.0,-18886.0,331132,1173682.0
2014-03-27,4,2013,7321101.0,0.0,-33479971,616370,887627.0,0.0,1648292,-191244,24095,,166343.0,,921940.0,-365503,-411981,207476,-98265,-198029,1910300,147547,-2805066,-3.0,-1536492,-950866.0,-398.0,-222995.0,-175907,340240,-642888,236807,-21531.0,190112.0,,301652,-42530,-5908031,-208581.0,-1248644,6839020,-78079,-585550,335203,-1792669,230778,1090682,,2013年01月01日至2013年12月31日,25611406,25711065,-328115,99659,18604456,,21973605,24661929,-8656161.0,,-2514570.0,-20772849,18604456,-692685.0,765816,-2029444,-1263628,26772266.0,707821,30721.0,45407.0,-493344,9082.0,-5289.0,-468203,2194144.0,6057473,25711065,-2688324,12428,321815.0,,170373.0,,,24513.0,250100.0,215974.0,0.0,-124650,333995.0
2014-05-09,1,2014,2188842.0,,-11094275,-1413349,-2384.0,,7429,-199428,-180275,,18356.0,,654733.0,11274,226778,47969,-145349,-56227,482195,-427867,-940633,,-15000,-1645.0,,,-167,-1310774,0,1300867,-40714.0,,,643541,44700,2498317,-23013.0,-406351,1594505,34423,-271861,81395,-449549,53695,51954,,2014年01月01日至2014年03月31日,25711065,29329415,392934,3618350,3550846,,6895832,7756626,,,5592753.0,-2443264,3550846,,-139803,2156741,2016938,3351397.0,260378,,0.0,-137596,,,-96,0.0,4205780,29329415,-860794,5517,,,83637.0,,144862.0,1919.0,50107.0,,0.0,-232969,235834.0
2014-08-13,2,2014,3912855.0,,-15505844,-1251966,21745.0,,135855,-202673,-37370,,-19479.0,,762242.0,11272,310710,92930,-149370,-127643,952623,-461600,-1405642,,-15000,-1645.0,,0.0,-1370,-1136429,0,380860,652.0,,,-16543,30180,714325,-69039.0,-455303,3168197,52714,-637230,166765,-898639,136582,124517,,2014年01月01日至2014年06月30日,25711065,29177252,122566,3466187,9837043,,11348405,13786053,-2679477.0,,436458.0,-6965315,9837043,,-892159,928314,36155,11430901.0,264489,21870.0,5000.0,-133998,,,-96,0.0,3949010,29177252,-2437648,-13015,0.0,,272390.0,,238779.0,2880.0,321756.0,,0.0,401595,250007.0
2014-11-13,3,2014,4764197.0,,-25262611,-1371614,77536.0,,204180,-153068,-61893,,-20046.0,,762092.0,72982,24196,161727,-148966,-204319,1427905,-52692,-2316699,0.0,-15000,-1645.0,-238.0,0.0,-1370,-1116556,0,-115435,-9937.0,,,-555544,12526,-714501,-110536.0,-222322,4755689,53509,-997683,251738,-1359396,220223,1220093,,2014年01月01日至2014年09月30日,25711065,27917164,36131,2206099,15933466,,15050366,18628471,-11383461.0,,8908871.0,-12569253,15933466,-821554.0,-939843,-1129349,-2069192,14630231.0,264992,22010.0,10001.0,-132244,,,-71,0.0,2695005,27917164,-3578105,-13519,0.0,,518482.0,,1822324.0,3452.0,300397.0,,0.0,209302,820747.0
2015-03-27,4,2014,6711645.0,33696.0,-39756097,-1176176,460476.0,,-1507176,-223147,34898,,-31724.0,,82247.0,-52231,52986,212131,-151652,-309383,1907215,-355157,-3701188,-1.0,-15000,-1645.0,-238.0,0.0,-1379,-1195821,0,-1403142,11604.0,,,371274,13032,-327064,-116139.0,-3098012,6331499,52761,-1250088,345401,-1810314,329504,1574022,,2014年度,25711065,30514042,165809,4802977,21198720,,19986920,24053474,-11411828.0,,3825866.0,-11730774,21198720,-832814.0,-2693072,-1163819,-3856891,36204200.0,320043,140.0,17001.0,-148162,0.0,0.0,-130,0.0,2854754,30514042,-4066554,-34634,0.0,,596158.0,,1268225.0,3050.0,11461.0,313340.0,-2120380.0,851554,213928.0
2015-05-13,1,2015,,,-9803366,-1264695,370995.0,,657261,-51552,-127419,-2040.0,,3023.0,-743988.0,-3924,-68146,55093,-34405,-126367,482383,-17032,-818460,,0,0.0,,,-213360,679041,-594733,-420251,-20629.0,,,1219119,-360075,3826186,,-1500087,1711428,30417,-181127,92691,-427626,100140,24620,1900956.0,2015年01月01日至2015年03月31日,30514042,31406216,-116556,892174,1469867,-8743.0,5654152,6779813,,2101256.0,,-3244859,1469867,,-1879193,5288183,3408990,5134654.0,754,,,5362,,,-438,,5309946,31406216,-1125661,74,51290.0,,,100480.0,-245853.0,0.0,,-72877.0,,-261314,-113323.0
2015-08-12,2,2015,,,-14381360,-2853785,375854.0,,1530449,-61177,-21271,,-2052938.0,,,-256772,64835,114318,-82523,-215208,900633,-861576,-977713,,0,0.0,,,-371254,1391767,-3791183,-660600,-38745.0,,,551445,-543758,4973268,,-6211890,3402086,30514,-409761,182325,-791549,207404,445070,3454063.0,2015年01月01日至2015年06月30日,30514042,35848634,-63353,5334592,4712376,-22852.0,11228717,13423097,-2592626.0,,-1427659.0,1179341,4712376,-423438.0,-3654999,8911657,5256658,21356262.0,26711,0.0,0.0,6995,,,-514,,8710721,35848634,-2194380,-18,51296.0,,319701.0,,-726955.0,0.0,-91298.0,,,623389,-17840.0
