date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之付現類別合計,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,363,28403.0,-25000.0,-8895,-3498.0,,7220.0,4894,5301,-1489,,,,,18,-276,2790,-3495,-32419,,,,1756.0,1247,,17,0.0,518.0,,308976,-41436.0,,-19385.0,,88191.0,,170226.0,,-4932.0,-22925,25210,,-842,640,-3290,,477,,,2013年01月01日至2013年03月31日,629044,609282,-19762,-34759,,,,434532,437345,-17795,,,-402891,-427874,-34759,,-71788,515489,443701,,,,3,,244,,,472104,609282,0.0,-1394,400.0,,,,-34423,-2034
2013-08-12,3,2013,549,84567.0,50000.0,3552,,-7011.0,-2638.0,10299,8672,-1604,,,,,254,-1098,11171,-3999,-109522,,,-14700.0,,5578,,17,,,-2055.0,418090,,-50171.0,,-65059.0,,-8501.0,,124436.0,-15036.0,-86088,77820,,-11502,2564,-13508,,1273,22100.0,,2013年01月01日至2013年09月30日,629044,563344,-65700,-46234,,,,439709,455351,-18279,-30705.0,,-434634,-415322,-46234,-153.0,-113743,530761,417018,,,3761.0,444,571.0,771,16395.0,,501585,563344,-3407.0,-2231,400.0,,,,14958,2672
2013-08-12,2,2013,430,60555.0,-50000.0,559,-2799.0,,1756.0,-2881,8001,-1408,,,,,60,-883,6970,-5513,-74085,,,,,3347,,17,,-4493.0,,19063,-23257.0,,-14597.0,,-2147.0,,95683.0,,-8009.0,-76251,51701,,-5706,1332,-7976,,884,,,2013年01月01日至2013年06月30日,629044,527536,-101508,-52117,,,,52608,63107,-19063,,,-22369,-72352,-52117,2548.0,-49340,104009,54669,,571.0,,422,,244,,,115224,527536,-3407.0,-310,400.0,,,,6679,-1155
2014-03-25,4,2013,697,87265.0,0.0,-10175,,-3506.0,-6138.0,2766,2811,-10304,,,,,327,-1753,16933,-6081,-131207,0.0,,-44100.0,,-2183,,17,,-2478.0,,620468,,-40037.0,,-49533.0,,65849.0,,127994.0,-14162.0,-140597,90435,,-17856,3761,-17329,,1928,22100.0,,2013年01月01日至2013年12月31日,629044,618268,-10776,20290,,,,767153,786220,-17593,-30705.0,0.0,-650563,-631251,20290,-153.0,-110431,789096,678665,50000.0,1070.0,20156.0,360,,9932,,,765930,618268,-3666.0,-6047,,-7000.0,,-188.0,3377,710
2014-05-13,1,2014,58,25671.0,-25000.0,-12608,,2348.0,0.0,39147,-1431,-628,,,,,158,-1187,2816,423,-21708,,,-14700.0,,3244,,-299,,,-1119.0,-402647,,110.0,,26475.0,,-88851.0,,78406.0,-7124.0,-32311,23801,,-3602,1159,-2019,,1221,0.0,,2014年01月01日至2014年03月31日,618268,686088,67820,50793,,,,-268139,-267341,-10054,0.0,,393146,367847,50793,0.0,50677,-394482,-343805,,,,0,0.0,-197,0.0,5216.0,-318134,686088,0.0,-579,0.0,,,,28375,4677
2014-08-12,2,2014,89,71163.0,190909.0,3189,,-21268.0,0.0,56860,-559,-1996,,,,-1915.0,337,19165,7596,785,-32741,,,-24500.0,,3244,,-299,,,-510.0,-799059,,-4189.0,,-4389.0,,-82872.0,,93423.0,-16309.0,-54382,47799,,-9120,2325,-9414,,817,0.0,,2014年01月01日至2014年06月30日,618268,627042,8774,59882,,,,-646799,-637924,-19319,0.0,,518560,709170,59882,-783.0,29597,-798566,-768969,,68.0,,-56,0.0,-197,0.0,5216.0,-697806,627042,-278.0,764,0.0,,,,33084,-5565
2014-11-13,3,2014,140,102291.0,,2283,,1831.0,-4489.0,89742,7156,-2302,,,,,-397,-898,12890,570,-185424,,,-143000.0,,5544,,-299,,-654.0,,-167190,,12614.0,,4916.0,,-185489.0,,27443.0,-26095.0,-323105,71868,,-10014,3665,-12385,,932,0.0,,2014年01月01日至2014年09月30日,618268,618094,-174,60005,,,,-33490,-21759,-15847,-47004.0,,221336,355851,60005,19165.0,116867,-300922,-184055,181818.0,98.0,,-86,,-341,0.0,10364.0,-81764,618094,-278.0,755,0.0,,,,33476,33407
2015-03-24,4,2014,928,85671.0,,19138,,87.0,,-5326,-5978,356,,-39727.0,,-5411.0,1010,-1771,16476,443,-436925,,-3003.0,0.0,,482,91192.0,-299,,-3873.0,,-167884,,21465.0,,-3310.0,,-98177.0,,26105.0,-28395.0,-367658,96577,,-26963,5139,-15810,,1805,19470.0,,2014年度,618268,875250,256982,145728,,,,84390,98909,-27353,-47004.0,,321382,539807,145728,-305.0,112593,-245083,-132490,172728.0,254.0,10365.0,86,,-341,,,-46819,875250,-514.0,-5647,0.0,0.0,93000.0,0.0,27761,109021
2015-05-13,1,2015,63,,0.0,-24889,,-11549.0,,10095,-3093,4069,,-14080.0,,-1528.0,-254,-150,3839,40,-152294,,,0.0,0.0,-4100,,303,,-633.0,0.0,-203185,,9109.0,,8961.0,,88244.0,,47728.0,,-165319,25026,,-1146,1914,-3680,,150,0.0,30952.0,2015年01月01日至2015年03月31日,875250,837601,-37649,26381,440.0,,,-85540,-82010,-897,0.0,,221958,213170,26381,0.0,-57931,-81412,-139343,-9091.0,81.0,,7,0.0,-133,0.0,3135.0,-108391,837601,0.0,5886,,,,,-2729,-61647
2015-08-12,2,2015,5215,,0.0,-6550,,-29381.0,0.0,76,-12643,4504,,-14080.0,,-2060.0,-807,-960,8100,96,-415294,,-2001.0,0.0,,-4100,0.0,182,,-4390.0,,45290,,-31707.0,,5412.0,,29193.0,,31707.0,,-430866,50923,,1951,4272,-7936,,960,,85989.0,2015年01月01日至2015年06月30日,875250,854584,-20666,21113,-445.0,,,93555,106297,1244,0.0,,311670,316549,21113,15907.0,-75117,74312,-805,4697.0,843.0,6116.0,-215,,-1111,,,85184,854584,-5766.0,8835,0.0,0.0,,-2021.0,4398,-41903
2015-11-12,3,2015,781,,0.0,-4374,,-13463.0,1055.0,9852,-25247,3624,,-7770.0,,0.0,717,-1234,14490,99,-617138,,,0.0,-2001.0,-2100,0.0,243,,-7474.0,,27144,,-13647.0,,11393.0,,-3167.0,,-6351.0,,-624104,77910,,-6487,3570,-14130,,1234,0.0,103734.0,2015年01月01日至2015年09月30日,875250,799176,-76074,42567,-5307.0,,,-13381,5281,-11460,-56374.0,562646.0,0,561312,42567,15907.0,-114008,-27012,-141020,54797.0,1081.0,,-450,,-1136,,8143.0,-37286,799176,-5766.0,3787,,-2021.0,,0.0,1908,-111925
2016-03-23,4,2015,919,,0.0,17920,,-2327.0,,5193,-50006,5633,,20151.0,,-3648.0,12781,-2168,18252,-450,-1035269,,,0.0,-2001.0,-1716,0.0,298,,-17493.0,,-501779,,-22203.0,,40510.0,,52455.0,,5502.0,,-1006655,105429,,-23922,5232,-17318,,2168,16183.0,114191.0,2015年度,875250,833690,-41560,93387,-6578.0,,-411971.0,-411971,-391055,-23201,-56374.0,,827320,1377516,93387,-275.0,-81897,-516736,-598633,606272.0,1331.0,,1437,,-1136,14091.0,0.0,-484442,833690,-5766.0,1379,0.0,0.0,0.0,-2021.0,-3013,-116739
2016-05-13,1,2016,129,,-25000.0,-27164,,1402.0,,5319,19702,293,-3918.0,-985.0,,0.0,-4620,-122,7593,650,-115886,,,0.0,-1020.0,0,0.0,0,,4276.0,,219268,,78141.0,,5536.0,,-55956.0,,79457.0,,-113279,26744,,-6007,1733,-7704,,122,0.0,38342.0,2016年01月01日至2016年03月31日,833690,871733,38043,42371,-15256.0,0.0,387865.0,387865,395447,-10612,0.0,,-249864,-237193,42371,,42174,272560,314734,41589.0,336.0,,-267,,0,,0.0,353076,871733,,13159,,,,,19006,-4402
2016-08-10,2,2016,158,,-75000.0,-11815,,6407.0,,-3098,-14227,-383,-8247.0,,,12389.0,-3870,-703,21200,923,-232257,,,0.0,-1020.0,3000,,0,,11737.0,,140396,,9413.0,,23894.0,,-134219.0,,21111.0,,-207763,66353,0.0,-10480,3673,-21427,5379.0,703,,82087.0,2016年01月01日至2016年06月30日,833690,1068128,234438,76870,-15038.0,,199132.0,199132,214477,-19958,0.0,,-498283,242146,76870,-45.0,31016,24504,55520,823676.0,397.0,,-1,,9,,991.0,137607,1068128,0.0,2793,,,,0.0,25377,27660
