date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少
2013-05-13,1,2013,5311.0,0.0,-27765,9700.0,-2059,801,-8875,,,,-146,213,3164,-1044,,-600,,,146.0,,-13.0,,-19385,10476,682.0,12430.0,-2214.0,0.0,8043,4937,2055,-210,145,,2013年01月01日至2013年03月31日,331979,318889,-1383.0,-13090,6430,,-24443,-24168,,,146.0,6430,-15806,-20103,-35909,,,,,-9,,,-30598,318889,-210.0,-356,,
2013-08-08,2,2013,13445.0,0.0,-22488,9700.0,-380,-3002,-10709,,-6219.0,,-274,425,3877,-1057,,-600,-8600.0,,142.0,,-20.0,,-2225,5093,11497.0,4718.0,-1602.0,-1844.0,1804,9847,3516,-425,274,,2013年01月01日至2013年06月30日,302698,304529,-1061.0,1831,7066,,-3992,-431,,0.0,142.0,7066,-10744,-10198,-20942,,,,,-9,,8600.0,-7497,304529,-3410.0,1001,,
2013-11-06,3,2013,21287.0,0.0,-20221,9700.0,-76,-696,-8022,,-5876.0,,-435,641,2068,-2359,,-851,-8600.0,,142.0,,-15.0,,-30169,18758,,,22703.0,-8393.0,2647,14644,4623,-641,435,,2013年01月01日至2013年09月30日,302698,301202,774.0,-1496,2111,,-6353,-2718,,,142.0,2111,-10552,-15564,-26116,,2048.0,,,47,,8600.0,-4829,301202,-3429.0,993,,
2014-03-24,4,2013,25041.0,0.0,-3156,9700.0,-1686,-2116,-10059,,-6112.0,0.0,-595,727,3081,-2533,,-1286,-8600.0,,27.0,0.0,-24.0,,4451,-13249,,20105.0,,-15549.0,1794,18714,5842,-727,595,,2013年01月01日至2013年12月31日,302698,298671,,-4027,-7936,,-8929,-4154,,,27.0,-7936,-34070,12811,-21259,,2049.0,0.0,,47,0.0,8600.0,3782,298671,-4643.0,306,,
2014-05-13,1,2014,3494.0,,-17502,0.0,1058,-457,2080,,-10744.0,,-135,216,2757,-3485,,0,,,0.0,,-15.0,,-29166,24051,,15733.0,,263.0,-13199,3405,1232,-216,135,,2014年01月01日至2014年03月31日,298671,283186,,-15485,-3742,,-5043,-4188,,,0.0,-3742,6355,-10295,-3940,,,,,0,,1045.0,-446,283186,-774.0,-1224,,
2014-08-13,2,2014,7814.0,,-11828,0.0,1024,-130,5116,,-25068.0,,-323,421,213,-12171,,-2639,0.0,,0.0,,-58.0,,10595,13662,789.0,2169.0,460.0,263.0,-38510,7412,2267,-415,291,,2014年01月01日至2014年06月30日,298671,259987,0.0,-38684,-29418,,-382,516,,,-5.0,-29418,2756,19364,22120,,381.0,,,-25,,1045.0,29934,259987,-774.0,-1938,-5.0,
2014-11-06,3,2014,13339.0,,-25618,0.0,1142,1063,-6545,,-26480.0,,-520,653,1830,-18482,,-2799,0.0,,0.0,,329.0,,5460,29221,18655.0,5835.0,690.0,263.0,-46006,11474,3296,-641,484,,2014年01月01日至2014年09月30日,298671,273127,0.0,-25544,-23886,,18637,19619,,,-5.0,-23886,23584,6582,30166,,381.0,,,-25,,1045.0,43505,273127,-825.0,-1539,-5.0,
2015-03-19,4,2014,18329.0,,-19618,0.0,1061,737,-2317,,-27835.0,,-711,730,6160,-22642,0.0,-3448,,,0.0,,-194.0,,509,20063,9093.0,-32516.0,783.0,-104.0,-52693,15860,4371,-726,626,,2014年度,298671,233274,,-65397,-14005,,-18859,-17985,,,-5.0,-14005,10171,-32480,-22309,,381.0,,1045.0,-25,,,-3980,233274,-774.0,-1896,-5.0,
2015-05-13,1,2015,,,-13466,,-1805,-601,5248,,0.0,1114.0,-176,213,-1857,-8322,,-2438,,,,,0.0,546.0,3820,-3773,-6042.0,-13981.0,363.0,,-8638,4896,1128,-209,235,5369.0,2015年01月01日至2015年03月31日,233274,204288,,-28986,6377,-26.0,-18491,-18517,,,,6377,-23908,-6355,-30263,,462.0,,0.0,-181,,,-24894,204288,0.0,-511,,
2015-08-12,2,2015,,,-9858,,-236,-595,4744,,0.0,1777.0,-337,428,-3489,-15359,,-4657,,,,,0.0,422.0,6585,4816,-1372.0,4006.0,366.0,,-16427,10295,2332,-426,409,13054.0,2015年01月01日至2015年06月30日,233274,253440,,20166,17568,-27.0,40082,39051,,,0.0,17568,-7036,15465,8429,,462.0,,928.0,-181,,,21483,253440,1048.0,517,0.0,
