date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-10,1,2013,35129,-18418,-57359,-4932,11724,-519,,-49922,-1874,-8042,8511,49030,-143864,,-337950,,,952,0,-3721,,21,-19075,,-275822,-8055,,309797,56312,-573,2520,-7084,84595,,-64704,217,-9692,6202,,,2013年01月01日至2013年03月31日,1305178,1459385,154207,38855,,87123,92186,,6017,,25138,38855,0,-324307,342509,18202,50000,2878,,515551,-2754,,,,53331,2685,1459385,-5063,-1145,20325,,1499
2013-08-08,2,2013,70965.0,-97203,-63824,8957,14830,-1167,,70767.0,17583,-16255,17074,78441,-242495,,-1078650,-57984.0,,1425.0,0.0,-3686.0,,21.0,-14250,0.0,-328720,-6053,30000.0,431193,83520,-127.0,4006.0,-370940,171510,-124.0,-144353,4193,-19831,14473,265532.0,,2013年01月01日至2013年06月30日,1305178,1446026,140848,129688,,523081,290965,,,-200439.0,-89734,129688,0.0,-392273,482585,90312,200000,2869,,920059,-3055,,,,161277,-12512,1446026,-33416.0,-2134,26402,0.0,-25417
2013-11-08,3,2013,117620.0,-145454,-28250,8044,13458,-2368,-155799.0,0.0,31183,-26328,25474,73570,-370328,,-1490164,-57984.0,,2087.0,0.0,-3829.0,,21.0,-143703,0.0,-127365,-6346,30000.0,334282,88423,-167.0,5013.0,-465638,260706,-126.0,-216717,6214,-29334,24120,265532.0,,2013年01月01日至2013年09月30日,1305178,1348389,43211,270390,,703231,470790,-63778.0,0.0,-406244.0,-267952,270390,0.0,-160291,243071,82780,348600,12355,,1572141,-1726,,,,200400,-16801,1348389,-33091.0,-3371,42185,0.0,-41314
2014-03-24,4,2013,256598,-193431,-7512,3496,2949,-1719,-466929,0,57915,-39285,33688,51338,-514471,,-1900810,-57984,,2087,0,-3761,-19,0,-112464,0,-262952,-1591,30000,297702,83957,175,5598,-754594,346431,-125,-204941,8624,-39235,30380,265532,,2013年01月01日至2013年12月31日,1305178,1087807,-217371,332477,,759408,529388,-63778,,-353805,-273523,332477,0,-302867,243180,-59687,348400,12982,,2142257,-1198,,,,196911,-39359,1087807,-35512,-4322,59686,,-27842
2014-05-08,1,2014,89168.0,-70299,-7388,-898,3605,-611,0.0,5782.0,14575,-15805,8216,-503,-88959,,-342290,,,0.0,,-3372.0,,0.0,-163716,,53574,-4450,,48856,-2763,-74.0,2966.0,9282,82182,,-27867,1595,-10086,17362,,,2014年01月01日至2014年03月31日,1087807,1183976,96169,98104,,88675,103416,,0.0,-67528.0,-1285,98104,,43787,-127643,-83856,150000,1033,,416354,-798,,,,5312,-4520,1183976,-14741.0,-600,27670,,-8437
2014-08-08,2,2014,235115.0,-178323,-2285,23454,1924,-2156,,390681.0,39898,-33077,17579,-31753,-145168,,-742260,0.0,,0.0,,-3529.0,,0.0,-246592,,131089,-2761,0.0,55320,-4241,66.0,5969.0,240647,166815,0.0,-30459,4367,-20618,30718,0.0,,2014年01月01日至2014年06月30日,1087807,1774973,687166,203954,,301510,361870,,,-90768.0,176762,203954,,108758,-185957,-77199,470000,1743,,704933,-563,,,,157916,-25178,1774973,-60360.0,-1233,71788,,-11808
2014-11-07,3,2014,425318.0,-571624,32536,12034,2403,-591,0.0,369763.0,73239,-48699,27042,36688,-228754,,-845460,0.0,,0.0,,-7924.0,,0.0,-420081,,191332,9957,0.0,-174100,-10153,66.0,7879.0,377057,253417,0.0,13616,8391,-31408,42455,145418.0,,2014年01月01日至2014年09月30日,1087807,1783699,695892,276939,,356350,285398,-255296.0,,-82951.0,-74203,276939,,198104,-614963,-416859,875000,4829,,1034224,-3651,,,,8459,-46003,1783699,-74466.0,-1673,103636,,-22138
2015-03-26,4,2014,509082.0,-734163,112245,2503,3196,-1268,0.0,363078.0,86359,-65789,36811,87185,-290473,,-845460,0.0,233.0,0.0,,-11536.0,0.0,,-318877,,284966,25250,0.0,-219790,-7566,66.0,10668.0,325449,339446,0.0,9670,10482,-42179,56070,145418.0,,2014年度,1087807,2033906,946099,419308,,767332,708069,-255296.0,,-240693.0,-233867,419308,,353480,-573801,-220321,1050000,8010,,1034224,-6040,,,,288761,-82845,2033906,-86155.0,-1993,99903,,-28869
2015-05-12,1,2015,,-88070,-91852,13366,2156,835,0.0,25242.0,12642,-18232,10390,-14740,-101908,,-15200,,,,,-10.0,,0.0,-116459,,-204923,-23424,,176618,-21843,0.0,,437052,80931,,40429,585,-11037,17400,,-218171.0,2015年01月01日至2015年03月31日,2033906,2582826,548920,395631,2462.0,-74720,-60694,,300445.0,0.0,201328,395631,,-325579,87425,-238154,0,341,,0,-341,,511177.0,-363564.0,-456325,-9998,2582826,-14026.0,-489,19478,,34908
2015-08-06,2,2015,,-175727,-104057,11693,9580,-2925,-1981143.0,,21821,-50887,19789,-40934,-175016,,-15200,,,,,-22.0,-250.0,,-227827,,-363801,-24955,,445156,-19228,0.0,,4338591,167029,,52161,999,-21344,40571,,-5213258.0,2015年01月01日至2015年06月30日,2033906,6391631,4357725,5624607,5399.0,118499,151847,,138662.0,,-58431,5624607,,-496751,237249,-259502,0,440,,6187,495,,7018159.0,-5451992.0,-5472760,-18917,6391631,,-870,28197,,30380
