date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,,176036.0,,,-1181410,-279099,,,-4429,4563,-101642,34880,2908,-702020.0,7072.0,,,,9327,93742,1473,-61757,,,,246,24112.0,0.0,0.0,61746.0,-209329,-752234,,-52419.0,0.0,-207008.0,127188,1136144,,-186805,-87382,,-694959,87400,0.0,,-18593,22839,-80112,1386,,,2013年01月01日至2013年03月31日,4352233,2399186,-10049,-1953047,106348,,19202,152465,,,,0.0,-970000.0,-1278763,106348,,,-432132,302213,-129919,1053400,0,,,,,46117,5045,2399186,-54537,-8876,,2143,-247252,479944
2013-08-12,2,2013,,328936.0,,,-6297145,-498522,,,182991,-60317,-264622,3555,-20308,-1274602.0,0.0,35856.0,,0.0,-19874,184230,2169,-94606,,,,-92,18532.0,0.0,0.0,128966.0,-699716,-1030232,,142275.0,142937.0,0.0,144484,1017844,,-202280,-25174,213.0,-1231675,186722,-100000.0,,-54422,34829,-159040,4912,,,2013年01月01日至2013年06月30日,4352233,1904342,-12388,-2447891,113798,,-247304,-54231,,,,0.0,-860000.0,-971081,113798,,,-161749,-335216,-496965,5988156,2658,5909.0,,,,-168029,4540,1904342,-38945,9931,,583,-223951,1132255
2013-11-11,3,2013,,434467,3701,,9641742,-375428,,,-51379,-17923,-423171,3553,-12387,-2107785,61701,51058,,0,-20681,277935,-234,-139199,,,,62,19954,0,0,178522,-2969449,-710853,,-133862,560733,0,-73371,1264785,,-21046,19533,1329,-1928576,272953,0,66646,-87645,51873,-290366,6130,45142,,2013年01月01日至2013年09月30日,4352233,1507302,-6766,-2844931,-77416,,-1758209,-1481743,,,0,423000,,842088,-77416,,-27142,690588,-2529382,-1838794,-9854985,2381,5457,-540,,,-1404327,7399,1507302,-37372,-25582,,586,-336268,1989744
2014-03-25,4,2013,0.0,625845.0,3516.0,0.0,-8675355,-2611,,,-112443,8686,-206749,86176,3809,-2320244.0,657775.0,-12167.0,,,-30115,374709,199,-265333,,-21491.0,-81.0,207,2784.0,,0.0,156617.0,-1649768,978199,,-365139.0,190774.0,0.0,-134058,-1550761,-543214.0,100638,37175,-7646.0,-1707713,368203,7482.0,66646.0,-94679,69294,-370690,30179,68024.0,,2013年01月01日至2013年12月31日,4352233,2168730,-9848,-2183503,1730872,,-298468,93828,,-597238.0,2500000.0,-275000.0,,-177521,1730872,,-50024.0,2042623,-4305512,-2262889,6688219,5854,9028.0,1852.0,,,-1637044,6009,2168730,-119809,-3754,,462,-391681,1473007
2014-05-08,1,2014,,62880.0,,25000.0,-422499,-318682,,,31276,-27721,-45527,-105,-8482,-4267693.0,0.0,0.0,-42502.0,,-992,96485,2004,-22314,,-1484.0,-365.0,-296,3664.0,,-52113.0,0.0,-2141132,-1651032,99066.0,,432130.0,0.0,-6753,2396251,494132.0,-81272,-39301,334.0,-4296918,76543,,,-19898,16042,-80015,1062,176439.0,,2014年01月01日至2014年03月31日,2168730,2029536,-8564,-139194,244084,,-261086,-323981,4335000.0,,,-777300.0,,4416806,244084,73500.0,-176439.0,-1398358,767413,-630945,888339,10238,11813.0,1939.0,,,-568065,2267,2029536,-34591,4560,,-26,161468,504268
2014-08-05,2,2014,0.0,266972.0,,25000.0,-2049041,-479119,,0.0,33859,-19220,-57940,1121,-16272,-1370648.0,,-3492.0,,,-8901,193948,-2,-59736,,-1484.0,-407.0,-1728,0.0,-4430.0,,16506.0,-3460418,-1660267,392278.0,,119601.0,,161674,2936920,163658.0,-519462,-15946,661.0,-1348106,165405,40.0,30361.0,-36072,31505,-160453,7470,183928.0,,2014年01月01日至2014年06月30日,2168730,3949395,-613,1780665,743978,,-570047,-560745,4335000.0,,0.0,,-1018000.0,3698820,743978,73500.0,-183928.0,-713657,-858038,-1571695,2319182,488,11814.0,12804.0,,705.0,-1304723,5330,3949395,-40247,20347,,0,77523,883885
2014-11-04,3,2014,,351788.0,0.0,25000.0,-6076699,-404967,,,33453,-14850,-61198,711,-12914,-533595.0,187230.0,-5125.0,,-306.0,-7601,267006,-465,-85979,,-1484.0,-407.0,-1422,37479.0,,-337.0,0.0,-5005742,-1664011,319590.0,,349985.0,,60158,3045109,323188.0,-446562,16653,-2910.0,-362759,255484,0.0,30361.0,-93048,46969,-241433,6298,248899.0,,2014年01月01日至2014年09月30日,2168730,2345772,-7961,177042,1047137,,-1272100,-1235065,4335000.0,-484177.0,0.0,37584.0,,1812366,1047137,73500.0,-227299.0,-621296,-2012694,-2633990,3618515,919,15533.0,14026.0,,705.0,-2282202,3247,2345772,-50799,31735,,-196,95319,1081736
2015-03-20,4,2014,,528797.0,0.0,25000.0,-6759877,59206,-60598.0,,22587,14291,203784,3136,36573,-431420.0,372915.0,,-10770.0,,-7838,349041,2993,-112414,,-3288.0,-1370.0,-3564,0.0,-7581.0,-1056.0,0.0,-3003086,107504,82468.0,,458857.0,,-53305,-1618362,342974.0,-141894,-41730,-7247.0,-114636,352793,0.0,30361.0,-82945,63391,-348091,6816,249074.0,,2014年度,2168730,2165806,-22704,-2924,2543101,,-1202012,-1009547,4335000.0,-484177.0,0.0,,-779416.0,1310731,2543101,73500.0,-227474.0,14511,-4095956,-4081445,4559058,4880,1756.0,4853.0,,703.0,-3552648,2649,2165806,-100264,16988,12053.0,-363,103198,-133593
2015-05-04,1,2015,,,,0.0,-819100,-96414,-149065.0,,52955,62399,-67665,-23,-5782,-223809.0,215478.0,-2727.0,,,-1249,94053,-1116,-5525,,-560.0,0.0,0,6904.0,,-16802.0,,-597417,-1089199,-82522.0,,0.0,-519836.0,4395,2278116,-60818.0,93757,50821,,-30105,89872,20657.0,,-37250,15448,-65709,2224,28228.0,132475.0,2015年01月01日至2015年03月31日,2165806,1707861,4171,-457945,226407,4014.0,736435,781538,0.0,,,,-615000.0,-1163159,226407,0.0,-28228.0,-1466859,1889515,422656,786600,39,,492.0,1074.0,1256.0,555131,1509,1707861,-9846,-6090,0.0,0,124891,-121953
2015-08-03,2,2015,0.0,,0.0,0.0,-4476635,7702,-116404.0,,223516,-18410,-96932,-48,-15045,-146501.0,31561.0,,-101739.0,,-4707,177202,-4,-18199,,0.0,-284.0,0,,-541.0,0.0,-84489.0,-1186116,-1203982,141515.0,,0.0,-523554.0,208300,4700973,-23022.0,-365048,53027,,-159057,179047,37665.0,30057.0,-69221,30892,-143477,5764,117754.0,94460.0,2015年01月01日至2015年06月30日,2165806,3617548,9234,1451742,813108,4648.0,2949468,3099793,0.0,0.0,0.0,360000.0,0.0,-1338665,813108,0.0,-117754.0,-1142830,3335055,2192225,3404340,1143,26580.0,-92.0,1075.0,315.0,2286685,1752,3617548,-130366,-110456,0.0,-536,6037,-167903
