date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-04-30,1,2013,11204.0,,-2230,-12079,105,,1648,,0.0,-1286,4176,1883,-30708,,-75537,,0.0,,0.0,,-329.0,55906,,-209437,-1236,,-140804.0,-39574,-505,297420,11745,318.0,-42857,3553,154,-4468,1284,,,2013年01月01日至2013年03月31日,216920,242514,3235,25594,22419,,121598,126332,,88004.0,,-55030,22419,,-258690,351399,92709,,62086,,-1673,103913,242514,-1550,2324.0,721.0,,-13777,-17.0,3823
2013-08-06,2,2013,13983.0,,-4461,-3286,-5757,,22330,,0.0,-3182,8072,4610,-47406,-507.0,-89205,0.0,-424.0,,0.0,,5810.0,39792,0.0,-86627,-1555,,-174684.0,100336,259,98715,-7927,654.0,-80024,7255,309,-8306,3197,,,2013年01月01日至2013年06月30日,216920,437455,2511,220535,53507,,190668,197940,,284426.0,,105281,53507,,9843,120607,130450,,100324,,-4878,144433,437455,-2163,3764.0,132.0,,-4216,-70946.0,62
2013-10-25,3,2013,1645.0,,-6691,-754,-5293,,5920,,0.0,-4835,12595,4810,-141095,-507.0,-101400,-62.0,-420.0,,0.0,0.0,5842.0,137257,0.0,-88191,-1101,,-162192.0,-31464,-1052,130815,56460,997.0,-110878,10929,464,-12850,4850,37118.0,,2013年01月01日至2013年09月30日,216920,478870,4207,261950,110411,,333221,312081,,203680.0,,34797,110411,-38841.0,-113445,313470,200025,0.0,120844,0.0,-6686,201670,478870,-7978,23539.0,273.0,,-5769,,8120
2014-03-18,4,2013,2244.0,0.0,-8921,-114,-3644,,9310,,0.0,-7078,16840,6563,-71891,-507.0,-144111,-63.0,-867.0,,0.0,,6443.0,127755,0.0,-51689,-501,,-227763.0,14577,-656,193465,-52242,1347.0,-39633,14712,621,-17088,7092,38841.0,,2013年01月01日至2013年12月31日,216920,609666,1638,392746,146582,,387074,367138,,275426.0,,38742,146582,-38841.0,-34861,253173,218312,0.0,233091,0.0,-14910,220556,609666,-8909,27614.0,1648.0,,-12161,-71038.0,2175
2014-04-29,1,2014,3686.0,,-2230,-11300,2716,,5081,,,-1632,4260,3275,-8163,,-25901,,,,,-14.0,,65313,,-16019,-1054,,75825.0,-15848,60,49242,109806,409.0,-15211,3928,157,-4365,1630,,,2014年01月01日至2014年03月31日,609666,683214,251,73548,37753,,226184,231273,,-214295.0,,-140700,37753,,-45543,235377,189834,,13786,,-2650,193520,683214,-2354,0.0,-628.0,,8300,0.0,-1791
2014-08-05,2,2014,5035.0,,-4461,-7991,627,,11649,,,-3881,8679,-2109,-11748,0.0,-47266,,,,,861.0,,46672,,-45097,853,,98633.0,-28563,545,28713,61747,799.0,-18718,8039,314,-8774,3881,,,2014年01月01日至2014年06月30日,609666,705663,223,95997,65482,,152972,160461,,-130320.0,,-36148,65482,,-50810,140754,89944,,27786,,-7248,94979,705663,-2596,0.0,-1091.0,,2995,0.0,28644
2014-10-29,3,2014,-32935.0,,-6691,-1928,-2473,,7523,,,-6565,13504,2757,-11730,0.0,-58283,0.0,-445.0,,,,352.0,37925,,18716,-1054,,126700.0,-20766,1678,-140594,74609,1182.0,2886,12175,472,-13601,6574,51658.0,,2014年01月01日至2014年09月30日,609666,547006,-1426,-62660,160492,,154990,112588,-63640.0,-279662.0,,-223293,160492,-53868.0,17461,-32430,-14969,134.0,65335,-11.0,1930,-47904,547006,-2229,3068.0,-2214.0,,-1897,,19633
2015-03-13,4,2014,-25610.0,,-8921,1483,2634,,-2701,,,-8362,16683,14013,-12805,0.0,-75205,0.0,-946.0,,,,899.0,101811,,-164635,-1018,,105441.0,5530,-835,12428,61702,1581.0,2626,16323,630,-16897,8365,53868.0,,2014年度,609666,700934,-10455,91268,204683,,244515,203308,-63640.0,-202766.0,,-169886,204683,-53868.0,-156543,180778,24235,135.0,93249,-11.0,9032,-1375,700934,-4129,3068.0,1350.0,,2203,0.0,1351
2015-04-21,1,2015,,,-2230,-10217,-7167,,17187,,,-1925,3560,-3507,-270,,-42760,,,,,-19.0,,-119496,,188127,1356,,10685.0,-46149,-1081,40875,59378,,10886,4006,158,-3503,1933,,9154.0,2015年01月01日至2015年03月31日,700934,740145,11216,39211,39874,362.0,156925,159276,,-133548.0,,-125093,39874,,135238,-24990,110248,,36748,,-6899,119402,740145,-781,,-962.0,,1420,,2840
2015-08-11,2,2015,,,-4461,-3273,-689,,40318,,,-4034,7082,-5746,-269,,-52495,-373.0,,-427.0,,3038.0,,-47713,,-53023,397,,-5649.0,-41071,739,203916,44571,,75057,7988,328,-7061,4063,,272.0,2015年01月01日至2015年06月30日,700934,758385,11185,57451,79150,726.0,148035,178657,,-149785.0,,-159895,79150,344.0,-98076,197311,99235,314.0,86619,-314.0,-21105,99507,758385,-27624,,-1202.0,,-2774,-1668.0,-2571
2015-11-10,3,2015,,,-6691,6392,1027,2156.0,44886,,,-6088,10215,-176,-515,,-84033,-669.0,,-437.0,,,282.0,-10540,-5970.0,31803,1730,24151.0,,-60728,-684,135681,94664,,51040,11990,518,-10303,6116,49075.0,-49042.0,2015年01月01日至2015年09月30日,700934,753747,7683,52813,193851,1096.0,343592,337073,-113644.0,,-239489.0,-341643,193851,-49075.0,-22733,214997,192264,314.0,95477,-314.0,-22813,143222,753747,-38369,0.0,,-1158.0,-7991,-4265.0,-2342
