date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,其他借款增加,其他借款減少,其他應收款增加,其他應收款減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他資產增加,其他資產減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,員工福利負債準備增加（減少）,因合併產生之現金流入,央行及同業融資減少,央行及銀行同業存款增加（減少）,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存放央行及拆借銀行同業（增加）減少,存款及匯款增加（減少）,存貨（增加）減少,客戶保證金專戶（增加）減少,庫藏股票買回成本,應付款項增加（減少）,應付短期票券增加,應付短期票券減少,應付融券擔保價款增加（減少）,應收款項（增加）減少,應收證券融資款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,期貨交易人權益增加（減少）,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業保證金增加,營業保證金減少,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,融券保證金增加（減少）,調整項目合計,負債準備增加（減少）,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,金融資產減損損失,附買回票券及債券負債增加,附買回票券及債券負債減少,附賣回票券及債券投資增加,附賣回票券及債券投資減少,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-10,1,2013,,94926.0,,,,-432046,0.0,60162.0,-98167,-94044,-2964.0,,,-102316.0,,,,-302252,186994,448528,-339769,,-164663,,,-269614,,,4261.0,0.0,,1278625,4796.0,0.0,0.0,4457,167188,-1386135,-223494,11978,0.0,-141646,519969.0,,-256088,112855,-106715,-1306964,387809,4542,7795,-183193,302169,,2013年01月01日至2013年03月31日,4216026,5567056,-12058,-162809,1351030,427512,,-2207.0,869708,759919,,1002000.0,579688.0,,1339758,427512,-849515,1086996,237481,0.0,,182252,-152,,0.0,,,-16896,275000,-238307,332407,,1189466,5567056,-9187,80645,-10105,11182.0,,,-334649.0,,-947302.0,0,,-62065
2013-08-13,2,2013,,341891.0,872.0,,,520641,-34749.0,,53675,-32333,-96647.0,,,-58297.0,,,,-614592,372642,42486,-546764,,-357053,,,-374905,,,-28252.0,0.0,,1080720,3611.0,,-1000000.0,1232,262958,2444003,91278,29606,0.0,1618948,582505.0,,-313219,-1566009,-269357,-4918103,852977,9831,15094,-380621,630094,,2013年01月01日至2013年06月30日,4216026,5834238,-30822,-289429,1618212,1129435,,-2207.0,4505899,4471369,,997850.0,216557.0,,1987930,1129435,4538170,-1538127,3000043,1509.0,,488713,475,,0.0,,,-17840,450000,-286883,3341934,,-178832,5834238,-214943,-95687,12733,8705.0,,,-333234.0,,-3389807.0,0,,211544
2013-11-12,3,2013,,765000.0,17555.0,,269295.0,0,0.0,14702.0,394232,-456503,0.0,163035.0,,-64445.0,,,,-942599,566096,36367,-730757,,-942417,-4965.0,,-722396,,,,0.0,,1856040,4565.0,,-1000000.0,1381,373909,1959825,44484,31582,0.0,-30182,772213.0,,-38314,-17840,-364754,-4826815,1265849,-1168,31338,-553236,942626,,2013年01月01日至2013年09月30日,4216026,6398891,-31450,-39392,2182865,1731606,0.0,-2207.0,4516418,4461254,0.0,997850.0,0.0,-230060.0,2456895,1731606,4041745,-2077097,1964648,87331.0,,1239514,-33296,,0.0,,,-60259,650000,-37134,2729648,-31272.0,-1034293,6398891,-334226,-380363,-21569,-32665.0,,112607.0,0.0,,-3538111.0,535390,,-240654
2014-03-28,4,2013,,1132350.0,17555.0,,,-482052,,,310214,-133320,,71644.0,-1043318.0,,,-43830.0,,-1332964,728328,2203,-1322454,-103010.0,-1537009,-76985.0,,-954059,,-3180.0,-61060.0,4036.0,,1519800,2989.0,0.0,,-67035,-288605,6755853,786189,-19396,0.0,1022008,0.0,-297832.0,117582,-728997,-610140,-8022620,1716769,19806,30262,-726551,1352942,,2013年01月01日至2013年12月31日,4216026,6757282,19413,85670,2541256,1973383,0.0,-2207.0,10087269,9790769,-552960.0,997850.0,0.0,-856507.0,474404,1973383,9785769,-3100733,6685036,100486.0,,2091422,-34830,,858880.0,,,-88832,700000,101959,7817386,,-2191266,6757282,-329891,108069,8141,,,293022.0,0.0,-5975491.0,,631829,,-23267
2014-05-14,1,2014,,-63802.0,,,,-945012,-96116.0,0.0,-364022,42948,-25228.0,,,59878.0,14883.0,,,-339008,181784,29879,-253749,,-711062,-107785.0,-80.0,-301003,,,-27331.0,,,82750,0.0,-12413.0,,73279,576980,1030803,-233591,-30758,-333538.0,262533,675224.0,,-287666,-623204,-117568,1036442,425146,4611,8699,-166722,326557,,2014年01月01日至2014年03月31日,6757282,6871801,30794,57614,114519,792220,,-344.0,-1504556,-1586855,,0.0,985906.0,,552754,792220,470610,-2785883,-2315273,17.0,,668829,438,,,2168056.0,-387958.0,-2154,25000,-257251,-2379075,,-1312033,6871801,-77536,71270,-12974,,,,-16743.0,,-571035.0,292232,,-1159927
2014-08-12,2,2014,,126589.0,0.0,,,236975,36399.0,,-389601,128754,-498440.0,,,-254537.0,5822.0,,,-696719,371105,878,-581832,,-1565811,-18392.0,-80.0,-903818,,,-40505.0,,,-70650,0.0,-12488.0,0.0,73502,-466938,3538647,-508406,-49259,-382822.0,739031,584665.0,,-390079,-866303,-558106,-850908,816009,16452,11313,-366554,675337,,2014年01月01日至2014年06月30日,6757282,6054830,49319,43858,-702452,1336648,,-344.0,-919785,-1073278,,0.0,437925.0,,1067363,1336648,3085934,-5622449,-2536515,463.0,,1406741,6367,,,2168056.0,-387958.0,-20787,175000,-350228,-2409926,,-2043300,6054830,-155290,-13987,-33051,0.0,,,260145.0,,-906207.0,-44467,,-1244904
2014-11-13,3,2014,,342434.0,29395.0,,0.0,-771038,-8440.0,0.0,-674,-330976,-491250.0,0.0,-112892.0,,,-6637.0,,-1068001,562814,4534,-733380,,-1938964,-18392.0,-80.0,-1256683,,,-44249.0,,,-968045,0.0,-11518.0,0.0,72134,287685,3627326,-986236,-81690,-728446.0,-872343,1294773.0,,-213466,592925,-510520,427394,1227594,-8003,17012,-547480,1063142,,2014年01月01日至2014年09月30日,6757282,5542606,81351,60708,-1214676,1834123,,-344.0,-2005963,-2258952,-593214.0,0.0,564994.0,0.0,359359,1834123,1419782,-5855291,-4435509,815.0,,1915225,6024,,,2168056.0,-387958.0,-71667,375000,-190118,-4093075,,-3248277,5542606,-262673,-143368,3911,0.0,,631289.0,,0.0,408802.0,-2452,,-1434834
2015-03-26,4,2014,0.0,762188.0,29395.0,,1033065.0,0,,,-430539,90001,-752797.0,0.0,-65301.0,,,-17640.0,,-1441133,751669,25268,-1132586,0.0,-2632484,-33342.0,-80.0,-4693682,,0.0,-41401.0,0.0,,610816,0.0,-9848.0,0.0,72542,-348138,6165435,-714144,-70687,-728447.0,-1211761,,-67857.0,3744,653122,-291569,-2619709,1688117,-827,22423,-743776,1440375,,2014年度,6757282,5417476,70748,148207,-1339806,2036015,,-344.0,1870942,1414867,-593214.0,0.0,,-634781.0,-616307,2036015,5174441,-6557777,-1383336,122105.0,,2484585,44904,,0.0,2168056.0,-387958.0,-86224,1754616,7399,-621148,,-4526879,5417476,-240524,-160045,23010,,,543552.0,,0.0,26266.0,-107795,,-1189438
2015-05-12,1,2015,,,,,,-2368167,-445826.0,,-31365,-50853,-225547.0,,-273014.0,0.0,19078.0,,,-374332,194050,-10683,-549129,-3500.0,-746983,-53641.0,-9524.0,-7444386,,,-41184.0,,,646196,,-671.0,,2124,209521,-992491,312413,-30861,0.0,866235,1538949.0,,-490616,-232447,-521583,-1891530,415067,9841,5420,-187280,347723,262366.0,2015年01月01日至2015年03月31日,5417476,4781646,30778,61531,-635830,279884,-26572.0,,-240924,-384225,,,1830371.0,,1507307,279884,-459880,-466595,-926475,0.0,,653465,161,,,0.0,0.0,-4370,5697210,-447433,-664109,,-129597,4781646,-17142,81964,-45002,,,533905.0,0.0,0.0,1480152.0,7483,,-105152
2015-08-11,2,2015,,,,,0.0,-622833,-392231.0,,-43259,17001,-508602.0,,-478064.0,,8805.0,,,-769145,388724,-23851,-1129548,-3500.0,-2615621,-92859.0,0.0,-12266248,,,-38209.0,,,183994,,-3106.0,,3785,572417,-225289,647674,-57144,-81828.0,592160,628027.0,,-402121,-91445,68900,-5098841,832876,20167,10873,-401795,877984,422893.0,2015年01月01日至2015年06月30日,5417476,4300743,56793,-25345,-1116733,480702,,-1572.0,2735374,2390220,,,460892.0,,1270585,480702,-241302,1727927,1486625,1812.0,,1613015,-335,,,0.0,0.0,-9158,11053236,-365371,1909518,,543535,4300743,-131035,197082,-25764,,,1268654.0,,,-375303.0,-295167,,-170093
