date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付投資款增加,預付設備款增加
2013-05-10,1,2013,103697.0,,-188295,,23012,-47857,355,7035,,-389,4976,-7443,,-206298,-118.0,,-3130,-54,,-12000,-17707.0,,-221504,404228,126404,765.0,-360975,95494,,-4976,389,,,2013年01月01日至2013年03月31日,1461046,1793138,332092,706677,,909648,914517,,,,-199035.0,-209138,706677,,239710,-135567,104143,1897.0,20,,215,,,,207840,1793138,-282,3455,,,0.0,-133742
2013-08-09,2,2013,226200.0,-16381.0,-127111,,21155,-49377,-1823,-11670,43.0,-1819,9752,-6363,,-485584,-2865.0,0.0,-3359,24282,0.0,-12000,,864.0,-767195,744550,-514640,1533.0,-744846,193011,,-9752,1819,,,2013年01月01日至2013年06月30日,1461046,1246097,-214949,1513847,,713085,1035469,,,,-148444.0,-176825,1513847,,640127,-1344705,-704578,,1508,,-1144,,,,-478378,1246097,-314451,2075,,,-20339.0,-235071
2013-11-08,3,2013,358274.0,-27798.0,96338,,64351,-93271,-90154,-8166,-2389.0,-1976,14395,2066,,-724640,-115.0,-47361.0,-3532,24276,,-12000,,999.0,-781670,327374,-432319,2309.0,-1228021,300970,,-14395,1976,,,2013年01月01日至2013年09月30日,1461046,1525351,64305,2376249,,1292065,1819315,0.0,0.0,37993.0,,-1805,2376249,0.0,490372,-1405580,-915208,,2832,,23003,,,,-556934,1525351,-514831,-5,,,,-456204
2014-03-21,4,2013,485433.0,-46040.0,141881,,140256,-50502,-113221,-5886,-19.0,-2663,19862,-4985,,-1173262,-121.0,-47361.0,-7807,24273,0.0,-24000,0.0,347.0,-772676,405711,-492214,3090.0,-1692905,418464,,-19862,2663,,,2013年01月01日至2013年12月31日,1461046,1210487,-250559,3318179,,2533710,3060051,0.0,-1230144.0,213805.0,0.0,-1086379,3318179,0.0,690938,-1434499,-743561,,2690,,25519,0.0,,,-258128,1210487,-509142,-3,,0.0,,-467391
2014-05-09,1,2014,129174.0,-10430.0,-245371,,-6256,-34643,-6248,11219,,-312,6135,2775,,-491877,0.0,,0,7837,,0,0.0,1416.0,-101261,-23354,44794,1702.0,-610226,117311,,-6135,312,,,2014年01月01日至2014年03月31日,1210487,1434488,224001,804018,,563879,573774,,,278003.0,0.0,267573,804018,,-273279,-86139,-359418,0.0,2812,36.0,-1292,,,,-230244,1434488,-4072,-505,,,,-122613
2014-08-08,2,2014,213225.0,-10703.0,-174734,-14736.0,-67690,-116131,-239,44558,,-3104,13096,7074,,-1059045,0.0,,-2651,-33203,100.0,0,,1539.0,-107921,66953,-203775,2591.0,-1231465,240039,-162.0,-13096,3104,1608.0,,2014年01月01日至2014年06月30日,1210487,1273363,62876,1553234,,819936,1210071,,,488748.0,0.0,467331,1553234,,-172880,-383508,-556388,,6834,4779.0,2362,,3210.0,345.0,-343163,1273363,-380143,-6148,-10814.0,,0.0,-173003
2014-11-07,3,2014,356569.0,-24142.0,-109286,-14736.0,-56191,-100628,-5831,48899,,-3517,19576,-13568,,-1242212,0.0,0.0,-3088,-31203,100.0,0,,1502.0,-166942,287459,-471053,3497.0,-1418156,378206,-2048.0,-19576,3517,1608.0,,2014年01月01日至2014年09月30日,1210487,734212,-476275,2606457,,1719191,2392950,,-1756646.0,1027760.0,,-763742,2606457,,125479,-695555,-570076,,7872,7209.0,1309,,3210.0,345.0,-213507,734212,-657700,-6099,-10814.0,,,-179521
2015-03-19,4,2014,576906.0,-3910.0,38503,-14736.0,-104961,-88615,8741,46944,,-3902,28799,-52144,,-1486445,0.0,0.0,-8299,-16203,,-2264,,1616.0,133719,-2554,-524662,3502.0,-1651815,552267,-2505.0,-28799,3902,1608.0,,2014年度,1210487,1849871,639384,3738406,,3143928,3825929,,-1756646.0,898964.0,,-800585,3738406,,-65510,-423873,-489383,74085.0,8208,7209.0,9554,,3210.0,345.0,87523,1849871,-657104,8551,-10814.0,,,-164186
2015-05-07,1,2015,,-1043.0,-263640,,15853,-66721,-1294,-19342,,-844,9232,13457,-11627.0,-139850,,,-1421,-15000,,-9635,-2181.0,0.0,-626639,269192,468231,,-140805,176116,-872.0,-9232,844,,166863.0,2015年01月01日至2015年03月31日,1849871,2546716,696845,859042,1831.0,794061,803376,,,52437.0,,30132,859042,,23236,-245765,-222529,,14133,0.0,1254,,,,-55666,2546716,-927,-3023,,,,-11486
2015-08-06,2,2015,,0.0,-182744,0.0,26106,54315,-1894,-27473,,-4661,18265,18368,-11627.0,-325504,,,-3772,-23250,0.0,-9635,-2615.0,0.0,-999733,518039,-595605,,-343427,361177,-2369.0,-18265,4661,1889.0,346327.0,2015年01月01日至2015年06月30日,1849871,2312824,462953,2124258,2743.0,802651,1264339,,,0.0,-21356.0,-14639,2124258,,364144,-1570390,-1206246,27979.0,16864,0.0,188,,0.0,0.0,-859919,2312824,-448084,-3023,0.0,,,-30289
