date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,7008.0,,-57760,11528,767,0.0,781,0,,-86578,,,-212,6789,0.0,0,,,-10.0,,350.0,183981,,31526,8433,-29,1736,,-14.0,350,431,-130693,-21760,199,,,2013年01月01日至2013年03月31日,100367,125049,24682,104915,,37102,62235,,30000.0,,-12770,104915,,-39739,-9949,-49688,0,,0,0,-42680,,125049,-3572,,,15000,,20867,-91993
2013-08-08,2,2013,13705.0,2369.0,-173364,-4963,-9109,0.0,-444,1,,-377696,,,-529,13372,,0,,,-10.0,-2050.0,0.0,289167,,2935,13218,-1,2672,,-54.0,319,862,-71630,-13673,514,,,2013年01月01日至2013年06月30日,100367,154916,54549,81387,,102735,133292,,22000.0,-31500.0,-48505,81387,,197999,-159799,38200,112800,,0,0,51905,3000.0,154916,-17398,,,21569,,6797,184307
2013-11-13,3,2013,18051.0,2369.0,-181083,8457,778,0.0,-963,1,,-383645,,,-1228,20264,,0,,40.0,,-7900.0,0.0,128859,,7611,-280,8,3556,,-93.0,-5531,1293,-108801,-20527,982,2278.0,,2013年01月01日至2013年09月30日,100367,232867,132500,22367,,59818,94644,-40613.0,0.0,-64800.0,78213,22367,-2278.0,500839,-446613,54226,343100,,0,0,72277,0.0,232867,-17559,,,21569,,-87369,486107
2014-03-18,4,2013,28997,2369,-187512,8102,775,627,-1249,1,-578,-613728,,-111,-3033,27304,111,-7767,,-110,,-7840,0,29499,,15871,-424,-21,-18106,,-109,-12611,1595,-90707,-27170,2133,3726,,2013年01月01日至2013年12月31日,100367,253307,152940,-35339,,-144404,-105422,-40613,108700,,309844,-35339,-3726,735667,-834747,-99080,343100,,6968,0,-70083,108,253307,-17671,,,86279,,-141882,713368
2014-05-14,1,2014,3423.0,,-8250,6829,-7591,0.0,139,1,-472.0,-99853,,-2283.0,-1447,6543,2283.0,-4029,,516.0,0.0,-119450.0,0.0,-155870,,-16104,3314,129,17764,,-20.0,-123018,625,96635,-22820,1751,,,2014年01月01日至2014年03月31日,253307,31823,-221484,-33680,,-53515,-32267,,-39500.0,,-47234,-33680,,176039,-178049,-2010,0,461.0,0,-15,1413,,31823,-179,,,0,,-28792,181881
2014-08-07,2,2014,258.0,0.0,-16514,19337,10000,0.0,582,1,,-80118,-1152.0,-2090.0,-3154,14042,2090.0,-4220,-10000.0,516.0,0.0,-119510.0,0.0,-239883,,-14037,4247,129,18940,,-39.0,-124421,1380,-14444,-46300,2773,,,2014年01月01日至2014年06月30日,253307,47078,-206229,-59142,,-137000,-93184,,69100.0,0.0,53102,-59142,,309656,-343956,-34300,0,461.0,95,-15,-34042,0.0,47078,-289,,,0,,-38581,299566
2014-11-11,3,2014,8529.0,5695.0,-24793,29345,553,0.0,191,1,,-66135,-1152.0,917.0,-4241,21739,-917.0,-4768,-10000.0,556.0,,-119510.0,0.0,-328759,,-9673,35,129,20236,,-77.0,-119274,2166,103487,-69742,4885,2132.0,,2014年01月01日至2014年09月30日,253307,42955,-210352,-95591,,7481,70706,0.0,0.0,-73400.0,-97642,-95591,-2132.0,470721,-312953,157768,0,461.0,95,-15,166297,0.0,42955,-500,,,-5,,-42465,450900
2015-03-24,4,2014,64770.0,5694.0,-33263,-9460,10000,5907.0,-75,0,,-40255,-1152.0,242.0,-5344,29529,-242.0,-4993,-9757.0,556.0,0.0,-119473.0,,-450955,,-562,1500,-114,9900,,-100.0,-114017,2966,108139,-29622,6173,2132.0,,2014年度,253307,75813,-177494,-184927,,35077,57716,0.0,0.0,-84100.0,-98312,-184927,-2132.0,582457,-404584,177873,18500,,136,49130,242643,87.0,75813,-1322,,,-5,,-41299,591067
2015-05-12,1,2015,,,-8573,-6600,-4,,43,0,,65116,0.0,0.0,-751,7420,0.0,0,13.0,0.0,0.0,0.0,0.0,-159521,,14504,-1500,-13,8837,,,0,806,-2462,-7388,748,,7517.0,2015年01月01日至2015年03月31日,75813,79011,3198,-14684,-21.0,-26639,-19927,,38410.0,,29837,-14684,,84320,-97080,-12760,0,0.0,29,0,-5243,,79011,-72,,,0,,-9033,77894
2015-08-13,2,2015,,3434.0,-17164,-8619,0,0.0,15603,0,,145741,0.0,277.0,-1798,14806,-277.0,0,13.0,0.0,0.0,0.0,0.0,-313243,,8230,-1500,-13,10184,,,3434,1612,-79872,-14819,1785,935.0,12978.0,2015年01月01日至2015年06月30日,75813,135836,60023,-32851,-41.0,-110810,-98047,,184840.0,0.0,167676,-32851,-935.0,174533,-252707,-78174,0,0.0,29,0,-65196,0.0,135836,-664,,-1026.0,0,,-15504,160860
