date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加,預付設備款增加,預付費用（增加）減少
2013-05-14,1,2013,130007.0,,,-30000.0,862,,-13376,586,,0.0,3647.0,-50868,0.0,384,,-1078,7356,-16045,-18477,-328,-299,189.0,14.0,,,,-52162,29905,197,14992.0,,1894,-65203,628,1393,-346.0,-61718,105436,0.0,-18180,2894,-7344,1078,,,2013年01月01日至2013年03月31日,307238,323414,16176,89775,,102301,104761,,,,12325.0,0.0,-8362,89775,,,33098,-148119,-115021,,4498,109,-1656,-438,14986,,323414,-3538,,16920,,1651.0,,,-1219
2013-08-12,2,2013,277190.0,1250.0,,0.0,6266,,-13776,372,,-126739.0,0.0,-16686,-18572.0,29416,,-2273,14721,16806,-91384,-289,-506,192.0,15.0,0.0,,,-119642,79651,425,,-59943.0,8639,-38982,-29095,-8055,-8347.0,-388593,210310,0.0,-14527,6633,-12093,2273,,,2013年01月01日至2013年06月30日,307238,312165,4927,197531,,314658,343685,,,,0.0,-17928.0,62056,197531,,,87006,-218042,-131036,150000.0,49345,109,-1981,214,146154,,312165,-31300,,19958,,2005.0,,-185121.0,6035
2013-11-11,3,2013,399534,1250,,0,22379,,-23339,630,,-185965,,22540,-20263,38688,,-4296,22404,14882,-327058,-283,-2693,192,15,0,,,4107,38513,1824,,-59943,7098,-61120,-17447,-4746,-8346,-558448,316542,0,-15611,10511,-22005,4296,,,2013年01月01日至2013年09月30日,307238,331882,24644,279558,,569004,620581,,-30669,,29370,,-794,279558,,,62098,-120609,-58511,90000,67892,109,-1946,385,341023,,331882,-55873,,17054,,-7562,,-113977,-2453
2014-03-24,4,2013,544052.0,2250.0,0.0,-1190000.0,34208,,-4228,1218,,-287491.0,,24097,-28235.0,48827,,-7078,33986,32956,-235431,-285,-7773,766.0,64.0,0.0,,,-146244,22116,2308,0.0,-59943.0,4967,31390,5812,-1054,-12846.0,-835922,424480,,-29740,14832,-29529,7078,,,2013年01月01日至2013年12月31日,307238,456862,149624,346021,,758098,809493,-122676.0,-30669.0,,325615.0,,194492,346021,,,51971,-132551,-80580,1300000.0,3787,679,1779,130,463472,,456862,-58473,,26330,,1630.0,,-307520.0,11513
2014-04-24,1,2014,162474.0,,,0.0,-47349,,2229,3283,,5104.0,,19,-1481.0,22434,,-3516,9399,-9187,-95019,-2000,-96,0.0,0.0,-64.0,,,-40070,-15039,-1097,0.0,,-5310,-84536,1045,477,-31.0,-101585,113906,,-13802,4460,-8714,3516,,,2014年01月01日至2014年03月31日,456862,700440,243578,75722,,33347,34134,,,,268695.0,,321003,75722,,,-65543,-138519,-204062,60000.0,3003,0,265,59,-41588,,700440,-4303,,15467,,1086.0,,-11115.0,-3862
2014-08-12,2,2014,302401.0,1925.0,,,-8513,,-2534,2943,,-105539.0,,346,-4999.0,48001,,-7721,18868,-28341,-261411,-3000,-500,0.0,0.0,-64.0,,,-36333,-62905,-2294,219746.0,0.0,-5145,-105436,-52999,-3317,-32.0,-388922,231355,,-14965,8831,-18206,7721,,,2014年01月01日至2014年06月30日,456862,629339,172477,191990,,139117,190497,,,,74215.0,0.0,450623,191990,,,-75946,-227948,-303894,160000.0,15620,1472,-4268,-14,-1493,,629339,-59101,,7349,,14932.0,,-32836.0,-12364
2014-10-31,3,2014,455916.0,,,,62996,,2738,-848,,0.0,134704.0,-6885,0.0,58873,,-11840,29568,4830,-391617,-13484,-1172,0.0,0.0,-64.0,,,-88266,11741,-2746,249776.0,,-5484,-240546,-71584,-6740,-32.0,-287709,343066,,-14453,12943,-28935,9277,,,2014年01月01日至2014年09月30日,456862,564360,107498,334248,,342129,422479,-141076.0,-28215.0,,0.0,-29257.0,48248,334248,,,65627,-433312,-367685,10000.0,14631,8053,637,-652,88231,,564360,-89627,1925.0,23321,,16019.0,,-33864.0,-14461
2015-03-13,4,2014,603157.0,1925.0,,-2020000.0,48800,,-4788,589,-14385.0,0.0,35915.0,-9063,11358.0,102595,,-14693,39246,34897,-351547,-13484,-2170,0.0,13.0,,,,-219335,88059,-2314,,0.0,-2004,-265914,-82275,81,-32.0,-523324,465059,,13380,17055,-38330,14600,74.0,,2014年度,456862,584378,127516,473735,,525868,612661,-141076.0,-28215.0,,18900.0,,90075,473735,,-74.0,133098,-597329,-464231,2280000.0,13589,8053,458,-3761,138926,,584378,-101393,,-5873,3145.0,18783.0,,-217974.0,-24093
2015-04-17,1,2015,,,,-850000.0,12101,,-7118,2020,14385.0,2840.0,,-2926,607.0,19167,,-2815,9220,-27478,-82534,-75717,-2990,,-26.0,,,,-104586,19511,-153,,,-3480,-116749,-5431,-5916,,-131890,126720,,-11114,4320,-9475,2815,,150984.0,2015年01月01日至2015年03月31日,584378,535444,-48934,174589,-13.0,69797,88044,,,,150138.0,,40637,174589,,,29986,-267515,-237529,750000.0,11514,49208,74,0,-86545,,535444,-21062,,-5702,,0.0,,-31892.0,-30986
2015-08-13,2,2015,,0.0,,-1600000.0,16141,,-20095,6976,,310516.0,,-165,-10584.0,46862,,-4409,18877,-40873,-175495,-56463,-3336,,-77.0,,,,-197300,60107,-263,0.0,,-1642,-101577,-68840,-8109,,-100829,274553,,-18260,9247,-17715,4409,,340271.0,2015年01月01日至2015年06月30日,584378,939945,355567,336525,-13.0,236068,303898,,,1500000.0,-221007.0,,261201,336525,606.0,,81306,-454204,-372898,600000.0,42,53770,64,-946,-32627,,939945,-72239,,-4583,,0.0,-9181.0,-209933.0,-40023
