date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他金融資產增加,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損迴轉利益,預付款項（增加）減少
2013-04-25,1,2013,107376.0,,,-433284,160120,54388,-15530.0,,,-117.0,-1325.0,,-16303,9311,-158381,-9351,,,,-10326,-380140.0,-14743,17267,,,341372,,,-924361,-11185,1187440,-3347,-407995,102326,-16840,12746,3231,-3792,,2013年01月01日至2013年03月31日,1764063,1878702,33869.0,114639,471506,1024052,1075870,,,,-360187,-343037,471506,1293,-1331282,1828270,496988,148,0,,1171,,604364,,1878702,-53402,-12779,,129939
2013-08-09,2,2013,258692.0,,,-301490,230379,-95745,,212725.0,,-409.0,-1996.0,,-31351,32565,47847,-852401,,,,-18198,-401260.0,-16967,21474,37647.0,,344905,,,-1042838,-5955,1408763,-3985,-1228368,222690,-30862,19498,7173,-20749,,2013年01月01日至2013年06月30日,1764063,2325816,45200.0,561753,799988,1521996,1826242,,,161566.0,0,220278,799988,1967,-1476890,2244452,767562,27388,0,,10338,,1026254,,2325816,-293825,-12923,0.0,32167
2013-10-29,3,2013,386347.0,,,740310,291649,-56716,,378839.0,,-1052.0,-3149.0,,-56220,44565,-90650,-1771215,,,,-19458,-430285.0,-15091,24547,37746.0,,-765739,,,782627,-12118,-123393,825,-2193933,356169,-17071,1001,12023,-12178,,2013年01月01日至2013年09月30日,1764063,4705899,7950.0,2941836,1503096,2609555,3042059,,2985005.0,357511.0,-786893,2616864,1503096,2640,1437032,-284416,1152616,10809,0,,14116,,1538963,,4705899,-449145,20195,0.0,-67598
2014-02-06,4,2013,502514.0,,,549819,-87262,-125507,,241249.0,,116.0,-4402.0,81734.0,-89806,70852,-259208,-1710410,,,,-23883,-1873411.0,-16967,25368,37746.0,,-291261,,,643604,16785,-1662582,885,-3565221,520213,0,-907,17046,-19877,,2013年01月01日至2013年12月31日,1764063,2090770,46532.0,326707,2512435,1796497,2244763,-380262.0,2985005.0,2170888.0,-2484222,2354639,2512435,3314,1084701,-1854887,-770186,12240,0,,18254,,-267672,,2090770,-466560,-148658,,-55009
2014-04-28,1,2014,168395.0,,,-653880,373450,55791,,-170772.0,,-2228.0,0.0,24248.0,-44949,27708,-52965,-373695,,,,-8811,0.0,0,9321,0.0,1175.0,705590,,,-1757854,-25697,2461356,-136,605078,154895,-132607,104298,5049,-3081,,2014年01月01日至2014年03月31日,2090770,4096497,78052.0,2005727,206367,1446521,1511666,0.0,0.0,0.0,0,7093,206367,580,-2514247,3651151,1136904,1121,0,,-15,953715.0,1305299,,4096497,-70586,-77173,,177365
2014-08-13,2,2014,246384.0,,-962363.0,-739257,448998,45764,,182818.0,,-1420.0,0.0,-28356.0,-84230,55737,-196566,-795003,,,,-23169,0.0,0,18263,0.0,1758.0,334398,,,-1499175,-30619,3098029,16,755140,343817,-107012,81652,12689,-5586,,2014年01月01日至2014年06月30日,2090770,5119669,-5508.0,3028899,325616,2444128,2724847,0.0,,2227200.0,-1255483,26197,325616,580,-2330299,4483146,2152847,40087,0,,1911,1459626.0,2399231,27024.0,5119669,-294842,-77280,,337235
2014-10-29,3,2014,459211.0,,-1470862.0,-571284,493360,51334,,348127.0,,3475.0,0.0,-86747.0,-120518,83848,-221576,-1094248,,,,-23846,0.0,0,21277,0.0,-867.0,-771204,,,-29145,-27803,2489148,-35,450098,520617,-90316,46878,20297,-10578,,2014年01月01日至2014年09月30日,2090770,5707603,59061.0,3616833,798580,3165292,3573939,-504754.0,1994761.0,1013829.0,-834707,223019,798580,580,-667214,2983362,2316148,39645,0,,2165,1440519.0,2775359,38497.0,5707603,-443673,-58589,,377088
2015-02-04,4,2014,861665.0,,-1470862.0,-405112,426245,-91285,,-394747.0,4132.0,,,-91282.0,-151089,111663,-429041,-1265022,,,,-59668,0.0,837,25533,0.0,2637.0,-87544,-328188.0,,-60980,-31398,1179429,16,319850,751387,-77420,6505,30677,-11812,,2014年度,2090770,5799318,180757.0,3708548,2058396,3398243,3789294,-504754.0,1994761.0,2026706.0,-1327832,419496,2058396,580,-666195,1535428,869233,42174,0,,2352,1491158.0,1730898,38497.0,5799318,-438682,-12714,,405524
2015-04-20,1,2015,,,,-207646,82630,-18194,,-105070.0,,-997.0,,43564.0,-52980,29263,1630,-175895,,-409078.0,,-100,,0,1330,0.0,100.0,338347,-17465.0,,-680256,6991,1519279,0,-555036,209471,-42847,14733,8122,-2518,178066.0,2015年01月01日至2015年03月31日,5799318,6724491,-28936.0,925173,872716,1812891,1981620,0.0,0.0,0.0,-317180,-334312,872716,0,-941952,1872790,930838,128,0,0.0,609,,1108904,,6724491,-177557,-31047,,22871
2015-08-06,2,2015,,,0.0,-108762,95400,-32211,,-307580.0,,306.0,,40605.0,-106422,51326,-191945,-537134,,-2144392.0,,-4530,,0,1556,0.0,-919.0,420870,-17465.0,,-581934,3963,1042767,-8012,-2581564,420703,262526,-300869,14356,-6012,605761.0,2015年01月01日至2015年06月30日,5799318,5015582,-109480.0,-783736,1529598,2135482,2527554,0.0,,187074.0,-317180,-145709,1529598,0,-456418,848613,392195,39954,0,0.0,-67,,997956,0.0,5015582,-408627,294740,,-93963
