date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
1923-05-09,1,2013,5095.0,,0.0,,-16347,-16811,1433.0,66,15,0.0,,1968,501,1811,-20598,-16875,-51898,,,,1715,0.0,,-3183.0,,-52292,,42704,-18767,0.0,236,86595,-8594,924.0,-46422,24582,-12837,3764,1197,-501,-1845,-243,,2013年01月01日至2013年03月31日,908399,877799,-30600,20730,,14029,16569,,0,-18.0,-18,20730,243,11208,-20464,-9256,0,3682.0,41221,0,,,,-28521,-4161,,877799,-194,39.0,,,,,-354,0.0,-16540,2392
1923-08-08,2,2013,2436.0,0.0,,,-15187,-453,1433.0,21,37,0.0,-3637.0,-3740,995,2031,-69960,-16875,-86460,,0.0,,3565,0.0,,-5070.0,,41396,,125315,-39211,0.0,627,79317,-14110,1036.0,-96277,48873,19,-10894,3431,-995,3863,570,,2013年01月01日至2013年06月30日,908399,982484,74085,2627,,158812,161076,,9798,,9519,2627,-570,61803,94210,156013,7433,3616.0,72634,1144,,,,-43203,158449,,982484,-5132,39.0,0.0,3543.0,-279.0,,-708,,-11996,-10798
2013-11-07,3,2013,-16945.0,,,,5,-2240,1433.0,-60,75,,-5652.0,-5312,1594,1044,-79042,-38284,-115534,,-186.0,,3130,0.0,,1219.0,,212072,,49965,-39511,0.0,7849,-5391,21324,1150.0,-95628,71695,-9467,-22882,4774,-1594,4873,22938,,2013年01月01日至2013年09月30日,908399,928336,19937,29868,,187580,202869,-71314.0,-1466,,-73059,29868,-22938,4409,185537,189946,7491,3616.0,106334,1122,,,,-50593,173001,,928336,-18568,39.0,,3517.0,-279.0,,-1052,,-30836,-14989
2014-03-27,4,2013,42958.0,134.0,,,4245,-11053,1433.0,958,-652,,-11128.0,-7428,2134,1542,-81407,-40661,-119594,,-22907.0,,29319,0.0,-1240.0,0.0,2610.0,132941,,84588,-18136,0.0,-1039,2075,29040,135.0,90371,94113,-36414,54245,6590,-2134,6836,23604,,2013年01月01日至2013年12月31日,908399,1158447,250048,35338,,230629,230944,-71314.0,339,,-72494,35338,-23604,46828,105820,152648,210030,5409.0,122848,-69241,,,,-63682,195606,,1158447,-5017,0.0,,21887.0,-279.0,0.0,-1375,,-10117,-23923
2014-05-08,1,2014,-4387.0,0.0,0.0,,-8754,659,0.0,224,-506,0.0,-1507.0,-1979,476,1156,-5151,-7852,-2053,,,,1638,77.0,,-7536.0,,63531,,81037,-90058,0.0,-436,-62297,-6295,237.0,-130039,21258,-16153,-2153,1738,-476,2219,2161,,2014年01月01日至2014年03月31日,1158447,1094588,-63859,101377,,59437,60418,,5510,0.0,5587,101377,-2161,1220,-37792,-36572,1996,6081.0,26845,-210,438.0,0.0,,-22671,-40959,,1094588,-2724,,,,,,-323,-143461.0,-16731,18970
2014-08-07,2,2014,-85268.0,0.0,,-30000.0,321,-1593,0.0,10,-30,0.0,-1576.0,-3879,947,103,-14612,-95468,-3956,,0.0,-67.0,3357,77.0,,0.0,284.0,68806,,-82270,-90443,0.0,-565,118485,-30962,352.0,-209809,42410,-2431,-2657,2767,-947,4073,3366,,2014年01月01日至2014年06月30日,1158447,1039482,-118965,191996,,84767,84531,,35897,,5974,191996,-3366,-161683,139486,-22197,2032,6081.0,46470,-767,3118.0,-85931.0,,-37502,-107465,,1039482,-2890,0.0,0.0,0.0,0.0,,-647,-155481.0,-12789,10912
2014-11-06,3,2014,-112131.0,,,-30000.0,-16502,-4100,0.0,25,785,,-5475.0,-5494,1137,1068,-13476,-80268,-190578,-35085.0,0.0,-67.0,-9061,76.0,,-45921.0,0.0,14265,,-98817,-92066,0.0,4242,65483,-3573,469.0,-150731,63640,26852,-9144,4366,-1137,6009,22626,,2014年01月01日至2014年09月30日,1158447,728214,-430233,246665,,42504,40696,-243113.0,-49559,,-323074,246665,-22626,-183609,89771,-93838,2177,6219.0,75055,-890,178542.0,-85931.0,,-47158,-205969,,728214,-3064,0.0,,0.0,-478.0,,-970,-64480.0,-9941,19040
2015-03-26,4,2014,-132595.0,80.0,,-30000.0,6052,-103,0.0,-1006,930,,-7461.0,-6849,1301,3350,-22737,-140313,-190578,-43955.0,0.0,-67.0,-9157,77.0,0.0,-4600.0,0.0,-50061,,-96653,-91073,0.0,-607,206418,4149,-7126.0,-128195,84412,41103,-42631,6040,-1301,7367,25515,,2014年度,1158447,826847,-331600,274088,,120771,117884,-243113.0,0,-42507.0,-327526,274088,-25515,-219122,195513,-23609,2350,18500.0,92402,-1017,178542.0,-85931.0,,-60414,-156204,,826847,-3179,0.0,,8455.0,-11983.0,0.0,-1289,-35873.0,-6923,-28709
2015-04-30,1,2015,,0.0,0.0,,13167,-35192,0.0,35,-2,0.0,0.0,-1496,106,-640,-2364,-9087,-40144,-382.0,,,892,0.0,,-22399.0,,84621,,-14865,23763,0.0,1547,-102069,7209,,-37903,20753,18196,-5069,1843,-106,1756,725,631.0,2015年01月01日至2015年03月31日,826847,850933,24086,23629,20.0,57925,58619,,4704,0.0,4704,23629,-725,57161,-22802,34359,0,0.0,64731,0,0.0,0.0,490.0,-15317,34990,,850933,-2344,,,,,,-356,-29473.0,4435,33494
2015-07-30,2,2015,,0.0,,0.0,-18571,-6615,0.0,-23,2,0.0,0.0,-2212,279,-1524,-5869,-47434,-113914,-1455.0,0.0,0.0,-703,0.0,,0.0,5592.0,153170,,-47589,211,0.0,-187,-31365,-19428,,43133,41526,-29181,-8352,3158,-279,2363,9392,-26060.0,2015年01月01日至2015年06月30日,826847,970163,143316,32775,113.0,101252,101629,,795,,455,32775,-9392,31644,63270,94914,0,16458.0,237616,0,0.0,0.0,490.0,-69322,68854,,970163,-2461,0.0,0.0,19634.0,-340.0,,-676,-57743.0,-3313,97690
2015-08-11,2,2016,,3468.0,,,-1134,-9777,,76,-6,0.0,,-1790,316,3389,-15237,-8394,-27004,-3338.0,-6455.0,-448.0,1774,100.0,,,-58.0,-115197,,881,6016,,4,-79128,18265,,-24457,38810,-11577,1385,1960,-316,1823,2166,2361.0,2016年01月01日至2016年06月30日,961417,787481,-173936,24873,-1167.0,-149608,-148078,,1200,,-3260,24873,-2166,60804,-236116,-175312,30193,0.0,33550,-21050,,0.0,0.0,-16240,-172951,9974.0,787481,-3037,,,0.0,-4560.0,,-638,-32900.0,-38696,46154
2015-10-29,3,2015,,,,0.0,11074,-19498,0.0,-47,19,,0.0,-3626,439,2461,-8089,-133169,-119305,-7278.0,-9600.0,-2263.0,-760,0.0,,-4061.0,0.0,184051,,-19142,35149,,102,-153799,21467,,85659,62406,49547,-5132,4731,-439,3659,30947,-71083.0,2015年01月01日至2015年09月30日,826847,873797,46950,28655,-7492.0,152979,152702,-194491.0,682,0.0,-194149,28655,-30947,104845,90285,195130,0,17121.0,330473,0,0.0,0.0,490.0,-116834,124047,,873797,-2943,0.0,,19634.0,-340.0,,-994,-9607.0,8498,85201
2016-03-24,4,2015,,4192.0,,0.0,6082,1994,0.0,228,29,,0.0,-4693,573,2397,-11528,-220647,-91419,-12828.0,-9600.0,-2263.0,225,0.0,0.0,-4342.0,0.0,205611,-68451.0,-52141,76870,0.0,-166,-10367,-10471,,81507,83316,21066,-3989,6133,-573,4791,36289,-52649.0,2015年度,826847,961417,134570,46149,-7395.0,311533,296591,-194491.0,2415,0.0,-260867,46149,-36289,86874,216217,303091,0,15087.0,334352,4,0.0,0.0,490.0,-117283,250442,,961417,10724,0.0,,20668.0,-340.0,0.0,-1314,43724.0,8355,63396
2016-05-05,1,2016,,3468.0,,,-1226,229,,-2,-7,,,-928,151,-1386,-10895,0,-25465,-1671.0,,-434.0,1227,,,-18216.0,,-73766,,16089,-323,,-18,-48143,17417,,-30649,19630,-25450,-2857,1185,-151,948,765,-3726.0,2016年01月01日至2016年03月31日,961417,853680,-107737,9056,-74.0,-76226,-76577,,524,,524,9056,-765,78007,-159914,-81907,30193,,0,-21050,,,0.0,0,-85633,4473.0,853680,-446,,,,,,-319,-8394.0,-30194,59088
2016-10-27,3,2016,,3468.0,,,2930,236,,-4,-39,,-501.0,-2453,513,1382,-47805,-8394,-43054,-5434.0,-6892.0,-40.0,2652,100.0,,-19747.0,,-120713,,4237,6214,,-10,-95249,16242,,-107823,58060,-27286,1256,2508,-513,2567,25317,-5056.0,2016年01月01日至2016年09月30日,961417,702283,-259134,77777,-1068.0,-67316,-66928,-82181.0,1265,,-85377,77777,-25317,89330,-228979,-139649,30316,0.0,40586,-21169,,,0.0,-20149,-144705,15089.0,702283,-2442,,,0.0,-4561.0,,-957,-75643.0,-2170,61942
