date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-07,1,2013,-74397.0,,-89790.0,44278,,,,22775,,,0.0,17948,-8883,,13255.0,-84929,,,,,-22999,45395,43268,-83622,-13460.0,204487.0,0.0,,,0.0,-3069.0,44109,-1645.0,0.0,46096,,,,-183580,9214,10000.0,0.0,-1843,,-3.0,4173,-288,79043,2333,-3754.0,-124844,98958,,,-526,0.0,-45241,19294,,,2013年01月01日至2013年03月31日,4284000,3832676,-8505.0,-451324,33802,,-109476,-45645,,0.0,-114000.0,-260272,33802,,-121947,116897,-5050,0.0,0,,3448,-213919.0,5,,,,,-188,,0.0,0.0,102670.0,-79447,,3832676,-18590,-183468,,-110588,,,-30000.0,-41607,-27168.0,,-4210
2013-08-14,2,2013,15635.0,4500.0,-838454.0,-38204,,-4176.0,,18971,,,0.0,1217,3622,-1067.0,13637.0,-45592,,,,,-49397,90913,59730,-220527,-14659.0,-215665.0,-252355.0,,,-288023.0,-8830.0,46051,-2391.0,0.0,37118,-5550.0,,,-68250,22522,129500.0,,-1917,,-8.0,-31589,-52,48114,5699,-3768.0,-344353,199834,,,1573,0.0,-101096,36737,100404.0,,2013年01月01日至2013年06月30日,4284000,3219939,-15509.0,-1064061,-14603,,-240575,-66652,-1690.0,236235.0,0.0,-538863,-14603,-100404.0,-94050,26366,-67684,0.0,978,,32493,361302.0,-902,,,0.0,0.0,2934,2068.0,0.0,0.0,161927.0,-52049,,3219939,-72827,-117886,,-110497,13309.0,,,-69154,,,-407
2013-11-12,3,2013,-193065.0,4500.0,-988108.0,-50022,,-4176.0,,22205,,,0.0,17130,32393,-2056.0,15649.0,-307217,186377.0,,,,-68491,130543,45786,-247266,-20325.0,-220076.0,-252355.0,,0.0,,-9678.0,97173,-5330.0,,-9806,-5550.0,,,-44974,63636,,0.0,-1972,,-10.0,-64365,-9,73443,2246,-11270.0,-83841,301223,,2068.0,1593,0.0,-145779,59653,305397.0,,2013年01月01日至2013年09月30日,4284000,3114484,-2286.0,-1169516,187124,,-20381,217018,-14630.0,,-94000.0,-1111080,187124,-305397.0,416404,-193445,222959,0.0,1242,,36589,377706.0,-1043,746.0,,0.0,0.0,2191,,0.0,0.0,,29894,,3114484,-91620,-255111,,-111505,13391.0,,,-265201,,,450108
2014-03-26,4,2013,-1127029.0,4500.0,-690149.0,-6737,,-4176.0,,4149,,,-510.0,1983,35105,-123.0,-318568.0,-503844,186429.0,,,,-90700,171332,55420,-281069,-20325.0,-222410.0,-252355.0,,,,-10010.0,97603,-8860.0,,-339053,-5550.0,,,72335,34912,,0.0,-1182,,-82.0,-41711,-6,-74505,3140,-19304.0,881881,405155,,2067.0,-956,0.0,-188611,78091,305295.0,,2013年01月01日至2013年12月31日,4284000,3294619,,-989381,1338804,,-727919,-425756,-30630.0,0.0,-464000.0,-1198763,1338804,-305295.0,81406,-718937,-637531,0.0,32143,341280.0,44904,402092.0,-3714,746.0,,778747.0,-654569.0,-159567,,0.0,0.0,,-1764560,,3294619,-113552,-635271,7940.0,-111505,148626.0,,,13022,,,3698
2014-05-06,1,2014,137178.0,,-237941.0,-53346,,,,25786,,,,13212,-19927,-31.0,-534847.0,-56436,632382.0,,,,-16863,43531,21086,-17771,0.0,-5019.0,,-673007.0,,,-3.0,80196,-22731.0,,-25056,,,,-41040,-8567,224847.0,,-364,,0.0,-13284,8,116410,-835,-569.0,266121,95383,,,7882,,-42928,16476,,,2014年01月01日至2014年03月31日,3294619,3291138,,-3481,-41789,,-476620,-434212,,620000.0,0.0,185932,-41789,,-53153,-476448,-529601,,10283,,0,381944.0,-5999,,,,,0,,,,0.0,-392423,,3291138,520,13247,,-501170,,,0.0,-24703,0.0,,37552
2014-08-13,2,2014,86174.0,10935.0,-111099.0,-30867,,0.0,-125584.0,22416,,,,-1495,-17450,-564.0,-610563.0,-547495,69398.0,,,,-33361,87069,-12661,-46769,0.0,-4516.0,-1062575.0,-672967.0,,,-3.0,81553,-15594.0,,-267002,200.0,,,-109595,14000,768756.0,,-364,,0.0,70665,6,277287,5299,-823.0,-1723047,186879,,,9982,,-90643,29413,250279.0,,2014年01月01日至2014年06月30日,3294619,2525559,,-769060,30519,,-630283,-488646,-2308.0,1391107.0,,1596931,30519,-298590.0,-91450,-513889,-605339,,10284,,0,381944.0,-5998,,,,,0,0.0,,,,-519165,48357.0,2525559,-50994,137476,,-531078,2720.0,,,5453,,,-10099
2014-11-13,3,2014,-98373.0,10935.0,0.0,-77666,,17075.0,-116865.0,22900,,,,-1298,-15916,-93.0,-999011.0,-538333,164754.0,,,,-51061,138426,22895,-81123,0.0,-4979.0,-1115912.0,-672967.0,,,-3.0,89380,-12355.0,,-348520,200.0,,,-107258,53909,604000.0,,-629,199.0,0.0,35171,3,196770,6983,-2631.0,-992231,278534,,0.0,10214,,-143169,56232,528580.0,,2014年01月01日至2014年09月30日,3294619,2868579,0.0,-426040,222931,,-1281772,-1061308,-666667.0,2270311.0,0.0,1825068,222931,-533198.0,-81832,-1104034,-1185866,59122.0,14882,,197449,577271.0,-8597,0.0,,,,20054,,,,,-1284239,26643.0,2868579,-77295,44538,,-531078,2720.0,,,-2414,,,9917
2015-03-25,4,2014,252402.0,16848.0,0.0,-34007,,0.0,,30744,-196136.0,,-10977.0,2418,-631,-29.0,-924980.0,-197537,133088.0,,,,-93360,193067,65946,-99669,0.0,0.0,-1093061.0,-672967.0,,,-718.0,58250,-12483.0,,-372939,200.0,,,-58404,11701,236000.0,,-599,,0.0,77291,-6953,107539,9282,-2882.0,-642933,377787,,0.0,17916,,-196738,90742,545535.0,,2014年度,3294619,3163688,,-130931,9301,,-1115028,-839527,-693869.0,260916.0,0.0,1561084,9301,-545535.0,-52381,-1048849,-1101230,2230865.0,15884,0.0,262645,669179.0,-9436,0.0,,0.0,0.0,41200,,,,,-848828,24769.0,3163688,-78763,2173,27793.0,-531078,241515.0,,,42775,-105201.0,,4652
2015-05-06,1,2015,,,-934097.0,-39040,,,,23175,,14824.0,,1625,2405,0.0,2479.0,-36305,231566.0,,,,-25728,52280,-17796,-38363,,,-6783.0,0.0,,,0.0,7958,-20.0,,20079,,,,-247448,10239,114000.0,,-772,,,33179,-26211,197357,2464,,349797,83581,0.0,,5220,,-53373,17605,,62025.0,2015年01月01日至2015年03月31日,3163688,3152757,,-10931,-209547,-272.0,-309593,-256080,,779000.0,,-33339,-209547,,-284893,176335,-108558,,0,,19333,,0,,147940.0,,,3775,,,,,-46533,-2101.0,3152757,-140,-57103,,-200,,,,-78592,,,-7124
2015-08-12,2,2015,,0.0,-431537.0,-37942,,,121695.0,15784,,,,2408,251,-60.0,5983.0,-111213,97625.0,,,,-50586,104009,-18921,-68456,,,-37005.0,0.0,,,0.0,10604,22480.0,,-380,0.0,,,-298305,-12745,-41000.0,,209,,,57560,-4824,221717,230,,700202,166787,109302.0,,15069,,-105247,75841,290691.0,-152100.0,2015年01月01日至2015年06月30日,3163688,3544104,,380416,-9609,-533.0,-187902,-44831,-2656.0,351826.0,,-112963,-9609,-291334.0,-235265,352143,116878,,2490,,102635,,-2490,,147940.0,55479.0,-39907.0,4058,,,,,-35222,-4091.0,3544104,-37824,-60766,,-200,3060.0,,,-53480,,,115794
