date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-14,1,2013,131462.0,-130316,-32705,54142,-87,-33921,,518.0,184,-1909,7427,33919,-86950,-827,-9.0,,280,-2715,-2400,0.0,,-23526,-3443,4,49123,35748,-11228,-702.0,-89974,122877,,1228,-6713,1916,,2013年01月01日至2013年03月31日,778766,889913,111147,67497,,220609,226668,,46788,-53407,67497,1664,-60459,88168,27709,29841.0,,0.0,0,0.0,159171,889913,-1262,,,,-3296
2013-08-13,2,2013,268244.0,-149885,14637,27351,8713,-2885,,301.0,373,-4751,15264,58688,-276511,-1051,68.0,,4844,-3183,27932,0.0,,-45561,14044,122,-27004,27062,405,-1421.0,-280124,251645,,2492,-14908,4758,,2013年01月01日至2013年06月30日,778766,1018276,239510,178686,,449898,492123,,97400,11048,178686,3328,-9466,54659,45193,58689.0,320.0,0.0,-175,0.0,313437,1018276,-32075,,0.0,,1798
2013-11-11,3,2013,406453.0,-261650,-16531,-23775,5916,221,,-918.0,563,-8640,23732,45437,-400381,-2286,68.0,,192,-3179,35753,0.0,,-21818,13108,4,26512,50696,-2459,-2151.0,-406258,382133,,3723,-23085,8647,,2013年01月01日至2013年09月30日,778766,1126155,347389,275146,,675406,746062,-110950.0,60895,32804,275146,4523,-21472,85935,64463,344317.0,506.0,0.0,351,0.0,470916,1126155,-56218,,0.0,,-1013
2014-03-11,4,2013,545657.0,-353010,41096,25394,4531,61,,2510.0,752,-12921,32746,66195,-447085,-2914,1321.0,,278,-3358,4173,-1904.0,,-9932,139,16,-43969,72677,-8259,-2909.0,-452132,512601,,4828,-31413,12928,,2013年01月01日至2013年12月31日,778766,1209853,431087,348528,,912469,989275,-110950.0,11718,-95445,348528,6017,32941,62149,95090,356519.0,619.0,0.0,313,0.0,640747,1209853,-58321,,0.0,,12072
2014-05-13,1,2014,135634.0,-69636,15109,20949,430,-167,,-1321.0,194,-4340,8458,26679,-113686,-3093,0.0,983.0,234,-1693,10449,,,-14404,664,3749,-30064,-8287,175,-759.0,-80886,132302,,1136,-8182,4340,,2014年01月01日至2014年03月31日,1209853,1346607,136754,69398,,191818,197361,,37562,-857,69398,642,4789,-12460,-7671,30000.0,38907.0,,-2758,,127963,1346607,-1701,,,,-5515
2014-08-08,2,2014,275511.0,-130060,84974,27783,599,-547,,-3016.0,386,-8997,17072,-8600,-260646,-3330,0.0,5713.0,19,-4782,15132,,,23635,2338,3822,-140993,-40680,2522,-1507.0,-231235,266291,,2274,-16972,8997,,2014年01月01日至2014年06月30日,1209853,1312026,102173,178426,,367421,420759,,65142,-25413,178426,772,113861,-147039,-33178,30000.0,40539.0,,-2811,,242333,1312026,-45363,524.0,3773.0,,-10256
2014-11-12,3,2014,436251.0,-174038,52864,52314,-244,-171,-4045.0,,577,-12924,24885,20857,-362685,-3410,1201.0,18837.0,216,-5164,-3696,,,44756,1310,4353,-309908,-65084,4053,-1500.0,-324868,409870,,3373,-24822,12924,,2014年01月01日至2014年09月30日,1209853,1166761,-43092,327285,,433581,513252,-126312.0,83979,-172662,327285,902,101539,-351823,-250284,30000.0,50436.0,,-2668,,185967,1166761,-67773,11035.0,-5344.0,,-29331
2015-03-10,4,2014,602570.0,-214378,101713,-41752,-1056,-108,,-5329.0,774,-17006,32828,92601,-466670,-3410,1209.0,23930.0,655,-5368,-59293,-9117.0,,94758,-1085,-3,-243643,-84556,-13598,-1491.0,-437177,558916,,4420,-32525,15230,,2014年度,1209853,1429603,219750,478874,,712189,800761,-126312.0,66020,-147863,478874,1031,192836,-473519,-280683,98449.0,52717.0,,-2474,,321887,1429603,-71277,18615.0,3773.0,4257.0,-30569
2015-05-08,1,2015,,-48662,-47107,85789,143,-484,,-630.0,202,-4532,7848,-23157,-84363,-4396,,2262.0,-125,107,-24942,,,-42644,-1755,-10,-44854,53218,5853,,-88082,150413,,1163,-7781,5017,162729.0,2015年01月01日至2015年03月31日,1429603,1505062,75459,90974,-19.0,243149,248647,,-9926,-56451,90974,263,-91392,86336,-5056,0.0,0.0,1200.0,10,-1007.0,157673,1505062,-2734,8369.0,,,11756
2015-08-07,2,2015,,-89711,73969,-21930,3468,-172,,-849.0,399,-9794,16334,-38359,-254622,-5533,,3260.0,-281,614,-40706,,,-47467,-4683,-9,8404,39255,4708,,-256367,298713,-24385.0,2305,-16348,9781,314016.0,2015年01月01日至2015年06月30日,1429603,1601425,171822,209841,-39.0,466489,546254,,-487,59,209841,526,25239,-2842,22397,79515.0,2823.0,1200.0,-10,-1007.0,336413,1601425,-73198,6550.0,7763.0,,31984
