date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-05-09,1,2013,70299.0,,-485093,-129874,-30913,-20744,1258,-5200.0,,-30.0,904,-1118,8876,42547,-95527,,,,,-1494,,-176,10959,0.0,-2540.0,,112065,0.0,,27839,-10697,9997.0,0.0,1680,99604,8791,-5673,3027.0,-99536,59686,187.0,-4402,3629,-7375,1118,,,2013年01月01日至2013年03月31日,661373,800686,139313,65228,,197980,211566,,603000.0,,-135341.0,-1678,65228,471,,-142501,218540,76039,0,55,,0.0,997,-187,,146338,3084,800686,-7329,-213,2767,,1832.0,33221,-19583
2013-08-08,2,2013,160706.0,,-560036,-143674,-17533,-16778,1794,-5200.0,,-1259.0,1828,-2653,28340,58966,-171921,0.0,,,,-4369,,240,12548,0.0,,2093.0,382610,0.0,,-325392,-9492,,0.0,1319,307265,17644,-2837,5966.0,-172143,127749,248.0,-4419,7011,-26412,2653,1840.0,,2013年01月01日至2013年06月30日,661373,547314,-114059,-119316,,157510,206207,,603000.0,,-328704.0,-158392,-119316,949,,-475384,640201,164817,120000,1473,,0.0,2034,-248,,325523,-13517,547314,-24938,-125,1679,,,-48990,24505
2013-11-07,3,2013,259004.0,,-590195,-131017,-31563,-20488,-1397,-5200.0,-966.0,,2747,-3594,47916,43933,-257365,0.0,-7.0,,-1822.0,-7591,,25,14323,0.0,,6147.0,-26289,0.0,,336371,-10133,9983.0,,-2880,187651,14798,8639,8828.0,-256906,195000,248.0,-5795,10473,-41851,3594,2431.0,,2013年01月01日至2013年09月30日,661373,962089,300716,-201210,,346499,425674,-147907.0,603000.0,,-276807.0,167190,-201210,1427,-41.0,173133,194747,367880,560000,2260,,0.0,10536,-27,,626884,-12459,962089,-40918,337,1760,,,42660,3151
2014-03-20,4,2013,343723.0,,-694592,-50528,-14481,5482,1655,-5200.0,-2423.0,,3660,-5308,66724,64434,-404245,0.0,,,-1822.0,-8862,,101,16225,0.0,,2411.0,284788,0.0,,-133254,-9010,,0.0,3001,49633,-302,3695,11334.0,-405172,259375,5432.0,-5017,13331,-59381,5308,2431.0,,2013年01月01日至2013年12月31日,661373,522505,-138868,-111547,,298783,395606,-147907.0,603000.0,,-527987.0,-96913,-111547,1810,-41.0,-172756,336186,163430,645000,7338,,0.0,9204,-432,,507153,4021,522505,-42750,316,875,14548.0,,5766,-4677
2014-05-06,1,2014,93726.0,,-160057,-125662,3811,-24380,-24,0.0,-146.0,,906,-1116,15923,2891,-14680,,,,,-5882,,1126,0,-624.0,0.0,5551.0,175967,,,117108,1003,49868.0,,-7124,208991,2507,6668,3033.0,-15028,67566,-5913.0,2183,3456,-8993,1116,,,2014年01月01日至2014年03月31日,522505,691556,169051,-96655,,340917,349389,,0.0,,-133916.0,-159729,-96655,467,,-44542,396860,352318,85000,129,,,2892,-87,,446044,-2183,691556,-595,410,3397,,,4853,-9734
2014-08-07,2,2014,186852.0,,-299945,-104560,-12242,-21101,589,0.0,,-1366.0,1847,-2545,30361,-29291,-59737,,,,,-9471,,1621,0,1146.0,,6953.0,318988,,,-39286,5991,,24993.0,-667,315626,-1941,1379,5911.0,-55935,135742,5209.0,8858,7210,-25718,2545,2209.0,,2014年01月01日至2014年06月30日,522505,773145,250640,-262479,,377457,407513,,0.0,,-117785.0,-41591,-262479,932,-1.0,-158518,641658,483140,350000,1314,1021.0,,3816,-1217,3142.0,669992,-19197,773145,-6883,228,2085,,,14050,12306
2014-11-13,3,2014,275154.0,,-512304,-34829,-7129,-17563,232,0.0,-1366.0,,2765,-3940,44600,8011,-93290,,0.0,,0.0,-12539,,1746,4900,,,6420.0,-301232,,,678942,-32210,24973.0,,-44,130539,-7350,6823,9281.0,-35734,204054,-54791.0,12419,11109,-37425,3940,11957.0,,2014年01月01日至2014年09月30日,522505,716925,194420,-276037,,352594,399175,0.0,0.0,,-106846.0,-130451,-276037,1396,-1499.0,581916,-181858,400058,465000,1356,4430.0,,7373,-4599,47298.0,675212,-18806,716925,-13096,-270,3473,-6174.0,,51050,-6328
2015-03-26,4,2014,368597.0,,-613373,98184,-37898,-19956,384,0.0,-3031.0,,3709,-5859,60976,45771,-136655,,,,0.0,-23027,,3108,8872,,,4113.0,-84688,,,230538,-34128,24988.0,,-5,-17551,-15354,-3524,12573.0,-93404,270596,5332.0,12433,16652,-50838,5859,11987.0,,2014年度,522505,849033,326528,-142528,,343231,401707,0.0,0.0,,56617.0,30930,-142528,885,-1529.0,296634,-120996,175638,560000,1481,4430.0,,8903,579,47298.0,544235,639,849033,-13497,-1856,3759,-6174.0,,32303,5030
2015-05-13,1,2015,,,-214061,-156484,35640,4521,-484,,0.0,86.0,953,-1547,14966,-11630,-58336,,,,,-3494,,-148,223,0.0,,743.0,155889,,,91657,6961,0.0,-4999.0,-1820,-91,29879,4358,,-60142,63897,0.0,3398,4936,-12405,1547,,87336.0,2015年01月01日至2015年03月31日,849033,1009410,160377,58413,2211.0,350196,366191,,,,-29210.0,-118047,58413,380,,-33847,254289,220442,130000,859,,,942,0,,307778,4115,1009410,-5137,-441,2479,,,29098,12513
2015-08-13,2,2015,,,-776841,-148418,39652,9468,610,,0.0,42189.0,1887,-3236,27181,-32194,-106774,,,,,-6937,,518,7428,,,3598.0,227144,,-6989.0,-147016,-1154,0.0,-25000.0,752,277987,30326,2496,,-65456,125961,7776.0,14458,9711,-22727,3236,912.0,183233.0,2015年01月01日至2015年06月30日,849033,610430,-238603,-92525,4826.0,411758,438623,,,,-110135.0,-552711,-92525,752,-1.0,-251751,599666,347915,365000,1556,0.0,,5867,-741,0.0,531148,-14436,610430,-7374,876,1971,-6174.0,,13675,42256
2015-11-12,3,2015,,,-1082899,-212699,37019,6538,-103,,0.0,42252.0,2832,-4532,37806,1428,-136886,,,,,-10661,,304,10465,,-1865.0,0.0,-572960,,-85985.0,422306,-5330,20000.0,-25000.0,8990,141506,32441,-7230,,-54763,187515,7796.0,22486,14646,-30712,4532,1351.0,213749.0,2015年01月01日至2015年09月30日,849033,633938,-215095,-95637,2483.0,-62304,-24007,,,,336417.0,-99456,-95637,1134,-440.0,190815,-332934,-142119,735000,48155,2637.0,,-33995,-14858,254.0,71630,-17079,633938,-12117,851,3141,-7454.0,,28597,-17535
2016-03-17,4,2015,,,-1383035,-104451,25195,10474,410,,0.0,43538.0,3782,-6001,54326,-29462,-190095,,,,,-13445,,638,9692,,,3110.0,-227388,,-97567.0,-146326,6866,30000.0,-25000.0,1576,121352,32441,-1117,,-102275,245671,7810.0,20028,19274,-43945,6001,1351.0,291988.0,2015年度,849033,654742,-194291,-58682,191.0,-49155,-741,,,354965.0,,-13399,-58682,1592,-440.0,-221719,-12328,-234047,1105000,50375,2637.0,,-32843,-14872,254.0,57941,849,654742,-10470,833,2154,-7454.0,,28969,6948
2016-05-12,1,2016,,-600000.0,-390561,-143643,-11623,5145,-1687,,,0.0,949,-1077,15176,-2794,-31646,,,,,-1813,,258,2986,,,4631.0,273562,,,-24443,-2282,29951.0,-30000.0,-7445,-990,10,1208,,-21705,57893,,-2976,4403,-15023,1077,,71907.0,2016年01月01日至2016年03月31日,654742,743877,89135,17015,-136356.0,46453,67039,,,64805.0,0.0,67181,17015,406,,-300644,278761,-21883,990000,6720,,403.0,-4202,1091,,50024,1490,743877,-6640,-14,-1961,,,18281,8851
2016-08-11,2,2016,,-600000.0,-629588,-188842,-55850,144,-3827,,,0.0,1880,-1814,30298,-19325,-51297,,,,,-3106,-13854.0,465,0,-191.0,,9968.0,502032,,0.0,-267978,-6222,39935.0,-60000.0,-3103,184550,-5,-773,,-33785,116181,20546.0,-4830,9016,-30565,1814,2086.0,140198.0,2016年01月01日至2016年06月30日,654742,411469,-243273,-114672,-136467.0,43777,84362,,,,-54096.0,-233940,-114672,802,-211.0,-611193,670029,58836,1070000,19906,2109.0,403.0,-12658,545,,199034,-17379,411469,-11834,524,-1707,0.0,,23356,10361
2016-11-10,3,2016,,-600000.0,-994638,-190650,-53367,1622,-419,,,0.0,2776,-2038,43520,-39315,-74393,,,-262.0,,-4449,-13854.0,798,0,-2107.0,0.0,14110.0,247093,,0.0,262146,-8974,79895.0,-70000.0,-3495,195224,-18,867,,-54144,167865,20546.0,-8604,13190,-43635,2038,2086.0,208951.0,2016年01月01日至2016年09月30日,654742,640799,-13943,-210909,-135350.0,273190,330850,,,173176.0,,-193674,-210909,1191,-211.0,-114017,446825,332808,1220000,19803,2109.0,706.0,-10552,492,0.0,541759,-21011,640799,-16063,524,-2343,0.0,,36899,-15962
