date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付費用（增加）減少
2013-05-10,1,2013,269597,-9465,-196090,,63000,,,-10531,,-713,5776,201,-51164,,,,0,-2113,28818,-26788,-134910,,2350,,0,,,1656,,-44851,-45019,46700,407,,,-94538,716,,,309416,17849,-3558,593538,235030,631,-25507,2113,,,2013年01月01日至2013年03月31日,1470854,2250706,779852,-88546,,,335883,359360,,,-127614,-122781,-88546,213,-95661,273970,178309,192407,2435,2264,722720,1931,,,447906,192,2250706,-83,219,,,2412,,2833,-947
2013-08-13,2,2013,521760.0,-13138.0,-431746,,63000.0,,,-20325,,-723.0,352,-436,-50460.0,,,,0.0,-5247,57443,-41534,-231882.0,,2778.0,,0.0,,-7732.0,1655.0,,-70859,-58782.0,-41646,-357,,,-128332,5115,15000.0,,548074,-22747,-3097.0,515751,464568,1217,-49853.0,5247,,,2013年01月01日至2013年06月30日,1470854,2572101,1101247,-116745,,,569943,630034,,,38999.0,57087,-116745,426.0,-218425,443444,225019,451486.0,21203,-10255,722720.0,1926.0,,,746779,270.0,2572101,-15485,1126.0,,0.0,10286.0,,11268,-1531.0
2013-11-07,3,2013,773813.0,-876638.0,-832739,-40330.0,63000.0,28.0,,-11810,,-2801.0,-422,-465,5835.0,-714.0,,,0.0,-7883,82392,-34115,-407799.0,,,,-5000.0,,,,1656.0,-4036,-58782.0,-61691,-373,0.0,,-143758,-34,45770.0,,404700,-69089,-7635.0,378873,690679,2185,-98863.0,7883,,,2013年01月01日至2013年09月30日,1470854,1166735,-304119,-152017,,2055.0,545227,651871,,19412.0,0.0,-1194104,-152017,639.0,-248380,278455,30075,445873.0,63042,-6860,722720.0,1926.0,,,803888,270.0,1166735,-15664,-90.0,,0.0,15555.0,,-40131,
2014-03-26,4,2013,994812.0,-876638.0,-867042,-58363.0,63000.0,40.0,,-15274,,0.0,-3004,-464,,-1320.0,38640.0,0.0,,-9273,104976,-37152,-562610.0,-7046.0,1293.0,,-5000.0,,,-5096.0,,72604,-58782.0,-15047,-95,,0.0,-135532,80,40400.0,,388218,-81048,6706.0,177954,900351,3158,-121439.0,9273,,,2013年01月01日至2013年12月31日,1470854,1439651,-31203,-258140,,,771212,905253,0.0,,-49476.0,-943217,-258140,853.0,-205215,373796,168581,766681.0,28693,-24298,722720.0,1926.0,,,1163393,270.0,1439651,-21875,-90.0,,0.0,21939.0,,11080,
2014-05-07,1,2014,216816.0,0.0,-62659,-35962.0,0.0,-40.0,,2693,12993.0,,3326,211,,635.0,-20503.0,,,-1128,21673,-2803,,-4514.0,-1388.0,,,,,689.0,,-86344,,-123282,-278,,0.0,-8975,786,-5370.0,,292595,140172,-399.0,-130510,200743,1341,,1128,-21913.0,,2014年01月01日至2014年03月31日,1439651,1397430,-42221,40813,,,442210,463057,,,-270086.0,-351118,40813,213.0,-164824,370252,205428,7500.0,-138290,-9954,0.0,0.0,,,422244,0.0,1397430,-62,0.0,,,3928.0,,20290,
2014-08-12,2,2014,448376.0,0.0,-315759,17854.0,-10000.0,-40.0,,13984,,,12471,242,,1654.0,-23312.0,,,-2254,39600,-1087,-300380.0,-4715.0,-3539.0,,-1559.0,,,4731.0,,-40766,0.0,-150341,-207,,,-7866,1845,-10740.0,,165476,119464,-234.0,-289061,410845,2672,-40290.0,2254,,,2014年01月01日至2014年06月30日,1439651,1291912,-147739,164664,,,723341,763865,,,-233621.0,-580932,164664,426.0,-126518,277343,150825,12500.0,14842,-8623,0.0,0.0,,,599201,0.0,1291912,-2488,0.0,,,7269.0,,17289,
2014-11-10,3,2014,684594.0,0.0,-371986,36603.0,-20000.0,-40.0,,5944,,,41325,-1418,,785.0,,,,-3703,56181,13419,-577197.0,-5894.0,-53725.0,,-1599.0,-24730.0,,1410.0,,-168300,0.0,130568,96,,,-9040,353,-17097.0,,-63,39243,-69.0,-602251,628528,3611,,3703,-56603.0,,2014年01月01日至2014年09月30日,1439651,1238957,-200694,279760,,,926263,981546,,,-154312.0,-538125,279760,639.0,199796,-182604,17192,50000.0,33155,2694,0.0,0.0,,,701786,0.0,1238957,-2383,578.0,,,-2335.0,,-58795,
2015-03-03,4,2014,917152.0,0.0,-547376,149777.0,-20000.0,2625.0,,-51527,,,6155,-78,,-735.0,-29307.0,,,-5038,71659,50581,-896317.0,-6255.0,-55329.0,,1244.0,,,5633.0,,-200717,0.0,106759,-79,,,-12731,-23,-22130.0,,-149808,-97348,5396.0,-905463,843092,4760,-74219.0,5038,,,2014年度,1439651,919256,-520395,294630,,,891675,963239,,,-149006.0,-557188,294630,639.0,257879,-506422,-248543,211000.0,46805,2015,0.0,0.0,,,668609,0.0,919256,-2383,0.0,,-369.0,-1219.0,,-6209,
2015-05-12,1,2015,,0.0,-239425,-160272.0,0.0,-132.0,,30078,,,-164,-389,,992.0,17148.0,,,-1505,14505,-4257,-258532.0,-6650.0,,4057.0,-13000.0,,,-1122.0,,-69574,,-70561,119,,0.0,820,-154,5928.0,,338736,-31515,,-262154,217412,1542,,1505,-14111.0,219093.0,2015年01月01日至2015年03月31日,919256,1058288,139032,-59406,-337.0,,144611,157217,,,477181.0,260832,-59406,0.0,-230681,228211,-2470,0.0,93,139,0.0,0.0,,,216623,0.0,1058288,0,0.0,,,0.0,,-40117,
2015-08-10,2,2015,,0.0,-464544,-177111.0,0.0,-22660.0,,57716,,,3363,-535,,1676.0,15530.0,,,-3591,28019,-6379,-388922.0,-7620.0,,53228.0,-11101.0,,,1965.0,,-22246,0.0,-296522,27,,,-441,2366,-3361.0,,404949,-24294,,-339245,442549,3270,-27555.0,3591,,476270.0,2015年01月01日至2015年06月30日,919256,1182833,263577,-144379,-169.0,,214336,247052,,,847240.0,394865,-144379,0.0,-491147,406308,-84839,0.0,2104,247,0.0,0.0,,,391431,0.0,1182833,-8752,0.0,,,16877.0,,-10958,
2015-10-30,3,2015,,0.0,-516992,-144560.0,-20000.0,-2647.0,,61360,,,38783,53,,993.0,,,,-6105,42533,16612,-511232.0,-7861.0,,53572.0,-11214.0,16141.0,,922.0,,-154966,-49077.0,30626,67567,,,-856,1316,-6143.0,,18628,27824,,-460772,673153,4994,-42244.0,6105,,721363.0,2015年01月01日至2015年09月30日,919256,1348114,428858,-92628,0.0,,523791,568682,,,925298.0,349227,-92628,0.0,-9771,-50282,-60053,0.0,3827,3178,0.0,0.0,,,661310,0.0,1348114,-8752,0.0,,,14824.0,,-4174,
