date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,,174638.0,,,,-243141,-69213,,90294,13987,10671,-3253.0,,-15441,-5749,,-1375.0,-3826,33206,55306,-72421,-413,,4174,,,,-76324,,1356,-5000.0,,-32993,0.0,,58169,-5459,243260,0.0,-112793,132656,0.0,1043,8420,-28317,3836,,,2013年01月01日至2013年03月31日,2316203,2023050,-293153,-91525,,206864,236488,,243476,-442039,-442530,-91525,,115,153260,153375,0,1435,,4474,,,0.0,,328013,2023050,-1307,40,,,,11856.0,,-64932,-48084
2013-08-12,2,2013,,347169.0,,,,-840373,-132885,,85483,23876,10390,-182790.0,,11676,-14641,,1761.0,-8715,65492,79080,-137924,-4361,,20242,-19478.0,-2784.0,8980.0,25003,,41177,75000.0,-75000.0,-2648,0.0,,-65538,-12895,230330,-40.0,-412407,270356,0.0,1413,14982,-65239,8725,,,2013年01月01日至2013年06月30日,2316203,1881389,-434814,90473,,366089,670283,,1445846,-1073813,-467576,90473,,1477,231164,232641,0,3721,,3310,,,0.0,,579810,1881389,-238955,979,-2409.0,,,,11996.0,18712,-103329
2013-11-11,3,2013,,528710.0,0.0,,0.0,-445817,-97586,2858.0,-5165,24066,8991,-8751.0,0.0,-8837,-31664,,,-12884,103762,68695,-259285,-7297,,47835,-39903.0,-4075.0,9511.0,39413,,53471,75000.0,-95000.0,31266,,0.0,-32433,-23606,196452,618.0,-747899,411068,0.0,1780,24028,-100336,12894,,,2013年01月01日至2013年09月30日,2316203,1735066,-581137,281914,,468215,841324,0.0,2959254,-2891289,-370148,281914,,-8405,39105,30700,19772,10015,,4307,-14344.0,,,-1827.0,559410,1735066,-272773,991,-2515.0,,,0.0,12067.0,-155950,-469828
2014-03-27,4,2013,,740809.0,,4200.0,0.0,-1390980,88069,,-16702,-17993,5268,-84137.0,10725.0,-2984,-21804,,,-22689,145694,90924,-1104915,-8150,20237.0,17745,,,,98019,,-9156,230000.0,-140000.0,11178,,0.0,81924,-21062,224939,431.0,-1189421,561447,0.0,2258,31488,-141969,22689,2550.0,,2013年01月01日至2013年12月31日,2316203,2098620,-217583,415575,,1044244,1498280,0.0,4915601,-5137193,-163330,415575,-2550.0,79088,262808,341896,1341497,53961,,5907,-14344.0,,0.0,-1827.0,1082705,2098620,-314617,844,,0.0,,,12088.0,-100035,-59734
2014-05-12,1,2014,,201080.0,,,,-15834,4816,,60141,-22042,649,10411.0,,25933,-4243,,8220.0,-2994,38428,1051,-274941,-175,,9202,-18593.0,,,-117390,,74161,-110000.0,,-31706,,,22660,-2385,100515,-162.0,-310287,149457,,56,7841,-37747,2994,,,2014年01月01日至2014年03月31日,2098620,1777191,-321429,-64556,,162172,205899,,310446,-654947,-174365,-64556,,107899,-38524,69375,305361,2289,,561,,,,,270455,1777191,-5980,-489,,,,,0.0,-45815,-46622
2014-08-12,2,2014,,424448.0,,,,-72112,-184666,,25811,-50118,1609,22123.0,,-4506,-12912,,6717.0,-8798,83906,-17362,-430740,-7038,1918.0,17693,-36190.0,-2040.0,11067.0,-255845,,210806,10000.0,-110000.0,-9593,,,-65857,-4466,1728,-413.0,-468653,316734,,123,17386,-82797,8798,,,2014年01月01日至2014年06月30日,2098620,1706415,-392205,138519,,-35252,138525,,965448,-1140012,129062,138519,,43554,-467996,-424442,494235,5412,,7612,,,,,6,1706415,-90980,-1150,,,,,0.0,-88932,-63323
2014-11-12,3,2014,,1137735.0,0.0,,,-152279,-145399,,-6580,-62230,2792,34877.0,,-4232,-14801,,8023.0,-13703,128220,-606,-771198,-7311,,36848,-44973.0,-11230.0,8182.0,-351984,,332565,40000.0,-150000.0,-26465,,,-11576,14806,4675,-656.0,-765248,474487,,-1702,26404,-125653,13703,,,2014年01月01日至2014年09月30日,2098620,1792517,-306103,-222324,,283124,524744,-43734.0,1517734,-1642312,176627,-222324,,156257,-546924,-390667,615343,8648,,26658,0.0,,,0.0,747068,1792517,-115967,-983,1838.0,,488493.0,,0.0,-136383,-26118
2015-03-30,4,2014,7033.0,1449057.0,,0.0,,-202487,81485,,-31778,-208001,-485,-14249.0,63351.0,44669,-23170,,334.0,-20867,173964,9735,-687634,-8732,79479.0,-15932,,,,-252081,,100520,40000.0,-150000.0,-13004,,,-331137,15018,-50318,-955.0,-633512,674182,,-1610,34437,-170439,20867,4229.0,,2014年度,2098620,1964287,-134333,-311818,,188773,465524,-43734.0,2280530,-2264158,300671,-311818,-4229.0,135783,-807498,-671715,656452,5173,,15412,0.0,,,0.0,777342,1964287,-110541,-909,,,491831.0,,0.0,-25648,10882
2015-05-14,1,2015,,,,,,-65385,-199939,,55401,59341,-227,-12888.0,,10904,-17989,,15.0,-3310,49965,-2656,-255241,-6944,1514.0,2156,-5277.0,,,-125127,,-43134,0.0,,-13252,,,299283,1259,172478,,-302438,165099,,59,10520,-40395,3310,,223759.0,2015年01月01日至2015年03月31日,1964287,2070525,106238,-67598,,266229,306636,,623385,-433601,145103,-67598,,-201151,351626,150475,23825,1072,,208,,,,,374234,2070525,-12,-311,,,,,,-66512,-13758
2015-08-10,2,2015,,,,,,-183307,-324190,,34749,83263,-3555,,0.0,-17260,-26372,,99.0,-8473,93861,-3875,-195062,-6944,1514.0,9822,-13680.0,-11082.0,0.0,-56865,,211488,0.0,0.0,-1855,,,303778,3088,104679,,-264888,330644,,141,21798,-84385,8473,,442225.0,2015年01月01日至2015年06月30日,1964287,2227517,263230,-28417,,454683,617657,,1058810,-896887,77310,-28417,,-83363,287212,203849,102552,755,,2686,,,,,646074,2227517,-78589,-45,,,,,,-133471,-34656
2015-11-12,3,2015,,,0.0,,,-246922,-358647,,39780,70147,-1928,0.0,,18207,48830,,495.0,-12959,143760,12007,-460124,-13461,1506.0,12905,-19099.0,-9013.0,0.0,-137012,-21084.0,133216,0.0,0.0,-1903,,,338786,6044,93823,,-449738,495485,,388,27242,-131408,12959,904.0,659729.0,2015年01月01日至2015年09月30日,1964287,2067604,103317,63652,-853.0,644614,918541,0.0,1984630,-1932274,-103566,63652,-904.0,-190335,385495,195160,118278,18466,,4353,,,,,854889,2067604,-142519,363,,,0.0,,,-4500,-48299
2016-03-28,4,2015,0.0,,,1680.0,,-355755,-229114,,2180,24193,-4783,0.0,9372.0,19232,-31982,,-1097.0,-20235,192324,-2607,-485756,-6986,52794.0,-1193,,,,-47833,-25266.0,-215480,0.0,0.0,-1204,,,297018,6044,122710,,-445626,663304,,557,33700,-188328,20235,904.0,943105.0,2015年度,1964287,2168385,204098,27191,-1248.0,745947,1075979,0.0,2621092,-2451095,-93616,27191,-904.0,-449649,555332,105683,118601,69205,,6235,,,,0.0,1048788,2168385,-142608,888,,,15539.0,,,133968,-21394
2016-05-09,1,2016,,,,,,-74984,-161944,,23086,50563,-49229,-91987.0,,22124,-10386,,86.0,-6093,44358,-1071,-55558,-1380,0.0,85,0.0,,,12263,,41441,,,-30171,,,152019,0,90243,,-163290,161997,,47,8912,-52405,6093,,210351.0,2016年01月01日至2016年03月31日,2168385,1977256,-191129,-92692,,113149,168250,,1013754,-1078772,-139917,-92692,,-176817,227408,50591,0,42,,913,,,,,260942,1977256,-2696,131,,,,,,-99804,-10114
2016-08-09,2,2016,,,,,,-193186,-10299,,28077,64777,-76967,-192878.0,,-1640,-10050,,171.0,-12113,87025,-14383,-78537,-1500,0.0,4651,-10450.0,,,-100199,,123172,,,214,,,89183,0,82178,,-286999,320379,,117,20154,-93935,12113,,416952.0,2016年01月01日至2016年06月30日,2168385,1942016,-226369,48927,,399739,576907,,1921825,-2047566,-324726,48927,,64197,46831,111028,0,108,,1617,,,,,527980,1942016,-83233,-398,,,,,,-87468,-16255
2016-11-10,3,2016,,,0.0,,,-289502,-34352,,32865,96288,3291,-20012.0,,18616,-12656,0.0,251.0,-19980,126483,-20928,-129392,-1708,-54487.0,4805,-1993.0,0.0,23787.0,-51477,0.0,107555,,,-11280,,,174263,0,84648,,-103442,475004,,246,31430,-134416,19980,1966.0,550918.0,2016年01月01日至2016年09月30日,2168385,1830891,-337494,36845,-84687.0,532401,821786,,2644337,-3103172,-745525,36845,-1966.0,13392,220631,234023,0,435,15410.0,2927,,-8068.0,,,784941,1830891,-154969,-922,,,,,,-101707,-1252
