date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-13,1,2013,-60837.0,-2258,84320,-15995,-249,-26027,0.0,236716.0,3417.0,,,-18459,19469,153512,-12703,-200170,-207633.0,-596,6433,29.0,0.0,-5148,5334,-52077,,-432615,-23600,,0.0,33209,-11618,16142,35416,-111950,335.0,-216832,18685,,,-87022,2754,-19836,18459,,,2013年01月01日至2013年03月31日,1576396,1573630,,-2766,362228,,-384167,-368051,,,936285,-489335,444721,362228,,-390197,-279245,-669442,,588,15436,,-440,-14848,,,-730279,-14201,1573630,-14739,-225,0.0,,12816.0,,-150532,-52073.0,
2013-08-12,2,2013,-63592.0,-4517,191657,-14828,291,-43930,0.0,637228.0,8531.0,,,-44004,39100,315893,-112680,-200170,-277938.0,-3451,-4312,30.0,0.0,-10233,12432,-172128,,-10818,-16522,,0.0,73149,23207,-456091,2275,-194060,747.0,104497,37558,,,-162408,5775,-39360,44004,65191.0,,2013年01月01日至2013年06月30日,1576396,1749255,44074.0,172859,771821,,-6886,21642,,,6675427,-6941433,-240645,771821,-1191.0,204899,-891486,-686587,,652,15442,,-454,-14854,,90000.0,-750179,-12591,1749255,-98363,3285,0.0,29848.0,33839.0,,-56945,-55316.0,
2013-11-12,3,2013,-237757.0,-6776,98284,-43312,1754,6708,0.0,309043.0,,13325.0,23116.0,-66862,58793,217261,-316075,-215170,-277938.0,-3451,10809,30.0,0.0,-27801,14955,-167048,,328633,-21833,,150000.0,71957,26559,-752446,5071,-337759,1090.0,-344641,55905,,,-268993,8352,-57665,66862,179380.0,,2013年01月01日至2013年09月30日,1576396,1826057,-41993.0,249661,1213111,,226722,202875,-578475.0,,10313249,-9891427,150319,1213111,-11404.0,507066,-1279545,-772479,133870.0,836,128820,90000.0,-638,-8127,,,-1010236,-4332,1826057,-164730,3285,0.0,29848.0,,0.0,14195,-61185.0,
2014-03-26,4,2013,-312151.0,-9034,150487,26972,466,-29013,747350.0,,16501.0,,31519.0,-89232,80565,225987,-429336,-262413,-286151.0,-3214,16911,17.0,0.0,-51835,42175,-466361,,683393,-40330,,150000.0,91387,30387,-681374,5393,-255773,1961.0,74979,73665,,,-304762,11392,-78324,89232,180386.0,,2013年01月01日至2013年12月31日,1576396,2984593,-47526.0,1408197,1638799,,855991,892520,-578475.0,,11008538,-10600551,251240,1638799,-12410.0,895051,-1329179,-434128,250897.0,2549,301440,90000.0,-1049,-74509,0.0,,-746279,6779,2984593,-227823,3285,0.0,29848.0,,,41498,-92087.0,
2014-05-13,1,2014,-121603.0,-2258,54866,-349,243,-9640,-303500.0,0.0,,,16308.0,-28123,22910,122215,-31179,-114287,0.0,-7605,-7384,0.0,-1.0,-5412,7153,-215722,,-198209,-11486,,-100000.0,-13150,-10708,-290681,-21243,-46261,1199.0,-409580,19516,,,-81652,3101,-22526,28123,,,2014年01月01日至2014年03月31日,2984593,2470902,-21408.0,-513691,365053,,-591047,-565306,,,3332324,-2893126,364721,365053,,-116476,-692280,-808756,27782.0,0,51782,,0,-44871,,,-930359,70652,2470902,-31338,0,,,,,-118267,-6532.0,
2014-08-11,2,2014,-178091.0,-4517,179809,1432,-66794,-276,,48821.0,,,40302.0,-59183,50529,-17591,-297159,-411638,0.0,-8567,12365,0.0,-241.0,-42115,20126,-189646,,90178,1191,100000.0,,25313,32767,-801062,-44180,-86450,1642.0,-549660,38711,,,-154635,7208,-50615,59183,59381.0,,2014年01月01日至2014年06月30日,2984593,2605317,-20818.0,-379276,802119,,-435498,-308434,,,7598416,-7349140,623473,802119,-381.0,392919,-1325381,-932462,278955.0,110,140360,0.0,134,-92323,,,-1110553,62295,2605317,-195013,0,,0.0,,,-138681,0.0,402.0
2014-11-12,3,2014,-184427.0,-910284,37600,16916,1712,91888,,-624778.0,,,45599.0,-85479,77257,94009,-315753,-491678,0.0,-9591,59866,6170.0,,-48703,22699,-398671,,648917,-7948,100000.0,,55599,22570,-1687143,-45610,-334890,2426.0,-1166900,58694,,,-237349,11314,-74635,85479,197037.0,,2014年01月01日至2014年09月30日,2984593,2271893,4815.0,-712700,1289577,,-838222,-763534,-694171.0,994380.0,12435119,-11028909,1198413,1289577,-13645.0,904673,-2773357,-1868684,296108.0,15003,306077,0.0,-12514,-92985,,,-2053111,53621,2271893,-282569,0,,0.0,,,-325671,-20176.0,
2015-03-25,4,2014,-235676.0,-1815247,166359,6867,-603,58570,-372261.0,,-15329.0,,53976.0,-111625,107271,106716,-558807,-491678,0.0,-9591,52318,0.0,-240.0,-53815,33169,-532118,,155035,-4637,,0.0,35097,400,-1244803,-25586,-459035,434.0,-1134001,77871,,,-332253,20479,-99522,111625,198604.0,,2014年度,2984593,2486882,15598.0,-497711,1763324,,-631762,-509108,-694171.0,994380.0,16509406,-15179359,1161336,1763324,-15212.0,433644,-2470400,-2036756,1346567.0,15364,305418,0.0,-12875,-92985,,,-2272432,22386,2486882,-333361,1761,,0.0,,-3000.0,-215122,16529.0,
2015-05-13,1,2015,,-1023674,-28846,25728,1838,33461,719344.0,,-237.0,,22572.0,-23540,28210,-126144,-112701,-59653,,-1174,20279,,0.0,-112387,45085,-104809,,-107666,36675,,-100000.0,38201,-27824,750069,9039,12018,,474926,19247,,,-67338,2790,-24386,23540,,-35180.0,2015年01月01日至2015年03月31日,2486882,2880586,-35266.0,393704,378933,-661.0,949016,1002027,,,3409361,-4201381,-904094,378933,,-61259,719533,658274,1011600.0,1230,5,,-881,-5,,,623094,-4599,2880586,-52165,-1248,,,,,25650,-4586.0,
2015-08-10,2,2015,,-1029124,-24481,-61280,2259,167975,,826311.0,9792.0,,51664.0,-38898,50616,-236228,-187113,-154121,,-2258,65946,,0.0,-125447,160137,-169929,,-16299,45984,-150000.0,,-29430,-17228,1146024,19811,-64022,,647569,38954,1534.0,,-280851,6295,-43985,38898,70640.0,-27679.0,2015年01月01日至2015年06月30日,2486882,2973617,-13158.0,486735,778284,-1324.0,1630846,1773322,,,6572644,-8139769,-1555452,778284,-340.0,142932,879785,1022717,1190797.0,1196,119072,,-831,-2060,,,995038,17735,2973617,-208029,-3647,98631.0,,,,5388,,
2015-11-11,3,2015,,-1034903,-134917,-50348,2095,140332,-243106.0,999493.0,5742.0,,105604.0,-50312,77797,87953,-368229,-309343,,-3382,127174,0.0,,-141901,161569,-541935,,351038,29655,-150000.0,,-34183,1097,92673,-3429,-344306,,108298,59426,-61.0,,-338319,9684,-64820,50312,220063.0,194975.0,2015年01月01日至2015年09月30日,2486882,2922606,113396.0,435724,1196612,-2056.0,792276,890061,-763587.0,0.0,10450720,-11175278,-552803,1196612,-12213.0,353645,-855171,-501526,2120245.0,1236,138479,,-866,-1447,,,-306551,2679,2922606,-303340,6420,98631.0,,,-122503.0,-9860,-9757.0,
2016-03-23,4,2015,,-1041999,-61963,-14605,-1746,83283,-662010.0,1130592.0,0.0,5694.0,134700.0,-63028,107059,5251,-649971,-374151,,-5629,170234,,-40.0,-171315,170182,-599727,-122502.0,447857,37511,,-150000.0,-41709,17686,179637,-15499,-292803,,-539335,80272,-6455.0,,-421181,14770,-91261,63028,220852.0,198458.0,2015年度,2486882,2100213,87518.0,-386669,1654609,-4281.0,1365256,1538255,-763587.0,0.0,14382595,-15955422,-1217841,1654609,-13002.0,493316,-808128,-314812,2295859.0,1296,138479,,-761,-1448,,,-116354,14932,2100213,-365618,4694,98631.0,14753.0,,0.0,-56930,,
2016-05-11,1,2016,,-11785,-46655,-1994,284,23319,-54903.0,393268.0,-1662.0,,6350.0,-10396,27924,-124112,-26609,-20000,,-213,12488,3.0,,-9513,9864,241296,,-856920,10039,,0.0,-29185,-46246,1026166,11259,-112076,,304255,22307,,,-143111,2191,-23878,10396,,-118947.0,2016年01月01日至2016年03月31日,2100213,2308797,-29040.0,208584,444984,-938.0,540399,605858,,,3088891,-3589067,-511958,444984,,-926040,1205861,279821,0.0,0,14023,,0,-7660,,,160874,20546,2308797,-51977,0,,,,,40926,,
2016-08-10,2,2016,,-18185,77286,-2741,3102,99023,-54903.0,704974.0,-2496.0,,-2468.0,-16306,53710,-226905,-114665,-40030,,-213,787,,3.0,-13852,29455,409980,,-534867,45767,0.0,,14037,-19223,304057,-14682,122096,,551781,48121,0.0,,-170572,4015,-47424,16306,55962.0,-95406.0,2016年01月01日至2016年06月30日,2100213,2821897,-4019.0,721684,808415,-1893.0,997107,1201791,,,5663105,-6266186,-600299,808415,-262.0,-268588,757370,488782,20964.0,32682,29458,,-337,-8075,,,393376,51282,2821897,-229528,0,0.0,,,-18629.0,-64442,,
2016-11-08,3,2016,,-23909,-19180,-6603,3248,27940,-54903.0,848581.0,-7019.0,,13180.0,-19800,83246,-367111,-281471,-50048,,-213,2286,,3.0,-15578,32744,678250,,-563490,46640,0.0,,8597,7132,-271941,-23086,567084,,622486,74177,0.0,21989.0,-242290,5572,-71445,19800,228319.0,-59859.0,2016年01月01日至2016年09月30日,2100213,2339920,15544.0,239707,1215201,-3203.0,1483223,1631820,-624753.0,,8087732,-8958928,-1498891,1215201,-5713.0,-431251,907729,476478,20964.0,32685,95719,,-329,-22884,,,416619,64313,2339920,-325271,0,0.0,,37152.0,0.0,-39223,,
