date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得投資性不動產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-08,1,2013,138030.0,789.0,-210000.0,3653,-4956,-39746,10000,,0.0,0.0,-7975,3480,30063,-46254,-657650,-19107.0,,,,1750,18.0,,-5028,-522390,93030,-1753,26129,-61206,,1171,-5461.0,-748074,180305,,,0.0,-2986,2380,-3518,12825,0.0,,2013年01月01日至2013年03月31日,1537138,937957,-599181,180876,,29465.0,,-209026,-208047,,,534399,327856,180876,,78096,-605049,-526953,,1261,,0.0,-31,,,,0.0,,-388923,2244,937957,-979,,,26064.0,-38893.0,,,-27668,-83482
2013-08-12,2,2013,290188.0,925.0,-210000.0,42883,-2586,-42572,24154,,0.0,-13879.0,-16228,7009,-2889,-92341,-657650,-19107.0,,,,9800,7.0,,-3785,-394633,45026,-13572,56777,-444779,,-6508,-4668.0,-750384,361934,,,0.0,-4949,5110,-7046,14898,0.0,,2013年01月01日至2013年06月30日,1537138,895339,-641799,476701,,29465.0,,-80226,-7814,,,401782,191700,476701,,84733,-859436,-774703,,1560,97699.0,0.0,26,,0.0,0.0,3530.0,,-484515,859,895339,-72412,,,26064.0,-76044.0,,,-35084,-127276
2013-11-08,3,2013,440467.0,925.0,-420000.0,89624,-4616,5659,1784,,0.0,-13879.0,-24428,11611,-40814,-141103,-657650,-19107.0,,,,18015,44.0,,-4030,-437748,84056,3243,39486,-348349,0.0,-1532,-6877.0,-862423,540269,,,0.0,-6795,8544,-12085,33376,16342.0,,2013年01月01日至2013年09月30日,1537138,1052229,-484909,749061,,29465.0,,496359,569596,-331250.0,-563063.0,1241366,-78031,749061,-3500.0,215191,-835123,-619932,,5059,97699.0,223.0,-116,0.0,0.0,0.0,3539.0,0.0,-179465,0,1052229,-73237,,,26064.0,-106672.0,,,-44662,-228850
2014-03-21,4,2013,594115.0,2872.0,-420000.0,61366,-5304,-9815,48433,,0.0,-13879.0,-32450,16561,-38842,-188088,-657650,-19107.0,,,,7304,,-45.0,-3573,-478316,79805,11988,32042,-345570,,254,-8500.0,-869113,719604,,,0.0,-11772,11171,-16363,45130,17036.0,,2013年01月01日至2013年12月31日,1537138,1140488,-396650,932733,,29465.0,,781277,856938,-331250.0,-563063.0,1053792,-269972,932733,-4194.0,173734,-843644,-669910,,7035,121622.0,60106.0,-361,0.0,0.0,0.0,-67844.0,0.0,-75795,6848,1140488,-75661,,36687.0,26064.0,,-80591.0,,-63141,-289189
2014-05-07,1,2014,90031.0,0.0,-210000.0,-31439,24618,-292,-5677,,,,-8834,4498,11880,-75103,-635,0.0,,,,1558,2.0,,-908,-284197,124900,-35560,8259,212424,,3405,624.0,-28375,185497,,,,-19984,2675,-4534,9062,,,2014年01月01日至2014年03月31日,1140488,999043,-141445,295191,,30261.0,,412331,413235,,,-322749,-537281,295191,,77959,-49946,28013,,3837,41514.0,64204.0,-3689,,,,-56293.0,,118044,11467,999043,-904,,,0.0,,-15397.0,,-519,-100607
2014-08-08,2,2014,258935.0,0.0,-210000.0,4329,11292,1575,-19691,,,0.0,-17730,9224,-9311,-110237,-635,0.0,,,,10034,-1130.0,,-988,125524,-146651,-6801,-9872,-260542,,-1082,-2421.0,44303,377591,,,,-24404,5469,-9601,21628,12068.0,,2014年01月01日至2014年06月30日,1140488,1360986,220498,556134,,30261.0,,388785,510204,,,-892548,-203279,556134,,-133163,-171702,-304865,910000.0,14331,160009.0,74514.0,-12529,,,,-65356.0,,-45930,26678,1360986,-121419,-317.0,,0.0,,-23047.0,,-27203,-156648
2014-10-29,3,2014,385931.0,0.0,-210000.0,56736,34259,1261,-23817,,,0.0,-25937,14845,-8922,-143453,-120635,0.0,-6878.0,,,-6799,-1132.0,,-848,130414,-191652,964,-31979,41909,,-3631,-9862.0,-15948,572425,,234.0,24555.0,-27517,8155,-14778,30573,24850.0,,2014年01月01日至2014年09月30日,1140488,1216372,75884,729382,,30261.0,,906852,1096584,0.0,-800000.0,-690188,-806098,729382,0.0,-155547,136818,-18729,910000.0,15689,160727.0,177527.0,-13083,,,,-139163.0,,367202,18985,1216372,-189732,307.0,2709.0,0.0,,-11.0,,-42550,-208316
2015-03-17,4,2014,594359.0,0.0,-210000.0,78723,41819,-115,-43852,-3889.0,,0.0,-35478,19942,16819,-158987,-120635,0.0,-6878.0,-95010.0,,988,-1104.0,,-175,268701,-120187,-4354,-16895,-79061,,1480,-14037.0,-127260,770494,-2020.0,258.0,24555.0,-29066,10904,-20102,43773,24850.0,,2014年度,1140488,1429766,289278,891942,,30261.0,,1383393,1573944,0.0,-800000.0,-857683,-983674,891942,0.0,-81130,168773,87643,910000.0,39087,160727.0,177527.0,-36314,,,,-139163.0,,682002,-2245,1429766,-190551,1864.0,2709.0,-4785.0,,27479.0,,-20572,-242466
2015-04-29,1,2015,,,0.0,-93688,-6859,-354,24744,3889.0,,,-9613,5064,-40874,-10466,0,,,,,-20271,28.0,,-405,-432256,70039,-21768,-20206,496620,,-429,,-21005,196156,-102.0,297.0,,-1485,2798,-5141,9862,10347.0,166439.0,2015年01月01日至2015年03月31日,1429766,1511011,81245,58106,-1175.0,,0.0,223029,223950,,,-74792,-79905,58106,,-61393,60798,-595,,591,0.0,0.0,-257,,,,0.0,,165844,5861,1511011,-921,-297.0,2004.0,,,-7660.0,,-21319,-34823
2015-08-06,2,2015,,,0.0,-98335,5583,1334,18016,3889.0,,,-18489,9918,-74044,-59606,-655,,,,,1135,36.0,,394,-11505,-40540,-10314,3186,-159760,,-424,,-946,386679,-102.0,297.0,,-3971,5526,-9898,23545,10347.0,339753.0,2015年01月01日至2015年06月30日,1429766,1354619,-75147,115935,-1076.0,,95010.0,29925,122558,,,-20220,-30082,115935,,-143793,-189337,-333130,0.0,1991,0.0,0.0,-1251,,,,0.0,,6623,2054,1354619,-92633,-297.0,2004.0,,,-41501.0,,-41544,-75861
