date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,20570,-47004,-32523,8074,-29238,-9163,,-7317,1564,31638,-3456,-354000,,-147,,,10671,,664,215700,-723,,79105,-17265,-212739,-69431,-280571,42036,,785,-1847,7371,,,2013年01月01日至2013年03月31日,2342100,1868074,3567,-474026,156118,,34686,62313,-69702,-143073,,,0,-259779,156118,,37391,-151766,-114375,682,53308,-67,,-229,23101,,-93805,1868074,-33151,-6050,,,1185,-16412,-56058,
2013-08-13,2,2013,30327.0,-47004.0,-12819,4397,-23724,-7407,,-17074,3258,43989,-407794,-595320,,-2209,,,-3499,,1086.0,177234,-723.0,,270521,5900,-233318,-257054,-582938,84629,,1413,-3189,15394,,,2013年01月01日至2013年06月30日,2342100,1675323,-7143,-666777,286302,,133301,194569,-69702.0,-143073.0,,296700.0,-298050.0,-261129,286302,,267999,-390059,-122060,5657,412686,-757,,-888,3679.0,,-91733,1675323,-73473,-9224.0,,,3431,-16412.0,-53197,
2013-11-13,3,2013,61743.0,-65046.0,-24626,6743,-17161,-5651,0.0,-27539,4670,36882,-410294,-632320,,-2414,,,-16448,,2487.0,45922,-723.0,,273031,-984,-193437,-132841,-281198,126706,,1994,-4661,26305,,,2013年01月01日至2013年09月30日,2342100,1860479,4267,-481621,367366,,273647,359554,-69702.0,-143073.0,-231781.0,296700.0,-298050.0,-510952,367366,,254164,-323719,-69555,5865,752339,-736,,-4140,3862.0,,-7812,1860479,-107551,-8570.0,,,3602,-16412.0,-26202,
2014-03-26,4,2013,108356.0,-65046.0,-12647,10585,-17561,-8699,0.0,-34852,5752,62583,-411552,-759598,-488234.0,-5081,-385760.0,,2557,,865.0,-40773,,,192355,655,-87682,-95179,-741058,168200,,2577,-5515,34214,,,2013年01月01日至2013年12月31日,2342100,1165275,2038,-1176825,398674,,352886,439385,-69702.0,-143073.0,-231781.0,444650.0,-298050.0,-851236,398674,,190948,-258593,-67645,5991,814800,-847,-723.0,-4323,0.0,,40711,1165275,-115198,-12968.0,0.0,,5333,-16412.0,-17398,0.0
2014-05-13,1,2014,2074.0,-12067.0,-28257,-314,25894,1961,,-8821,2384,25847,-5024,-71336,,-315,-25184.0,,-18125,-48.0,0.0,36771,0.0,,-37301,-6860,-143169,-88914,-101907,42087,,830,-1929,7071,,,2014年01月01日至2014年03月31日,1165275,996485,-19203,-168790,90586,,-140663,-145276,0.0,0.0,,60000.0,,47933,90586,,-72732,-165204,-237936,0,0,30,,0,0.0,,-235862,996485,-529,557.0,,,374,0.0,4214,
2014-08-13,2,2014,66468.0,-12067.0,-14740,-1804,27102,4388,,-15618,4560,1549,-10081,-137120,,-1403,-25184.0,,-27620,-5955.0,0.0,287463,0.0,,-205185,-5231,-203567,-66665,153495,83604,,1726,-4703,16404,,,2014年01月01日至2014年06月30日,1165275,1180700,10271,15425,109802,,-36302,15028,0.0,0.0,,211350.0,-302600.0,-103317,109802,,-226960,65718,-161242,122,44688,-92,,-352,288428.0,,-94774,1180700,-63031,1888.0,,,3713,0.0,21385,
2014-11-13,3,2014,77822.0,-12067.0,-11382,-482,24068,7374,0.0,-23154,6478,13238,-35507,-252120,,-1832,-217559.0,,-32278,-5961.0,0.0,394795,,,-110024,-9474,-173627,-19176,28905,122450,22640.0,2710,-6743,21629,,,2014年01月01日至2014年09月30日,1165275,1191272,-8717,25997,146287,,280322,340163,,0.0,-193151.0,211350.0,-302600.0,-296468,146287,,-131362,247416,116054,219,253237,-166,0.0,-1209,288428.0,,193876,1191272,-74727,336.0,,0.0,3998,0.0,-1284,
2015-03-27,4,2014,90731.0,-12067.0,27266,-3339,13950,2372,,-32558,8009,39293,-97214,-267121,0.0,-2754,-405904.0,,-36885,-6012.0,0.0,431363,,-159268.0,-85632,-7744,-196344,83479,-109543,161845,22640.0,3723,-8543,31417,,,2014年度,1165275,1078234,-19038,-87041,212359,,540920,600044,0.0,0.0,-193151.0,261350.0,-454575.0,-557711,212359,,-69449,366403,296954,220,363494,-166,0.0,-1373,307728.0,,387685,1078234,-81998,336.0,,,4466,0.0,11315,-1980.0
2015-05-08,1,2015,,0.0,-27146,9648,10451,2679,,-8919,562,-120,-55157,-61000,,-57,,-104609.0,-5030,-17.0,,-51157,,-34575.0,60472,10945,-119581,-55114,44560,38791,,1033,-1294,9572,,17620.0,2015年01月01日至2015年03月31日,1078234,956527,-11637,-121707,29873,,-121572,-128236,,,,100000.0,-110000.0,-44575,29873,,53919,-229648,-175729,327,46021,-31,,-21,,219262.0,-158109,956527,-1614,0.0,,,193,,-14247,-210.0
2015-08-13,2,2015,,0.0,-15137,-1690,8295,4471,,-16731,948,-24560,-134366,-61000,,-457,,-106617.0,-8037,-15.0,,-98458,,-34575.0,34537,-4581,-64617,-156747,67143,76532,,1969,-1517,18031,,63010.0,2015年01月01日至2015年06月30日,1078234,862979,3889,-215255,90267,,-212263,-169816,,,,254550.0,-265550.0,-45575,90267,,13129,-336222,-323093,786,56028,-196,,-28,,320217.0,-260083,862979,-58961,0.0,,,193,,-24695,-7433.0
