date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-03,1,2013,24569.0,-17922,-853,0,1014,4615,,-893.0,1775,,-2352,,32461,-1820,,,-18,20,,-500.0,-523,,-16829,-25852,124680,-255.0,0,-665,18419,,-2185,8910,,2457,,,2013年01月01日至2013年03月31日,676901,795891,118990,11623,87174,104267,,,,20,11623,,-59589,127664,68075,109,2,,92644,795891,-17093,,,,
2013-07-30,2,2013,53656.0,7994,-3011,-18,-541,-9628,,-4676.0,3890,,-5347,,41348,-93403,,0.0,-18,66,,-1654.0,-3703,,-9515,-18647,179186,2694.0,0,-93101,37612,,-1134,18711,,5969,,,2013年01月01日至2013年06月30日,676901,823773,146872,21543,193097,220028,,,,5528,21543,,-20709,165538,144829,699,-76,,198485,823773,-26931,,5462.0,,
2013-11-12,3,2013,80440.0,-9170,-495,-1478,-356,-40256,,,5376,,-9425,28.0,27580,-120194,,0.0,-240,204,,-4998.0,10756,,16216,-45797,60753,2694.0,-34,-109475,57027,,-668,28060,-28.0,10047,6400.0,,2013年01月01日至2013年09月30日,676901,703973,27072,49710,94905,124461,-70875.0,,73913.0,14062,49710,,-39107,33418,-5689,988,42,,74751,703973,-29528,,10820.0,,
2014-03-24,4,2013,108548.0,17171,-225,-19139,-337,-22153,,,7332,-18221.0,-13627,302.0,48646,-160467,,0.0,-612,220,,-2760.0,9893,,16246,-13338,35679,2694.0,-121,-179448,77941,,-1191,36941,-302.0,14249,6400.0,,2013年01月01日至2013年12月31日,676901,721949,45048,72208,183316,226265,-70875.0,,52369.0,-7466,72208,,19742,25767,45509,1102,850,,154057,721949,-42647,,10820.0,,
2014-04-30,1,2014,16818.0,-24248,-148,17141,1903,-9263,,0.0,-1077,-47.0,-5557,185.0,16338,-9467,-6913.0,,-1509,11,,-165.0,11560,,-1938,-5827,-2323,0.0,94,4310,20573,,-1038,8104,-185.0,5179,,,2014年01月01日至2014年03月31日,721949,753818,31869,37418,11210,24046,,,,11,37418,,-30110,-80,-30190,91,185,,-13372,753818,-12651,-4557.0,,,
2014-07-31,2,2014,33605.0,-7004,25,15429,-81,-19323,,,177,-33.0,-10671,361.0,-8347,-20026,,,-1523,-55,-93.0,,-20603,,20701,-5886,-89272,0.0,121,11510,41411,-4148.0,-2588,15113,-327.0,10336,6400.0,,2014年01月01日至2014年06月30日,721949,739898,17949,120251,9320,28386,,,,5466,120251,,7730,-133200,-125470,1020,326,,-91865,739898,-18739,-10524.0,5521.0,,
2014-11-06,3,2014,53033.0,2955,-721,-5443,-88,-20062,,,-821,-33.0,-15505,524.0,13291,-43524,,,-1563,-41,-136.0,,-14969,,20877,-16758,-154812,0.0,-40,-26693,61726,-6038.0,-4515,21497,-498.0,15114,6766.0,,2014年01月01日至2014年09月30日,721949,718662,-3287,234184,58973,97561,-54338.0,,0.0,-48858,234184,-366.0,6986,-196642,-189656,2126,336,,-136623,718662,-38090,-9843.0,5521.0,,
2015-03-12,4,2014,92754.0,17246,-2873,-12392,83,-28237,,,-111,-98.0,-19692,695.0,66957,-55540,,0.0,-1817,-5,,-376.0,-33536,,3011,-9005,-121393,0.0,96,-40728,82521,-4847.0,-5071,27702,-648.0,19311,6766.0,,2014年度,721949,917012,195063,329683,174895,242982,-54338.0,,42761.0,-6061,329683,-366.0,11335,-190790,-179455,3418,594,,-86701,917012,-67439,-2186.0,5521.0,8668.0,
2015-05-12,1,2015,,-18090,2505,2549,-36,-467,,,1199,0.0,-6028,248.0,-21501,-24237,,,-163,-126,,-777.0,23264,,-21444,-15166,71344,,25,-11851,20433,803.0,-481,6754,-248.0,6022,,23942.0,2015年01月01日至2015年03月31日,917012,999228,82216,68667,109960,135347,,,,5608,68667,,-54736,97474,42738,4755,-56,,66680,999228,-25139,1873.0,5734.0,,
2015-07-30,2,2015,,-5671,3209,2735,-188,-10375,,,1123,0.0,-12226,671.0,-30329,-38571,,,-162,-131,-731.0,,12196,,-16938,-8037,122337,0.0,-127,-12383,38951,2475.0,-744,13503,-479.0,12246,6400.0,44791.0,2015年01月01日至2015年06月30日,917012,1262457,345445,129373,230304,273045,,152250.0,,157853,129373,,-30834,129715,98881,5700,1376,,143672,1262457,-42262,2137.0,5734.0,,
