date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-06,1,2013,,42832.0,,-15707.0,,20079,201,-20178.0,-127719,,,5559,-2489,5333,24348,-25901,,,,0.0,,,,,,,,-1794,,2206,-8835,809,-4825,16581,-48482,33334,-44,1897,-5319,2489,,2013年01月01日至2013年03月31日,1365867,1297437,-68430,89850,-2787,8014,,0.0,-28815.0,-41509,89850,-8125,-116543,-124668,,50,,30043.0,,-43,,,,,-81836,1297437,-7971,-715,3013.0,,,-2987,-50880
2013-08-01,2,2013,12340.0,104671.0,,-32874.0,,2945,-120144,37008.0,-5781,,,11899,-4904,10613,36544,-70815,,,,0.0,0.0,-807.0,-5820.0,,,0.0,,-1801,,37615,4346,-2640,-56999,7733,-153319,67542,593,3791,-10519,4904,,2013年01月01日至2013年06月30日,1342553,1307673,-34880,174342,137927,183074,,1440.0,,-56032,174342,41659,-137598,-95939,,10729,0.0,,-1.0,-2401,0.0,,,0.0,8732,1307673,-50051,5199,-14079.0,,,-22,-84805
2013-11-08,3,2013,,130033.0,-25538.0,0.0,,30137,9777,-24814.0,-5076,,,15244,-4682,16176,9254,-96795,,-204005.0,,0.0,0.0,-799.0,0.0,,,0.0,,0,1752.0,47466,1319,-3927,-27151,10078,-379511,101289,2984,5739,-16287,4682,,2013年01月01日至2013年09月30日,1342553,1290039,-52514,293653,384696,456370,-97466.0,70000.0,0.0,-66953,293653,2715,29969,32684,16417.0,10718,0.0,,-1.0,-3967,0.0,4058.0,,,162717,1290039,-76356,-15240,-14079.0,12491.0,,-5125,-94440
2014-03-19,4,2013,,150465.0,-25538.0,-183954.0,-952.0,52801,2804,,-148777,,,5103,-10677,21438,30808,-97658,,,,0.0,-11357.0,-838.0,3816.0,,,0.0,,1748,,23330,-3783,-4997,-87496,575,-260428,134965,4062,7705,-10367,10677,,2013年01月01日至2013年12月31日,1342553,1174838,-167715,423317,332734,405384,-97466.0,,-127488.0,-270829,423317,43069,-211467,-168398,188000.0,10736,0.0,,-1.0,-4164,0.0,,,,-17933,1174838,-83327,-20465,-14016.0,12499.0,-71250.0,-1903,-95625
2014-05-08,1,2014,,32147.0,,-12379.0,-24184.0,-16024,-17488,,-95081,,,-3239,-2998,3838,-2639,-4530,,,,0.0,,-1654.0,-8709.0,,1840.0,,,172,,-42662,2860,-1201,21975,16921,-24149,33927,350,1889,-2051,2998,,2014年01月01日至2014年03月31日,1174838,1268936,94098,136815,5668,13154,,129648.0,0.0,115218,136815,-38549,-117259,-155808,,301,,,-209.0,-1068,,0.0,,,-123661,1268936,-10484,-2183,0.0,,,-924,-9729
2014-08-12,2,2014,,60644.0,,-24761.0,2325.0,-17999,-36259,,-14638,,,-8630,-6689,6881,-13039,-33019,,,,,,-1654.0,-29281.0,,1840.0,,,-497,,-62818,13593,-930,-4977,335,-71047,67648,331,3693,-4442,6689,,2014年01月01日至2014年06月30日,1174838,1304317,129479,274921,153120,214596,,89648.0,,60445,274921,-3011,-117958,-120969,,353,,,-106.0,-1948,,,,,-60325,1304317,-68165,-2376,0.0,0.0,,399,-6949
2014-11-03,3,2014,,93754.0,0.0,,-1887.0,-33798,-24216,,12653,,,-6737,-10572,9751,2136,-24658,-71250.0,,,,,-1749.0,-18926.0,,1839.0,,,-448,0.0,-90162,14515,-881,11032,-1779,-139727,103009,-1594,2164,-6701,10572,,2014年01月01日至2014年09月30日,1174838,1180443,5605,393946,272164,362469,-151382.0,14580.0,,-128968,393946,-22051,-103180,-125231,12851.0,451,,,-121.0,-2541,,,,,-31477,1180443,-100877,-1444,1684.0,0.0,,-10708,-23147
2015-03-23,4,2014,,122841.0,0.0,-48291.0,48112.0,-42149,-13307,,-146886,,,-8383,-15236,12471,22505,-47810,-71250.0,,,,0.0,-3011.0,-5941.0,,1839.0,,50.0,-390,0.0,-102528,-2500,2177,-2031,-20467,-135410,138287,-3788,2811,-8906,15236,,2014年度,1174838,1125093,-49745,537835,278161,376784,-151382.0,,-58156.0,-215001,537835,5640,-289532,-283892,50000.0,452,,,-118.0,-2674,,0.0,,,-161051,1125093,-113859,-2368,1684.0,0.0,0.0,-4313,-7460
2015-04-28,1,2015,,,,-11150.0,12231.0,-201,6511,,43830,,,224,-3783,2696,-8155,-19870,,,,0.0,-1750.0,-412.0,,0.0,850.0,,,-674,,27810,-30539,-1905,38693,18910,-6695,35260,-1253,672,-2226,3783,34112.0,2015年01月01日至2015年03月31日,1125093,1325377,200284,92081,219069,229699,,9441.0,,-3935,92081,-20414,123920,103506,,10,,,15.0,-759,,,20299.0,,137618,1325377,-14413,190,,,,-11834,-4298
2015-08-06,2,2015,,,,-20657.0,-23952.0,-1677,-21964,,223817,,,128,-8276,5193,-18844,-36281,,,-7938.0,,-1750.0,-649.0,,-221050.0,850.0,,,-761,,59224,7403,-2023,-4491,20498,-267330,68338,-1802,1296,-4664,8276,64159.0,2015年01月01日至2015年06月30日,1125093,1595911,470818,224248,486693,542113,,303558.0,,270299,224248,-20249,273955,253706,,75,,,15.0,-2436,,,,,317865,1595911,-63696,853,,0.0,,-3129,-6914
