date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,呆帳費用提列（轉列收入）數,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預付費用（增加）減少
2013-05-09,1,2013,55187.0,,,-57712,-6746,1643,-72,-2296,,,2543.0,,19244,-1510.0,,,,-1040,6547,-29717,-8372,,-77683,,-719,,-61439,,-60560,,0.0,-10000,-110,65486,-549,3260.0,0.0,-29849,13135,,59,-5882,1040,,,2013年01月01日至2013年03月31日,980033,1021066,38269,41033,17825,,-4391,2257,,52702,0.0,104990,17825,,-64945,-5810,-70755,120000,2368,,34594,6,,,-1070,-15568,,1021066,-1806.0,,,,-10566,161.0
2013-08-12,2,2013,83763.0,,,-72949,-13287,-194,231,116,,,0.0,,21193,57.0,,,,-2759,13906,-24037,-27358,,-90349,-95.0,-2905,,8269,,-49176,1244.0,,-10000,-259,46707,454,,0.0,-37899,26397,-9491.0,118,-3686,2634,-12865.0,,2013年01月01日至2013年06月30日,980033,1157778,34235,177745,10791,,65602,79519,,42028,,174079,10791,,-61247,46212,-15035,215000,3854,0.0,54856,-886,,,-1986,68728,,1157778,,17643.0,,,1318,-1024.0
2013-11-13,3,2013,92007.0,,0.0,-133851,-9454,10285,13564,502,,,464.0,,10925,57.0,,6338.0,,-3483,19943,-35438,-52380,,-141509,,-3265,,16955,,-88524,2403.0,,-50000,17,77751,-6150,6067.0,0.0,-103909,40332,,177,-18970,3164,1673.0,,2013年01月01日至2013年09月30日,980033,921597,42643,-58436,33680,,129335,148455,,-139573,,-48424,33680,-1673.0,-81530,104298,22768,275000,5446,0.0,67271,-1253,,,-1790,114775,0.0,921597,-4987.0,376.0,,,-1662,493.0
2014-03-20,4,2013,115601.0,62.0,0.0,-254048,-7141,1493,-804,472,-3337.0,11470.0,0.0,,10902,57.0,,5933.0,438.0,-5925,26633,-24318,-68633,,-162890,,-2127,,18525,,-79452,3685.0,,-60000,283,71320,-11967,12743.0,-1194.0,-117668,53936,,909,-25604,6285,1687.0,,2013年01月01日至2013年12月31日,980033,860596,33705,-119437,28936,,152934,174809,,-191337,,-130385,28936,-1687.0,-87960,118232,30272,375000,5926,0.0,91032,-1182,,,-879,145873,0.0,860596,-4243.0,,11780.0,,14792,-673.0
2014-05-08,1,2014,48446.0,,,-10042,-12415,19868,3029,-2220,,,464.0,,504,0.0,,,,-3027,6142,-23925,-9837,,-11742,,12,,-8393,,-6220,-3023.0,,0,-356,109924,-915,-13763.0,0.0,52756,14426,,277,-5602,2433,,,2014年01月01日至2014年03月31日,860596,1043224,30906,182628,22175,,151701,156441,,12138,,2096,22175,,-18521,104341,85820,0,78,,73753,-34,,,-256,134266,,1043224,-1571.0,,,,-160,
2014-08-08,2,2014,74174.0,,,-75085,-8249,12213,-292,-435,,,0.0,,0,431.0,,493.0,,-8295,12234,-39922,-18313,,-51373,0.0,327,,26987,,35137,-2852.0,,10000,-290,61315,-6257,-11871.0,0.0,18575,29376,,548,-11364,6757,,,2014年01月01日至2014年06月30日,860596,959724,43364,99128,26191,,191158,198977,,-5598,,-70683,26191,,23454,75158,98612,0,5449,204.0,82115,-4288,,,-29,172786,,959724,-3212.0,937.0,,,-7225,
2014-11-11,3,2014,98704.0,,,-96377,-3207,16725,1312,-161,,,,,-4470,645.0,,490.0,,-11726,17994,-25143,-42875,,-89205,,612,,-3572,,32952,-1405.0,,10000,22,50335,-4347,-14867.0,,-25717,44750,,176,-16697,8955,1103.0,,2014年01月01日至2014年09月30日,860596,953313,31464,92717,56479,,214472,228108,,15482,,-70895,56479,-1103.0,29674,43251,72925,0,4977,482.0,104884,-4286,,,144,171629,,953313,-6997.0,1295.0,19384.0,,-1507,
2015-03-25,4,2014,107056.0,0.0,0.0,-148918,10877,10757,7014,134,0.0,0.0,0.0,,-4470,0.0,-5132.0,705.0,,-15499,23589,8997,-51178,-797.0,-113370,,-5761,,41365,,-1211,-1310.0,,10000,-364,97831,3245,-9858.0,-2289.0,-35418,60873,,211,-22280,11482,1117.0,,2014年度,860596,1015484,8870,154888,72214,,316810,335756,,3417,,-135501,72214,-1117.0,12717,143769,156486,0,15137,2547.0,121140,-2144,,0.0,580,263542,,1015484,-9265.0,1545.0,35909.0,,-417,712.0
2015-05-06,1,2015,,,,-25043,-20461,1246,15803,-229,-612.0,,35.0,,4975,0.0,,,,-5252,5269,-32223,-20710,,-36096,,360,,-33978,,11027,-201.0,,-10000,26,85932,3659,6034.0,,-21526,14928,,23,-4880,5209,,37905.0,2015年01月01日至2015年03月31日,1015484,1099020,27370,83536,3792,0.0,108148,109324,,64180,,29137,3792,,5617,62010,67627,0,250,20.0,30035,-91,,,-4702,105532,,1099020,-1505.0,,,,-876,222.0
2015-08-12,2,2015,,,,-45085,-22517,-4289,595,-284,,,0.0,,0,0.0,,1920.0,1998.0,-10877,10468,-44756,-33497,,-72057,0.0,510,0.0,-2085,,-12852,-1307.0,,-5000,486,79994,2146,9423.0,,-44528,29790,,46,-9983,11700,,58365.0,2015年01月01日至2015年06月30日,1015484,1149787,29275,134303,4473,-2070.0,106783,109174,,166889,,116804,4473,,-37665,84001,46336,0,3351,8434.0,47321,1165,,,-4063,104701,,1149787,-4108.0,53.0,,,-1344,440.0
2015-11-11,3,2015,,,-94741.0,-141586,-23616,2763,-80,-1023,,,,-342.0,22340,,,0.0,9997.0,-15690,16069,17694,-55073,,-111316,,837,,30391,-5174.0,-32912,-89.0,,-20000,32,116364,2882,20374.0,,-12528,44056,,69,-15422,14484,482.0,51837.0,2015年01月01日至2015年09月30日,1015484,1065986,-15039,50502,41010,-3600.0,195954,201899,-43270.0,148260,,-150618,41010,-482.0,-60265,169317,109052,10000,3570,8434.0,101325,1034,18534.0,,11207,160889,-283.0,1065986,-5489.0,62.0,0.0,-4107.0,-2130,-304.0
2016-03-28,4,2015,,0.0,-94741.0,-179023,-16797,4971,572,-37,0.0,0.0,0.0,-340.0,22340,0.0,,4084.0,16883.0,-20260,20637,16233,-73559,0.0,-122376,-362.0,222,,52330,-7001.0,-34924,2224.0,,-20000,-48,150993,923,19710.0,,-26749,58189,,93,-20307,17511,483.0,81693.0,2015年度,1015484,1135425,-5398,119941,60472,-5456.0,304783,314678,-43270.0,163816,,-174326,60472,-483.0,-54429,226942,172513,10000,3767,8434.0,112549,853,18714.0,0.0,10863,254206,-283.0,1135425,-7582.0,62.0,315.0,-4107.0,-2822,874.0
2016-05-04,1,2016,,,,-36875,-10086,1933,-218,-216,-35421.0,,0.0,,0,0.0,,897.0,,-5069,4759,-27223,-9544,,-82576,,65,,7537,,-5214,-2450.0,,-50000,18,80006,941,245.0,,-7287,13998,,23,-4301,8409,,39150.0,2016年01月01日至2016年03月31日,1135425,1163092,29215,27667,1991,0.0,80883,79161,,68169,,-18706,1991,,-53371,91391,38020,0,6,0.0,83930,-6,,,-3835,77170,,1163092,-2386.0,0.0,,,717,228.0
2016-08-11,2,2016,,,,-36875,-9594,1363,-1436,-646,,,0.0,,0,0.0,,824.0,0.0,-8679,8496,-23055,-25511,,-112706,-99.0,62,0.0,-5146,,-11704,8305.0,,30000,73,48545,5480,-5259.0,,-51964,27889,,46,-8330,11576,,49598.0,2016年01月01日至2016年06月30日,1135425,1149457,22757,14032,24118,-36733.0,66471,67788,,29455,,22580,24118,,-51089,45161,-5928,0,75,0.0,85453,-58,,,-3936,43670,,1149457,-4563.0,0.0,3021.0,,378,446.0
2016-11-08,3,2016,,,0.0,-36875,-4829,639,-7510,-4213,,,,1401.0,0,,-6449.0,0.0,0.0,-12499,12288,-52574,-31940,,-121044,-99.0,61,,-22157,0.0,6781,8573.0,,170000,75,-23504,907,2776.0,,-64435,40864,,69,-12182,14642,468.0,89606.0,2016年01月01日至2016年09月30日,1135425,1073590,46528,-61835,49759,-38185.0,55484,58869,-42970.0,-90465,,-310,49759,-468.0,-35095,-45401,-80496,0,93,0.0,93603,229,0.0,,-4011,9110,0.0,1073590,-6313.0,0.0,6545.0,0.0,-505,656.0
