date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少
2013-05-13,1,2013,146153,0,,-73613,27114,-255536,,0,,-1256,78265,-31147,6157,126032,-814776,0,-6152,2525,55,35342,442,663.0,,387932,-205505,-1186290,,2357888,-204,-171,-816061,189749,-155679,64614,-6270,31147,2013年01月01日至2013年03月31日,8710292,8284632,-425660,-120781,1178104,1167468,-744069,-913735,-120781,29775,-1565569,2707665,1142096,294,5006,681,160,-3720,0,0,0.0,0,1288249,-49959,8284632,-14241,-35067,,-65065
2013-08-12,2,2013,213116,44641,0.0,434344,18929,-545702,0.0,-7009,0.0,-3878,123667,-54980,11585,155909,-982909,-78911,-21497,6494,55,35342,-86,,846.0,345065,-205505,-592916,400.0,1415911,167,351,-946695,361082,-415203,127257,-11758,54980,2013年01月01日至2013年06月30日,8710292,8629788,-80504,130558,1204702,1238977,-324226,-494420,130558,51523,-806809,1702112,895303,2981,98881,1801,160,18456,0,0,,0,1108419,-103286,8629788,-77497,-19622,1056.0,-77960
