date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產（增加）減少,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加－處分資產,預收款項減少－處分資產
2013-05-13,1,2013,,20324.0,-7217,10959,-9861,-5331,5704,,,,,,2503,-8052,-8444,-2655807.0,,,21776,,262.0,-31630,50341,16143,-75346,-14233,745.0,-2662993,16956,564782,593,-2709,,,2013年01月01日至2013年03月31日,523863,384393,-139470,153561,,634232,637489,,3957.0,0.0,1897343,153561,72857,390747,463604,1878827.0,278,272,,483928,384393,-548,,,,,,-48669.0,,718.0,,
2013-08-13,2,2013,46.0,57466.0,-3486,28152,-2449,-3242,7243,,-1.0,-2454.0,,-2583.0,12995,-5865,-27974,-2655807.0,-1520.0,9872.0,22976,,,-1795,50896,9114,-11532,-73385,1485.0,-2688408,34945,505514,1515,-13201,2583.0,,2013年01月01日至2013年06月30日,523863,484515,-39348,285015,,763259,819675,,5224.0,,1891666,285015,86405,390789,477194,1869000.0,278,676,,534660,484515,-45798,,,-2047.0,,,-30353.0,,,-3071.0,-314.0
2013-11-13,3,2013,46.0,88791.0,-5245,19705,-4232,-4564,4928,,-2.0,,,-3938.0,23736,-1467,-54053,-2655807.0,-2571.0,9872.0,22983,,-308.0,10099,67162,12022,-7387,-41037,2223.0,-2720170,52872,518448,2404,-23942,3938.0,,2013年01月01日至2013年09月30日,523863,350598,-173265,425566,,968980,1063778,-307344.0,0.0,,1579392,425566,96548,452873,549421,1869000.0,278,3799,,638212,350598,-74794,,,,,,-27946.0,-7709.0,,,
2014-03-24,4,2013,,122220.0,-146091,22185,-9702,-2855,-7664,,-3.0,,,-5627.0,36407,-4496,-57086,-2655806.0,-6283.0,16309.0,23012,,-566.0,1898,24746,6348,-42688,-23229,2835.0,-2728747,70845,309533,3356,-34361,5613.0,,2013年01月01日至2013年12月31日,523863,275697,-248166,609737,,905761,1023250,-305297.0,140742.0,,1579316,609737,53259,238034,291293,1869000.0,278,4573,,413513,275697,-88741,-3643.0,,-2047.0,0.0,,9886.0,-9284.0,,,
2014-05-12,1,2014,,30698.0,0,-24946,-4633,3070,393,,-2.0,,,-767.0,9633,1524,-5333,0.0,,,86,,1006.0,-13072,45751,9457,-10177,-17842,936.0,-12816,18465,-86468,1025,-9923,843.0,,2014年01月01日至2014年03月31日,275697,346598,70901,162535,,83961,95702,,0.0,,-1768,162535,34268,-131799,-97531,-1852.0,0,2342,,-66833,346598,-2661,,,,,,,-8489.0,,,
2014-08-12,2,2014,0.0,55388.0,-3718,-9472,612,-3942,3930,,-3.0,0.0,,-1769.0,19302,983,-9781,0.0,,-2266.0,75,,1009.0,-28105,23028,12914,-33572,14013,1788.0,-22519,36354,-41400,1422,-19692,1845.0,,2014年01月01日至2014年06月30日,275697,448447,172750,291092,,207181,286274,,0.0,-9249.0,-12895,291092,24316,-84522,-60206,0.0,0,2345,-182.0,-4818,448447,-61246,,,0.0,,,,-13565.0,,,
2014-11-12,3,2014,0.0,82940.0,-5598,1126,2060,-2178,-46188,,-12.0,,,-2783.0,29385,1206,-65944,0.0,,-2266.0,-5228,,988.0,-12387,-38689,2298,-33422,9743,2662.0,-85426,54227,222203,1941,-29775,2859.0,,2014年01月01日至2014年09月30日,275697,335003,59306,492234,,592236,682310,-427416.0,,-8408.0,-448710,492234,-34781,141917,107136,0.0,0,2436,-1180.0,190076,335003,-63158,,,-2048.0,,,-92.0,-19290.0,,,
2015-03-24,4,2014,,91610.0,-7876,22290,6736,-10181,6225,,-12.0,,,-2402.0,37791,-545,-80719,0.0,-2261.0,-2343.0,-5232,,718.0,-45396,1777,-10093,-14066,12651,3273.0,-128613,47955,250072,2512,-37920,2386.0,,2014年度,275697,656803,381106,702943,,871694,1018117,-427416.0,81154.0,,-361430,702943,7066,216498,223564,0.0,0,3346,,315174,656803,-110889,0.0,276.0,-2048.0,4751.0,,0.0,-46351.0,,,
2015-05-04,1,2015,,,-41390,-60131,-394,-3268,-2153,,0.0,,,-717.0,9584,-4236,-14848,,,,1793,,4150.0,-15246,11312,-24897,4594,9832,,65948,16611,211559,580,-9865,809.0,-24643.0,2015年01月01日至2015年03月31日,656803,952473,295670,176602,879.0,273555,284118,0.0,,0.0,-39597,176602,-76105,208264,132159,,89249,-50701,,107516,952473,-1507,,,,,,72.0,-12603.0,,,
2015-08-07,2,2015,,,-76419,-27732,5281,-1784,-8921,,0.0,,143.0,-1934.0,19032,-5084,-24622,,,0.0,1806,,4156.0,12107,-37614,-24276,6876,6386,,51985,33403,162676,1159,-18260,2026.0,1644.0,2015年01月01日至2015年06月30日,656803,953509,296706,324389,1762.0,341831,420794,,,-17413.0,-92026,324389,-89644,184405,94761,,88393,-50016,0.0,96405,953509,-62729,,,,,,0.0,-16085.0,,,
