date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分投資損失（利益）,處分無形資產,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,100120.0,0,-107069,,-145885.0,-35938,,-21066,4667,-2242.0,,0.0,,,107356,8013.0,4552.0,,-1617,13378,28609,-48480,,,,-763,23384,,-66422,3034,80023,,-16129,-11261,32867,,307739,47545,0.0,348889.0,-359,13566,-13378,1617,,,2013年01月01日至2013年03月31日,846257,1150682,304425,61998,,51758,63519,,-115404.0,-24375.0,0,-81345.0,-83681,61998,,,-110819,12220,-98599,203305.0,80,,-72,0.0,,0.0,0.0,,1521,1150682,,,-257,,,0.0,,,-19049,32653
2013-08-12,2,2013,170062.0,-1089897,-56983,,-111857.0,-152195,,-17624,8168,-3551.0,16000.0,,,,98446,,8868.0,,-2713,21787,-14708,-111693,-1500.0,,,-2143,25491,,-255218,56779,20096,,-760,27710,764,,235559,93312,,348889.0,-269,24664,-20402,2713,,,2013年01月01日至2013年06月30日,846257,1037262,191005,101171,,-15116,4725,,-111935.0,-24375.0,2057137,-2026864.0,-14730,101171,,,-10196,-256312,-266508,1272965.0,2006,0.0,-393,0.0,,0.0,0.0,0.0,-96446,1037262,-2152.0,,-685,,,0.0,,,13,11943
2013-11-11,3,2013,249664.0,-937094,14411,,-110782.0,-86084,348889.0,-12646,2270,-1979.0,,,,,99086,,7548.0,,-3726,32728,-24602,-176213,-1500.0,,-1000.0,-3342,29293,,-255260,282507,10000,,-1757,-528360,15994,,176082,137687,,,464,35140,-30960,3726,,,2013年01月01日至2013年09月30日,846257,1173432,327175,181438,,-59337,-29535,,,-67284.0,3177398,-2935094.0,235032,181438,,,293947,-754584,-460637,1240000.0,9189,,-1353,0.0,0.0,0.0,0.0,0.0,-210973,1173432,-2568.0,59.0,-644,,,-142112.0,12527.0,,-2230,13411
2014-03-25,4,2013,289090.0,0,30183,0.0,-145886.0,-144821,,-29177,4131,-2816.0,,,0.0,3180.0,106782,,14844.0,,-4210,58903,-29075,-268113,-2000.0,,-1000.0,-3345,2819,,-78544,-109684,70055,,-7391,5506,23239,-12360.0,110107,191869,,348889.0,1113,34803,-57377,4210,,,2013年01月01日至2013年12月31日,846257,1104688,258431,178223,,168471,224206,,,-67284.0,31062,,8928,178223,,,-124306,-118801,-243107,269874.0,32379,,-22815,0.0,0.0,0.0,0.0,117.0,45983,1104688,-2568.0,,-763,,,-148893.0,12527.0,,-35094,6939
2014-05-12,1,2014,75193.0,-130045,-45560,,0.0,61152,-47541.0,17693,-39,1.0,,0.0,-3868.0,,28527,0.0,-2061.0,,-1647,17389,10542,-103050,,,,-860,10647,,-210472,164286,390801,-340706.0,4245,12396,18158,-2157.0,-143759,48775,,0.0,200,2143,-17522,1647,,,2014年01月01日至2014年03月31日,1104688,1234365,129677,8504,,28231,44109,,0.0,0.0,1066022,-1051653.0,234663,8504,,,140570,-180158,-39588,300244.0,11560,,-276,,,,,,35605,1234365,-3.0,,23,,,,,,-89880,2062
2014-08-12,2,2014,149475.0,-360584,1301,,0.0,-29966,-47541.0,18218,-2946,-23.0,,0.0,,,6216,,2620.0,,-3273,33169,-9361,-153405,0.0,,,-2573,13309,,-323948,47403,1051461,-951682.0,14817,-7304,1207,-4530.0,-190603,96650,,0.0,839,4518,-33506,3273,,,2014年01月01日至2014年06月30日,1104688,1176408,71720,8078,,-225572,-190610,538271.0,,0.0,1844829,-2139820.0,497256,8078,,,98662,-446825,-348163,395258.0,12916,,-729,,,,,,-198688,1176408,-4729.0,,72,,,119523.0,2300.0,,-90084,21476
2014-11-10,3,2014,210997.0,-363075,74565,,0.0,39068,-47541.0,12157,-9308,-23.0,,0.0,,,20386,,,,-5330,44113,-9687,-193295,-850.0,,0.0,-7666,10247,3430.0,-289269,158455,1703868,-1604000.0,6915,-340618,1668,-6917.0,-232926,149014,,0.0,841,7252,-44491,5330,,,2014年01月01日至2014年09月30日,1104688,1187603,82915,80616,,-206068,-152910,538271.0,,-42052.0,2493715,-2862365.0,531596,80616,,,246940,-691463,-444523,548460.0,16426,,-989,,,,,,-233526,1187603,-13997.0,0.0,399,,,115344.0,5450.0,,-113390,1788
2015-03-27,4,2014,301279.0,-434175,51176,,0.0,110729,-55035.0,-678,-3840,1177.0,,0.0,,51463.0,-56129,,0.0,,-9075,68191,38683,-283812,-19288.0,,-9013.0,-10079,28325,3430.0,-173900,56461,1894000,-1984000.0,-5813,-342706,-8926,-7976.0,-295225,202624,,0.0,1842,11265,-68286,9075,150.0,,2014年度,1104688,1583517,478829,124376,,-14238,53191,538271.0,,-42052.0,3117028,-3247616.0,749609,124376,590.0,-150.0,102316,-474780,-372464,789088.0,30539,,-13231,,,,,0.0,-71185,1583517,-8368.0,,282,254.0,,115635.0,10362.0,,-8,7969
2015-05-11,1,2015,,-14464,-40009,,,-60718,-682.0,15570,-6203,0.0,,,-17277.0,,-7466,,0.0,,-2795,16276,-40578,-118197,,,,-6248,3844,,-14627,6296,100000,-190000.0,-18337,268839,-3311,,-140066,52115,,,1059,5289,-16182,2795,,79123.0,2015年01月01日至2015年03月31日,1583517,1395411,-188106,1031,-1887.0,117474,130893,,,,670367,-690839.0,-124936,1031,,,-33694,84433,50739,0.0,2338,,417,,,,,,129862,1395411,-32.0,,18,,1400.0,,1500.0,,-92081,4673
2015-08-11,2,2015,,-998868,-30122,,,83255,-682.0,6728,2106,0.0,,,,48794.0,-2458,,0.0,,-2930,31929,-52164,-153850,-490.0,,,-10826,4356,1176.0,-233840,104640,240000,-290000.0,-19737,-15511,4565,,-101075,102580,,,6527,9607,-31592,2930,,161724.0,2015年01月01日至2015年06月30日,1583517,1176368,-407149,-2852,-5900.0,-158786,-122805,0.0,,,1132991,-1144943.0,-95124,-2852,180.0,,27477,-309154,-281677,960000.0,15979,,1816,,,,,,-119953,1176368,-7319.0,,98,,1400.0,4520.0,6161.0,,-147271,-28132
2015-11-10,3,2015,,-1037780,-68635,,,-87832,0.0,12078,-1893,0.0,,,,125781.0,-1645,-41501.0,,,-7844,48301,-30152,-192467,-8079.0,,,-14949,14531,1177.0,-190090,170120,270000,-290183.0,-11406,-196860,-7299,,-110276,154285,,,7577,12392,-48411,7844,,243859.0,2015年01月01日至2015年09月30日,1583517,1176929,-406588,34256,-8201.0,-158644,-114427,0.0,,-105131.0,1304289,-1212637.0,-107516,34256,179.0,,120175,-512717,-392542,960000.0,20939,,4779,,,,,,-148683,1176929,-3650.0,,598,,,2749.0,9061.0,,-27098,26219
2016-03-24,4,2015,,-2038156,-56542,,,-79024,0.0,5122,1483,0.0,,0.0,,0.0,105219,-151835.0,,,-10926,68529,-94416,-213690,-11979.0,-19440.0,0.0,-15295,19869,4520.0,-181000,-99338,740000,-630000.0,-11638,-13684,5954,,-391191,198967,,,7828,17249,-68158,10926,144.0,316045.0,2015年度,1583517,1294527,-288990,-13786,-9534.0,-136178,-47447,0.0,,-105131.0,2822796,-2531202.0,332795,-13786,2598.0,-144.0,-179200,-170506,-349706,2071739.0,21048,,4980,,,,,,-33661,1294527,-31643.0,,-305,0.0,1400.0,-1771.0,6000.0,,-9454,-7270
2016-05-11,1,2016,,-21699,22603,,,8380,0.0,3515,2592,0.0,,,0.0,,-2891,-3293.0,0.0,,-1390,26719,-5740,-65057,,-2214.0,,-1982,-2051,,-44870,103815,200000,-300000.0,257,257768,18462,,-77762,48553,,,0,4551,-27120,1390,,76273.0,2016年01月01日至2016年03月31日,1294527,1427284,132757,-17161,124.0,360906,409430,,,,893705,-916653.0,-144647,-17161,,,128622,221696,350318,,784,,6,,,,,,426591,1427284,-22794.0,,-115,,0.0,,0.0,-6000.0,-17745,-1692
