date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）
2013-05-03,1,2013,35806.0,-11556.0,-16768,-29542,-5100,,1592,,,2214,-1254,1085,-131,-16280,0,571.0,0.0,-3,,3004.0,25070,23680,4314,25662,-84193,-18320,30218,842,-1075,1321,,2013年01月01日至2013年03月31日,673589,787965,114376,118934,104386,104555,,,,,28441,118934,11226,-61411,-50185,40000.0,56.0,757.0,-14379,787965,-415,1373
2013-08-07,2,2013,68155.0,-91462.0,19478,-18410,-64400,,1692,,,5433,-2942,2052,-231,-36977,0,600.0,,-1485,,3017.0,13979,61371,23934,3766,-21547,-98304,59824,1645,-2080,2967,,2013年01月01日至2013年06月30日,406989,619496,212507,252255,363989,404673,,,,,-52947,252255,104783,-20520,84263,40000.0,56.0,757.0,152418,619496,-41571,786
2013-11-06,3,2013,100388.0,-156462.0,-6330,-21177,-74300,,1670,,,9134,-4108,2734,-243,-53758,-1104,211.0,,-1482,,3017.0,8927,54795,8820,22229,-6301,-126088,90272,2122,-2771,4152,,2013年01月01日至2013年09月30日,406989,407813,824,364179,486894,527200,0.0,-266795.0,0.0,,-359739,364179,57285,5348,62633,65000.0,57.0,757.0,163021,407813,-41687,-734
2014-03-05,4,2013,128199.0,-200487.0,30041,-7004,-228600,,1720,-988.0,0.0,14312,-5555,3213,-402,-135643,-1104,-9.0,,-1488,,2576.0,-10929,56189,6370,67551,-34285,-363702,112597,2076,-3264,5569,,2013年01月01日至2013年12月31日,406989,330124,-76865,492683,691009,730535,0.0,-266795.0,,,-403770,492683,92600,17053,109653,65000.0,57.0,757.0,237852,330124,-41831,808
2014-04-30,1,2014,36331.0,0.0,-58194,-11153,-187500,,-2002,835.0,,5410,-1309,418,110,-46977,-63,14.0,,3,,-2155.0,-30401,-18795,5059,49771,38741,-235860,31510,372,-414,1264,,2014年01月01日至2014年03月31日,330124,178913,-151211,74489,84536,83846,,,,,3,74489,-71930,44956,-26974,0.0,0.0,0.0,9357,178913,-160,-84
2014-08-06,2,2014,64380.0,-44025.0,-20396,3411,-168000,,-2063,1372.0,,4509,-2843,822,97,-263205,-342,0.0,,-6,,-2162.0,-9559,-55144,-1993,35880,66687,-432337,62220,716,-815,2823,,2014年01月01日至2014年06月30日,330124,80019,-250105,144999,166166,226202,,,,,15969,144999,-77533,94356,16823,60000.0,0.0,0.0,81203,80019,-62044,-1044
2014-11-12,3,2014,92937.0,-62775.0,-59946,-6514,-47900,,-2446,,1216.0,377,-4131,1830,-76,-408590,-605,523.0,,-27,-2154.0,0.0,-11402,33435,2423,2358,20930,-457613,92994,1012,-1756,4135,,2014年01月01日至2014年09月30日,330124,148168,-181956,234208,220329,305983,,-266794.0,55000.0,,55404,234208,-24088,2926,-21162,330000.0,420.0,-144.0,71775,148168,-88033,476
2015-03-04,4,2014,126997.0,-148675.0,-22261,9676,-7900,,-2007,-67.0,,4292,-5379,3413,-229,-461181,-604,0.0,,-5,,486.0,-42553,43594,12939,20584,-35035,-468763,122970,1214,-3330,5370,,2014年度,330124,205526,-124598,349009,374868,460943,,-266794.0,55000.0,,-30474,349009,34272,-49335,-15063,330000.0,503.0,-144.0,111934,205526,-88115,631
2015-05-06,1,2015,,,-33349,-14011,0,77000.0,-20,327.0,,5378,-1113,1263,-52,-38505,-38,156.0,0.0,-7,-154.0,,7934,-37062,-3620,18100,23794,38630,28940,192,-1289,1126,33023.0,2015年01月01日至2015年03月31日,205526,276286,70760,92738,87189,87527,,,,-55000.0,-55007,92738,-74031,35797,-38234,,,,-5211,276286,-175,-1793
2015-08-05,2,2015,,-45000.0,-2926,-2738,0,6600.0,-228,654.0,,7939,-2350,2342,-144,-58064,-538,,14.0,0,-455.0,,31226,-35601,-8522,20748,31466,-51803,62025,447,-2393,2346,68982.0,2015年01月01日至2015年06月30日,205526,306336,100810,165764,251743,268171,,,,-55000.0,-98986,165764,-47049,80474,33425,1000.0,,,102407,306336,-16381,-1421
