date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,,35631.0,,-36030,-1445.0,-3010,-110.0,3645,-1186,,190,-291,,,-1675,17320,-2982.0,-10345,-675,-13406.0,,-4576,,,,-116.0,,-16626,-17283,10151,,-429,-2512,-7265,-324,613,986.0,-22524,18637,27036,241,5000,-16801,1675,,,2013年01月01日至2013年03月31日,693114,547253,-145861,-46377,,-53389,-38263,,,,-66966,,-66966,-46377,,,-12353,-15164,-27517,,2309,,695,0.0,,,,8114,,547253,,-11,,,-11970,28052
2013-08-09,2,2013,0.0,-16174.0,-35000.0,-15444,167.0,-4672,511.0,362,-2519,65.0,-3238,-1,,,-3284,32924,,-21955,-1552,24415.0,,-8562,,10.0,,-1943.0,,-98911,317644,1751,99980.0,-3869,-247396,233236,1653,1677,1951.0,76639,36001,-32943,-18434,9479,-31958,3284,17448.0,,2013年01月01日至2013年06月30日,693114,751587,58473,24007,,148251,159477,,,,2613851,-2845258.0,-166417,24007,,,317454,-165810,151644,,4096,73579.0,-339,0.0,-63974.0,,,135470,,751587,,15,,0.0,-13208,14827
2013-11-12,3,2013,0,18096,-35000,-40317,265,-2995,500,133,543,78,479,-209141,,,-5339,47491,0,-26010,-3072,128489,,-8846,,37,,-305,,162828,128642,-6,99987,2644,135310,155038,-8588,1855,836,-31619,54185,-54972,-18585,13514,-47874,5339,17647,,2013年01月01日至2013年09月30日,693114,600403,-92711,35376,,505194,530082,,,,4105157,-4724735,-566286,35376,,,103869,372741,476610,,4841,73579,-350,0,-63974,,,494706,,600403,,0,-11732,0,-17257,11594
2014-03-24,4,2013,0.0,50912.0,-122500.0,-7931,766.0,-6152,496.0,-6091,-653,,-244,-150301,8988.0,,-7229,61750,,-41844,-5445,-106631.0,,-8963,,37.0,0.0,-1447.0,0.0,274928,-135769,3,,-150,-62064,186480,-11416,2034,1021.0,52765,71603,-28037,-18453,17334,-61364,7229,17647.0,,2013年01月01日至2013年12月31日,693114,733283,40169,40810,,272076,308564,0.0,,,6641696,-6792173.0,-284672,40810,418.0,,-129891,346733,216842,,4846,73579.0,-354,0.0,-63974.0,271020.0,,267754,,733283,,-1220,-11732.0,0.0,-8639,18260
2014-05-08,1,2014,,-7355.0,,-25676,237.0,3830,19.0,-10301,-2255,,1245,-6,,,-2009,12806,,-6392,-461,0.0,,200,,,,-475.0,,-21408,-107557,8906,,-2770,244789,39783,1973,115,256.0,-2328,16761,26983,-37839,2736,-13385,2009,,,2014年01月01日至2014年03月31日,733283,689536,-43747,8105,,163048,174424,,,,1568904,-1773371.0,-204467,8105,,,-121453,295127,173674,,10,,-10,,,4996.0,,166319,,689536,,0,,,53,15452
2014-08-11,2,2014,,30367.0,-87500.0,-6075,4056.0,3373,15.0,-15750,-872,,1816,-15007,,,-3986,25475,,-12522,-1040,,,-379,2540.0,0.0,-9.0,-213.0,0.0,-140926,334187,518,0.0,-4271,-163311,47303,-1956,115,549.0,-23769,33676,30121,-36083,4807,-26366,3986,36171.0,,2014年01月01日至2014年06月30日,733283,749195,15912,41863,,156991,143200,,,,3351258,-3383599.0,-117310,41863,,,308443,-237473,70970,,18,0.0,7870,,0.0,4995.0,,101337,,749195,,-1013,,,-13151,-4771
2014-11-10,3,2014,,55051.0,-87500.0,-15711,4478.0,1132,-260.0,-23509,-4225,,2372,-15009,,,-5758,38699,,-19043,-2334,4990.0,,-437,5080.0,0.0,-7.0,-226.0,,-115075,27665,2812,0.0,2591,82264,88154,3376,-35,843.0,-31586,48493,17121,-36669,6567,-38801,5758,39108.0,,2014年01月01日至2014年09月30日,733283,769447,36164,6089,,148416,142351,,,,5384983,-5358708.0,-80666,6089,,-2701.0,1243,79968,81211,,36,0.0,7852,,0.0,,,136262,,769447,,-995,-24514.0,,5144,2074
2015-03-17,4,2014,,79690.0,-577500.0,14078,1326.0,3108,-1043.0,-22536,-3731,,1755,-98932,,,-7566,50091,,-23113,-3835,-101640.0,,-274,5080.0,0.0,-7.0,-819.0,,21997,-113036,5525,,429,243793,115317,4307,-149,-783.0,-121667,61977,85366,-36792,8117,-50420,7566,39109.0,,2014年度,733283,366119,-367164,-33876,,404220,409489,,,,7395330,-7448106.0,-649717,-33876,0.0,-2701.0,-108278,471953,363675,,41,0.0,7847,,0.0,106631.0,,443365,,366119,-1524.0,-1009,-24514.0,,1233,6719
2015-05-13,1,2015,,,,-42509,-1610.0,308,1065.0,-2649,324,,-5007,-55553,,,-1237,7852,,-4672,-426,,-6.0,51,,,,0.0,1127.0,64906,-217855,-704,,-1911,-87655,119324,1454,214,,-58530,12960,5019,-14820,1282,-5934,1237,,5202.0,2015年01月01日至2015年03月31日,366119,277247,-88872,2437,272.0,-164244,-159547,,,,1401612,-1477710.0,133902,2437,,,-266514,99328,-167186,210000.0,1000,,-879,,,,0.0,-161984,,277247,,-7,,,-624,452
2015-08-11,2,2015,,,0.0,-33731,-1684.0,11914,-14937.0,-353,-3195,-1574.0,-4750,-48310,,,-2429,16507,,-13288,-1962,,-6.0,-74,0.0,,0.0,1041.0,,-121414,64292,3970,,-2839,96842,119204,-24236,105,,-61447,24853,-13977,-35251,2487,-16244,2429,0.0,5154.0,2015年01月01日至2015年06月30日,366119,287378,-78741,-43215,527.0,-3960,11570,,,,3057101,-3280435.0,-13334,-43215,,,2554,47077,49631,210000.0,1078,,-917,,,,,54785,,287378,-1715.0,-22,,,1521,-26054
